Name:  Fine Snow
0.65	97.964
0.65	97.93
0.66	97.972
0.66	97.414
0.66	97.82
0.66	97.864
0.66	97.824
0.67	97.821
0.67	97.759
0.67	97.749
0.67	97.682
0.67	97.719
0.68	97.675
0.68	97.685
0.68	97.651
0.68	97.602
0.68	97.617
0.69	97.459
0.69	97.583
0.69	97.492
0.69	97.475
0.69	97.436
0.7	97.369
0.7	94.914
0.7	97.289
0.7	97.183
0.7	97.093
0.71	97.234
0.71	97.069
0.71	96.965
0.71	96.945
0.71	96.951
0.72	96.941
0.72	96.878
0.72	96.198
0.72	96.787
0.72	96.775
0.73	96.778
0.73	96.772
0.73	96.728
0.73	96.661
0.73	96.209
0.74	96.455
0.74	96.575
0.74	96.548
0.74	96.439
0.74	95.093
0.75	96.392
0.75	94.727
0.75	96.234
0.75	96.209
0.75	96.072
0.76	96.078
0.76	96.013
0.76	93.826
0.76	95.752
0.76	95.783
0.77	95.618
0.77	95.668
0.77	95.429
0.77	95.492
0.77	95.453
0.78	95.319
0.78	95.347
0.78	95.193
0.78	94.919
0.78	95.052
0.79	94.948
0.79	94.994
0.79	94.899
0.79	94.817
0.79	93.396
0.8	94.665
0.8	94.691
0.8	94.515
0.82	94.527
0.84	94.31
0.86	93.385
0.88	91.599
0.9	91.234
0.92	90.663
0.94	90.113
0.96	88.478
0.98	86.184
1	83.872
1.02	82.069
1.04	81.455
1.06	83.162
1.08	82.101
1.1	84.78
1.12	84.47
1.14	82.929
1.16	80.169
1.18	75.963
1.2	65.015
1.22	67.529
1.24	65.901
1.26	64.811
1.28	64.643
1.3	65.204
1.32	63.254
1.34	65.862
1.36	65.496
1.38	64.219
1.4	60.999
1.42	44.179
1.44	20.633
1.46	13.917
1.48	9.8621
1.5	8.5267
1.52	9.187
1.54	9.992
1.56	11.91
1.58	13.698
1.6	15.335
1.62	16.531
1.64	20.289
1.66	20.918
1.68	24.522
1.7	28.351
1.72	28.366
1.74	29.456
1.76	32.741
1.78	35.204
1.8	36.986
1.82	38.743
1.84	40.924
1.86	37.548
1.88	24.924
1.9	15.395
1.92	9.0951
1.94	6.2974
1.96	4.4939
1.98	3.6272
2	3.5061
2.02	3.6891
2.04	4.2149
2.06	5.035
2.08	6.1986
2.1	8.1691
2.12	11.184
2.14	13.924
2.16	17.541
2.18	20.165
2.2	22.801
2.22	26.319
2.24	28.551
2.24	28.109
2.25	28.08
2.25	28.049
2.25	28.008
2.25	27.964
2.25	27.921
2.25	27.879
2.25	27.836
2.25	27.789
2.25	27.734
2.25	27.667
2.25	27.585
2.26	27.486
2.26	27.371
2.26	27.241
2.26	27.102
2.26	26.954
2.26	26.799
2.26	26.638
2.26	26.469
2.26	26.296
2.26	26.121
2.27	25.945
2.27	25.768
2.27	25.588
2.27	25.398
2.27	25.194
2.27	24.973
2.27	24.738
2.27	24.492
2.27	24.241
2.27	23.988
2.28	23.737
2.28	23.486
2.28	23.235
2.28	22.982
2.28	22.727
2.28	22.468
2.28	22.204
2.28	21.935
2.28	21.664
2.28	21.395
2.29	21.131
2.29	20.873
2.29	20.619
2.29	20.365
2.29	20.104
2.29	19.834
2.29	19.56
2.29	19.288
2.29	19.023
2.29	18.768
2.3	18.521
2.3	18.279
2.3	18.036
2.3	17.791
2.3	17.545
2.3	17.302
2.3	17.063
2.3	16.83
2.3	16.6
2.31	16.373
2.31	16.149
2.31	15.925
2.31	15.702
2.31	15.48
2.31	15.262
2.31	15.046
2.31	14.833
2.31	14.625
2.31	14.425
2.32	14.229
2.32	14.037
2.32	13.847
2.32	13.657
2.32	13.464
2.32	13.269
2.32	13.075
2.32	12.886
2.32	12.705
2.32	12.533
2.33	12.37
2.33	12.214
2.33	12.06
2.33	11.905
2.33	11.748
2.33	11.589
2.33	11.433
2.33	11.282
2.33	11.14
2.34	11.008
2.34	10.883
2.34	10.762
2.34	10.642
2.34	10.521
2.34	10.401
2.34	10.287
2.34	10.181
2.34	10.085
2.34	9.9939
2.35	9.9029
2.35	9.8073
2.35	9.7061
2.35	9.6026
2.35	9.5025
2.35	9.4104
2.35	9.3263
2.35	9.2486
2.35	9.1743
2.36	9.1008
2.36	9.0293
2.36	8.9623
2.36	8.9017
2.36	8.8462
2.36	8.7932
2.36	8.7392
2.36	8.6817
2.36	8.6203
2.37	8.558
2.37	8.4987
2.37	8.4446
2.37	8.3963
2.37	8.3525
2.37	8.3115
2.37	8.271
2.37	8.2307
2.37	8.1921
2.37	8.1576
2.38	8.1277
2.38	8.1019
2.38	8.0789
2.38	8.056
2.38	8.0301
2.38	8.0006
2.38	7.9693
2.38	7.939
2.38	7.9108
2.39	7.885
2.39	7.8611
2.39	7.8384
2.39	7.8152
2.39	7.7922
2.39	7.7718
2.39	7.7552
2.39	7.742
2.39	7.7306
2.4	7.7186
2.4	7.7032
2.4	7.6823
2.4	7.6572
2.4	7.6314
2.4	7.6077
2.4	7.5885
2.4	7.5745
2.4	7.5639
2.41	7.5514
2.41	7.5321
2.41	7.5047
2.41	7.4708
2.41	7.4339
2.41	7.3997
2.41	7.3728
2.41	7.3541
2.41	7.3411
2.42	7.3283
2.42	7.3115
2.42	7.2892
2.42	7.262
2.42	7.2328
2.42	7.2039
2.42	7.1764
2.42	7.1495
2.42	7.1215
2.43	7.092
2.43	7.0614
2.43	7.0313
2.43	7.0036
2.43	6.9785
2.43	6.956
2.43	6.9349
2.43	6.9147
2.44	6.8942
2.44	6.8717
2.44	6.8466
2.44	6.8189
2.44	6.7888
2.44	6.7585
2.44	6.7303
2.44	6.7054
2.44	6.6839
2.45	6.6655
2.45	6.6484
2.45	6.6311
2.45	6.6126
2.45	6.5934
2.45	6.5728
2.45	6.5491
2.45	6.5214
2.45	6.4907
2.46	6.4568
2.46	6.4215
2.46	6.3872
2.46	6.3564
2.46	6.3301
2.46	6.3071
2.46	6.2858
2.46	6.2645
2.47	6.2427
2.47	6.2197
2.47	6.1953
2.47	6.1698
2.47	6.1432
2.47	6.1144
2.47	6.0819
2.47	6.0474
2.47	6.0127
2.48	5.981
2.48	5.9545
2.48	5.9348
2.48	5.9209
2.48	5.9088
2.48	5.8948
2.48	5.8759
2.48	5.851
2.49	5.8202
2.49	5.7859
2.49	5.7508
2.49	5.718
2.49	5.6881
2.49	5.6639
2.49	5.6467
2.49	5.636
2.49	5.6301
2.5	5.6251
2.5	5.6168
2.5	5.6014
2.5	5.5772
2.5	5.5474
2.5	5.5164
2.5	5.4896
2.5	5.4702
2.51	5.4586
2.51	5.452
2.51	5.4472
2.51	5.4411
2.51	5.4321
2.51	5.4198
2.51	5.4046
2.51	5.3883
2.52	5.3726
2.52	5.3596
2.52	5.3496
2.52	5.3428
2.52	5.3371
2.52	5.3304
2.52	5.3212
2.52	5.3104
2.53	5.2987
2.53	5.2881
2.53	5.2788
2.53	5.2716
2.53	5.2649
2.53	5.2596
2.53	5.2566
2.53	5.2566
2.54	5.2596
2.54	5.2652
2.54	5.2719
2.54	5.2775
2.54	5.28
2.54	5.2808
2.54	5.2813
2.54	5.2817
2.54	5.2819
2.55	5.2829
2.55	5.2841
2.55	5.2846
2.55	5.2862
2.55	5.2923
2.55	5.3049
2.55	5.3205
2.56	5.3331
2.56	5.3366
2.56	5.3269
2.56	5.3051
2.56	5.28
2.56	5.2639
2.56	5.2665
2.56	5.2877
2.57	5.3194
2.57	5.3501
2.57	5.3708
2.57	5.3762
2.57	5.3689
2.57	5.3582
2.57	5.3532
2.57	5.3582
2.58	5.371
2.58	5.3878
2.58	5.4025
2.58	5.4065
2.58	5.3953
2.58	5.375
2.58	5.3544
2.58	5.3421
2.59	5.3411
2.59	5.3478
2.59	5.3504
2.59	5.3324
2.59	5.2862
2.59	5.2236
2.59	5.1683
2.59	5.1429
2.6	5.1574
2.6	5.2042
2.6	5.2604
2.6	5.2964
2.6	5.2919
2.6	5.2497
2.6	5.1912
2.61	5.1405
2.61	5.1145
2.61	5.1188
2.61	5.1434
2.61	5.1699
2.61	5.1778
2.61	5.1562
2.61	5.1101
2.62	5.0491
2.62	4.9888
2.62	4.944
2.62	4.9205
2.62	4.9134
2.62	4.9068
2.62	4.8865
2.62	4.8467
2.63	4.7858
2.63	4.7141
2.63	4.6482
2.63	4.6001
2.63	4.5736
2.63	4.5639
2.63	4.5632
2.64	4.5608
2.64	4.5459
2.64	4.5158
2.64	4.4733
2.64	4.4202
2.64	4.3617
2.64	4.3019
2.64	4.2444
2.65	4.1892
2.65	4.1345
2.65	4.0803
2.65	4.0256
2.65	3.9686
2.65	3.9094
2.65	3.8478
2.66	3.7819
2.66	3.7093
2.66	3.6283
2.66	3.5366
2.66	3.4343
2.66	3.3242
2.66	3.2128
2.67	3.1063
2.67	3.0092
2.67	2.9261
2.67	2.8567
2.67	2.7958
2.67	2.7364
2.67	2.6729
2.68	2.6043
2.68	2.5301
2.68	2.4527
2.68	2.3764
2.68	2.3018
2.68	2.228
2.68	2.1531
2.68	2.0762
2.69	1.998
2.69	1.9206
2.69	1.845
2.69	1.7719
2.69	1.7003
2.69	1.6314
2.69	1.5661
2.7	1.5038
2.7	1.4455
2.7	1.3899
2.7	1.3349
2.7	1.2776
2.7	1.2174
2.7	1.1561
2.71	1.0962
2.71	1.0398
2.71	0.9897
2.71	0.9458
2.71	0.9066
2.71	0.8686
2.71	0.8303
2.72	0.7907
2.72	0.7495
2.72	0.7078
2.72	0.668
2.72	0.6335
2.72	0.6053
2.72	0.5833
2.73	0.5665
2.73	0.5532
2.73	0.5392
2.73	0.5215
2.73	0.4995
2.73	0.4738
2.73	0.4464
2.74	0.4199
2.74	0.3974
2.74	0.3805
2.74	0.3687
2.74	0.3618
2.74	0.3585
2.74	0.3569
2.75	0.3545
2.75	0.3496
2.75	0.3406
2.75	0.3266
2.75	0.309
2.75	0.2913
2.75	0.2766
2.76	0.2668
2.76	0.2629
2.76	0.2635
2.76	0.2655
2.76	0.266
2.76	0.2635
2.76	0.2588
2.77	0.2525
2.77	0.2453
2.77	0.2397
2.77	0.2359
2.77	0.2335
2.77	0.2325
2.78	0.2325
2.78	0.2338
2.78	0.2349
2.78	0.2361
2.78	0.2366
2.78	0.2359
2.78	0.2328
2.79	0.2276
2.79	0.2212
2.79	0.2152
2.79	0.2105
2.79	0.2077
2.79	0.2067
2.79	0.2058
2.8	0.2032
2.8	0.1982
2.8	0.1914
2.8	0.1852
2.8	0.1814
2.8	0.1817
2.81	0.1868
2.81	0.1947
2.81	0.2011
2.81	0.2032
2.81	0.1994
2.81	0.1904
2.81	0.1774
2.82	0.1634
2.82	0.152
2.82	0.1442
2.82	0.1402
2.82	0.1406
2.82	0.1449
2.83	0.1511
2.83	0.1582
2.83	0.1646
2.83	0.1689
2.83	0.171
2.83	0.1722
2.83	0.1738
2.84	0.1753
2.84	0.1764
2.84	0.1762
2.84	0.1733
2.84	0.1672
2.84	0.1603
2.85	0.1544
2.85	0.1508
2.85	0.1503
2.85	0.1533
2.85	0.1599
2.85	0.1697
2.85	0.1826
2.86	0.197
2.86	0.2105
2.86	0.219
2.86	0.2205
2.86	0.2134
2.86	0.1996
2.87	0.1828
2.87	0.1686
2.87	0.1599
2.87	0.1584
2.87	0.1648
2.87	0.1774
2.88	0.1923
2.88	0.2051
2.88	0.2136
2.88	0.2169
2.88	0.216
2.88	0.2126
2.88	0.2101
2.89	0.2126
2.89	0.2215
2.89	0.2351
2.89	0.2517
2.89	0.2702
2.89	0.2868
2.9	0.2979
2.9	0.3031
2.9	0.3055
2.9	0.3062
2.9	0.3062
2.9	0.3074
2.91	0.3123
2.91	0.3197
2.91	0.328
2.91	0.3386
2.91	0.3531
2.91	0.3708
2.92	0.3896
2.92	0.4083
2.92	0.4258
2.92	0.4395
2.92	0.4495
2.92	0.458
2.93	0.4682
2.93	0.4814
2.93	0.4973
2.93	0.5139
2.93	0.5297
2.93	0.5428
2.94	0.5537
2.94	0.5641
2.94	0.5767
2.94	0.5918
2.94	0.6079
2.94	0.6235
2.95	0.6368
2.95	0.648
2.95	0.6577
2.95	0.6676
2.95	0.6782
2.95	0.6889
2.96	0.6989
2.96	0.7071
2.96	0.714
2.96	0.7209
2.96	0.7306
2.96	0.7436
2.97	0.7582
2.97	0.7735
2.97	0.787
2.97	0.7964
2.97	0.8002
2.97	0.799
2.98	0.7955
2.98	0.7914
2.98	0.7888
2.98	0.7909
2.98	0.7995
2.98	0.8142
2.99	0.8331
2.99	0.8542
2.99	0.8746
2.99	0.89
2.99	0.8994
2.99	0.9037
3	0.9053
3	0.9068
3	0.911
3	0.921
3	0.9363
3.01	0.9565
3.01	0.9812
3.01	1.0103
3.01	1.0427
3.01	1.0766
3.01	1.109
3.02	1.1376
3.02	1.1604
3.02	1.176
3.02	1.1869
3.02	1.1969
3.02	1.2097
3.03	1.2279
3.03	1.2532
3.03	1.285
3.03	1.3212
3.03	1.3577
3.04	1.392
3.04	1.4264
3.04	1.4635
3.04	1.5061
3.04	1.5557
3.04	1.6111
3.05	1.6684
3.05	1.7217
3.05	1.7683
3.05	1.8107
3.05	1.8511
3.05	1.8927
3.06	1.9362
3.06	1.9817
3.06	2.0281
3.06	2.0747
3.06	2.1233
3.07	2.1756
3.07	2.2315
3.07	2.2898
3.07	2.3476
3.07	2.4018
3.07	2.4515
3.08	2.4979
3.08	2.5431
3.08	2.5888
3.08	2.6353
3.08	2.6808
3.09	2.7229
3.09	2.7582
3.09	2.785
3.09	2.8022
3.09	2.8088
3.1	2.8042
3.1	2.7897
3.1	2.7669
3.1	2.738
3.1	2.7051
3.1	2.6706
3.11	2.6358
3.11	2.5985
3.11	2.5583
3.11	2.5152
3.11	2.4697
3.12	2.4222
3.12	2.3746
3.12	2.3297
3.12	2.2895
3.12	2.254
3.12	2.2232
3.13	2.1965
3.13	2.1723
3.13	2.1488
3.13	2.1255
3.13	2.1032
3.14	2.0831
3.14	2.0665
3.14	2.0537
3.14	2.0447
3.14	2.0373
3.15	2.03
3.15	2.0215
3.15	2.0123
3.15	2.0037
3.15	1.9978
3.16	1.9957
3.16	1.997
3.16	2.0004
3.16	2.0049
3.16	2.0094
3.16	2.0134
3.17	2.0174
3.17	2.022
3.17	2.0264
3.17	2.0302
3.17	2.033
3.18	2.0352
3.18	2.0378
3.18	2.0411
3.18	2.0456
3.18	2.0511
3.19	2.056
3.19	2.0586
3.19	2.0565
3.19	2.0489
3.19	2.0361
3.2	2.0189
3.2	1.9992
3.2	1.9796
3.2	1.9627
3.2	1.9507
3.21	1.9428
3.21	1.9388
3.21	1.9362
3.21	1.9313
3.21	1.9213
3.22	1.9057
3.22	1.8858
3.22	1.8644
3.22	1.8429
3.22	1.8232
3.23	1.8055
3.23	1.788
3.23	1.7706
3.23	1.7534
3.23	1.7376
3.24	1.724
3.24	1.7124
3.24	1.7011
3.24	1.688
3.24	1.6733
3.25	1.6577
3.25	1.6435
3.25	1.6333
3.25	1.6272
3.25	1.6224
3.26	1.616
3.26	1.6044
3.26	1.5876
3.26	1.568
3.26	1.5485
3.27	1.5327
3.27	1.5211
3.27	1.513
3.27	1.5069
3.27	1.501
3.28	1.4938
3.28	1.4849
3.28	1.4732
3.28	1.459
3.29	1.4429
3.29	1.4275
3.29	1.4149
3.29	1.4067
3.29	1.4017
3.3	1.398
3.3	1.3924
3.3	1.3835
3.3	1.3712
3.3	1.3577
3.31	1.3463
3.31	1.338
3.31	1.3326
3.31	1.3283
3.31	1.3238
3.32	1.3181
3.32	1.3111
3.32	1.3051
3.32	1.3025
3.33	1.3027
3.33	1.3044
3.33	1.3053
3.33	1.3037
3.33	1.2971
3.34	1.2864
3.34	1.2748
3.34	1.2639
3.34	1.2551
3.34	1.2483
3.35	1.2437
3.35	1.24
3.35	1.2357
3.35	1.2305
3.36	1.2253
3.36	1.2199
3.36	1.2143
3.36	1.2099
3.36	1.2089
3.37	1.2123
3.37	1.2189
3.37	1.2271
3.37	1.2343
3.38	1.2368
3.38	1.2329
3.38	1.2229
3.38	1.2104
3.38	1.199
3.39	1.191
3.39	1.1867
3.39	1.1852
3.39	1.1846
3.39	1.1826
3.4	1.1788
3.4	1.1737
3.4	1.1696
3.4	1.168
3.41	1.1689
3.41	1.1716
3.41	1.1739
3.41	1.1739
3.42	1.1706
3.42	1.1639
3.42	1.1568
3.42	1.1514
3.42	1.1486
3.43	1.1491
3.43	1.1517
3.43	1.1545
3.43	1.155
3.44	1.1519
3.44	1.146
3.44	1.1389
3.44	1.132
3.44	1.1279
3.45	1.1282
3.45	1.131
3.45	1.1338
3.45	1.1348
3.46	1.1336
3.46	1.1315
3.46	1.1296
3.46	1.1303
3.47	1.1346
3.47	1.1415
3.47	1.1478
3.47	1.1517
3.47	1.1526
3.48	1.1509
3.48	1.1478
3.48	1.1453
3.48	1.1445
3.49	1.1457
3.49	1.1481
3.49	1.1507
3.49	1.153
3.5	1.1552
3.5	1.1568
3.5	1.1588
3.5	1.1616
3.51	1.1654
3.51	1.1685
3.51	1.1711
3.51	1.1724
3.51	1.1722
3.52	1.1701
3.52	1.1675
3.52	1.1656
3.52	1.1649
3.53	1.1658
3.53	1.1689
3.53	1.1737
3.53	1.1784
3.54	1.1824
3.54	1.1852
3.54	1.1872
3.54	1.1893
3.55	1.1928
3.55	1.1985
3.55	1.2056
3.55	1.2132
3.56	1.2196
3.56	1.2227
3.56	1.2222
3.56	1.2194
3.57	1.2161
3.57	1.214
3.57	1.214
3.57	1.2161
3.58	1.2191
3.58	1.222
3.58	1.225
3.58	1.2293
3.59	1.2367
3.59	1.2466
3.59	1.2575
3.59	1.2672
3.6	1.2731
3.6	1.2753
3.6	1.2753
3.6	1.2753
3.61	1.2774
3.61	1.2819
3.61	1.2871
3.61	1.2907
3.62	1.2912
3.62	1.2885
3.62	1.284
3.62	1.2795
3.63	1.2776
3.63	1.2781
3.63	1.2805
3.63	1.2826
3.64	1.2833
3.64	1.2823
3.64	1.2802
3.64	1.2786
3.65	1.2781
3.65	1.2792
3.65	1.2814
3.65	1.2833
3.66	1.2848
3.66	1.2859
3.66	1.2869
3.66	1.2873
3.67	1.2869
3.67	1.2848
3.67	1.2812
3.67	1.2774
3.68	1.2741
3.68	1.2729
3.68	1.2731
3.68	1.2726
3.69	1.2698
3.69	1.2639
3.69	1.2554
3.7	1.2454
3.7	1.2371
3.7	1.2322
3.7	1.2303
3.71	1.2305
3.71	1.2314
3.71	1.2312
3.71	1.2286
3.72	1.2238
3.72	1.2177
3.72	1.211
3.72	1.203
3.73	1.1938
3.73	1.1836
3.73	1.1727
3.73	1.1616
3.74	1.1519
3.74	1.1453
3.74	1.1419
3.75	1.1415
3.75	1.1424
3.75	1.144
3.75	1.1445
3.76	1.1424
3.76	1.1372
3.76	1.1292
3.76	1.1192
3.77	1.108
3.77	1.0967
3.77	1.0868
3.78	1.0783
3.78	1.0707
3.78	1.064
3.78	1.0581
3.79	1.0524
3.79	1.0472
3.79	1.0429
3.8	1.0401
3.8	1.0377
3.8	1.0354
3.8	1.0313
3.81	1.0252
3.81	1.0164
3.81	1.0055
3.81	0.9942
3.82	0.9845
3.82	0.9771
3.82	0.9726
3.83	0.9705
3.83	0.9698
3.83	0.9695
3.83	0.9679
3.84	0.9651
3.84	0.961
3.84	0.9562
3.85	0.9503
3.85	0.9432
3.85	0.9355
3.85	0.9274
3.86	0.92
3.86	0.9146
3.86	0.911
3.87	0.9092
3.87	0.9072
3.87	0.9046
3.87	0.9006
3.88	0.8961
3.88	0.8913
3.88	0.8883
3.89	0.8869
3.89	0.8867
3.89	0.8867
3.89	0.8864
3.9	0.8854
3.9	0.8838
3.9	0.8814
3.91	0.8781
3.91	0.8736
3.91	0.8672
3.92	0.8587
3.92	0.8494
3.92	0.8417
3.92	0.8366
3.93	0.8353
3.93	0.8364
3.93	0.8388
3.94	0.8402
3.94	0.8395
3.94	0.8366
3.95	0.8331
3.95	0.8295
3.95	0.8264
3.95	0.8231
3.96	0.8189
3.96	0.8128
3.96	0.8057
3.97	0.799
3.97	0.7942
3.97	0.7926
3.98	0.7934
3.98	0.7957
3.98	0.7978
3.98	0.799
3.99	0.7985
3.99	0.7967
3.99	0.7934
4	0.7891
4	0.7841
4	0.7791
4.01	0.7746
4.01	0.7709
4.01	0.7687
4.02	0.7679
4.02	0.7678
4.02	0.7668
4.02	0.7651
4.03	0.7625
4.03	0.7592
4.03	0.7564
4.04	0.7548
4.04	0.7548
4.04	0.7559
4.05	0.7571
4.05	0.7578
4.05	0.7578
4.06	0.7561
4.06	0.7536
4.06	0.751
4.07	0.7481
4.07	0.7451
4.07	0.7413
4.08	0.7367
4.08	0.7323
4.08	0.728
4.09	0.7249
4.09	0.7237
4.09	0.7244
4.09	0.7263
4.1	0.728
4.1	0.7287
4.1	0.7277
4.11	0.7252
4.11	0.7223
4.11	0.7204
4.12	0.7196
4.12	0.7204
4.12	0.7218
4.13	0.7221
4.13	0.7206
4.13	0.718
4.14	0.7154
4.14	0.7137
4.14	0.7142
4.15	0.7168
4.15	0.7204
4.15	0.7223
4.16	0.7218
4.16	0.7188
4.16	0.7135
4.17	0.7078
4.17	0.7038
4.17	0.7024
4.18	0.7033
4.18	0.7052
4.18	0.7073
4.19	0.7081
4.19	0.7065
4.19	0.7022
4.2	0.6963
4.2	0.6903
4.2	0.6851
4.21	0.6815
4.21	0.6804
4.21	0.6818
4.22	0.6849
4.22	0.6879
4.23	0.6891
4.23	0.6877
4.23	0.683
4.24	0.6761
4.24	0.6688
4.24	0.6628
4.25	0.6603
4.25	0.6605
4.25	0.6631
4.26	0.6667
4.26	0.6707
4.26	0.6735
4.27	0.6747
4.27	0.6733
4.27	0.6695
4.28	0.6633
4.28	0.656
4.28	0.6496
4.29	0.6463
4.29	0.647
4.3	0.6508
4.3	0.655
4.3	0.6586
4.31	0.66
4.31	0.6588
4.31	0.656
4.32	0.6534
4.32	0.6513
4.32	0.6496
4.33	0.6477
4.33	0.646
4.33	0.6442
4.34	0.6422
4.34	0.6408
4.35	0.6401
4.35	0.6401
4.35	0.6401
4.36	0.6404
4.36	0.6406
4.36	0.6404
4.37	0.6396
4.37	0.6389
4.37	0.638
4.38	0.6378
4.38	0.638
4.39	0.6389
4.39	0.6389
4.39	0.6375
4.4	0.6347
4.4	0.6314
4.4	0.6289
4.41	0.6285
4.41	0.6304
4.42	0.6335
4.42	0.6356
4.42	0.6356
4.43	0.6335
4.43	0.6314
4.43	0.6311
4.44	0.6335
4.44	0.6385
4.45	0.6439
4.45	0.648
4.45	0.6493
4.46	0.6477
4.46	0.6446
4.47	0.6411
4.47	0.6383
4.47	0.6363
4.48	0.6353
4.48	0.6352
4.48	0.6353
4.49	0.6365
4.49	0.6386
4.5	0.6416
4.5	0.6439
4.5	0.6446
4.51	0.6422
4.51	0.6375
4.52	0.6319
4.52	0.6273
4.52	0.6257
4.53	0.6281
4.53	0.6345
4.54	0.6437
4.54	0.6541
4.54	0.6638
4.55	0.6713
4.55	0.6761
4.56	0.6773
4.56	0.6749
4.56	0.6705
4.57	0.6649
4.57	0.6605
4.58	0.6572
4.58	0.6555
4.58	0.6548
4.59	0.6544
4.59	0.6536
4.6	0.6534
4.6	0.655
4.6	0.659
4.61	0.6638
4.61	0.6688
4.62	0.6726
4.62	0.6742
4.62	0.673
4.63	0.67
4.63	0.6664
4.64	0.6636
4.64	0.6616
4.65	0.6616
4.65	0.6633
4.65	0.6664
4.66	0.6695
4.66	0.6713
4.67	0.6723
4.67	0.6721
4.67	0.6711
4.68	0.6707
4.68	0.6713
4.69	0.674
4.69	0.6782
4.7	0.6832
4.7	0.6884
4.7	0.6927
4.71	0.6946
4.71	0.6936
4.72	0.6905
4.72	0.6858
4.73	0.681
4.73	0.6782
4.73	0.6782
4.74	0.6806
4.74	0.6837
4.75	0.6866
4.75	0.6882
4.76	0.6882
4.76	0.6877
4.76	0.6879
4.77	0.6891
4.77	0.6908
4.78	0.692
4.78	0.6932
4.79	0.6941
4.79	0.6951
4.8	0.6968
4.8	0.6993
4.8	0.7019
4.81	0.7033
4.81	0.7035
4.82	0.7029
4.82	0.7014
4.83	0.7
4.83	0.6993
4.84	0.6996
4.84	0.7007
4.85	0.7019
4.85	0.7038
4.85	0.706
4.86	0.7091
4.86	0.7126
4.87	0.7166
4.87	0.7216
4.88	0.7265
4.88	0.7306
4.89	0.7327
