Name:  Frost
1	89.91
1.02	88.75
1.04	88.12
1.06	89.68
1.08	89.68
1.1	89.77
1.12	89.97
1.14	89.13
1.16	87.61
1.18	85
1.2	82.35
1.22	74.52
1.24	77.17
1.26	76.86
1.28	77.27
1.3	74.87
1.32	77.47
1.34	76.88
1.36	76.43
1.38	75.86
1.4	74.59
1.42	61.75
1.44	37.84
1.46	29.82
1.48	24.69
1.5	21.54
1.52	22.63
1.54	22.52
1.56	26.41
1.58	30.24
1.6	31.3
1.62	29.81
1.64	38.37
1.66	39.91
1.68	44.55
1.7	45.44
1.72	48.1
1.74	47.6
1.76	50.69
1.78	48.84
1.8	54.32
1.82	54.11
1.84	58.29
1.86	54.39
1.88	42.84
1.9	30.62
1.92	21.8
1.94	17.09
1.96	13.1
1.98	11.57
2	10.77
2.02	11.43
2.04	13.1
2.06	13.93
2.08	16.16
2.1	19.27
2.12	23.32
2.14	30.15
2.16	33.64
2.18	36.36
2.2	42.93
2.22	45.29
2.24	44.81
2.24	44.81
2.25	44.78
2.25	44.74
2.25	44.71
2.25	44.67
2.25	44.64
2.25	44.61
2.25	44.59
2.25	44.57
2.25	44.55
2.25	44.53
2.25	44.51
2.26	44.49
2.26	44.47
2.26	44.44
2.26	44.42
2.26	44.39
2.26	44.36
2.26	44.33
2.26	44.3
2.26	44.26
2.26	44.21
2.27	44.17
2.27	44.12
2.27	44.07
2.27	44.02
2.27	43.96
2.27	43.9
2.27	43.83
2.27	43.77
2.27	43.69
2.27	43.62
2.28	43.54
2.28	43.46
2.28	43.38
2.28	43.3
2.28	43.22
2.28	43.15
2.28	43.07
2.28	42.99
2.28	42.92
2.28	42.86
2.29	42.79
2.29	42.72
2.29	42.64
2.29	42.56
2.29	42.47
2.29	42.37
2.29	42.27
2.29	42.17
2.29	42.06
2.29	41.97
2.3	41.87
2.3	41.79
2.3	41.71
2.3	41.63
2.3	41.55
2.3	41.47
2.3	41.39
2.3	41.3
2.3	41.2
2.31	41.1
2.31	40.99
2.31	40.87
2.31	40.75
2.31	40.63
2.31	40.51
2.31	40.39
2.31	40.28
2.31	40.18
2.31	40.08
2.32	39.98
2.32	39.88
2.32	39.78
2.32	39.67
2.32	39.57
2.32	39.46
2.32	39.35
2.32	39.25
2.32	39.15
2.32	39.05
2.33	38.96
2.33	38.87
2.33	38.78
2.33	38.7
2.33	38.6
2.33	38.51
2.33	38.41
2.33	38.3
2.33	38.2
2.34	38.08
2.34	37.97
2.34	37.86
2.34	37.75
2.34	37.64
2.34	37.53
2.34	37.43
2.34	37.33
2.34	37.23
2.34	37.13
2.35	37.04
2.35	36.96
2.35	36.88
2.35	36.8
2.35	36.73
2.35	36.65
2.35	36.58
2.35	36.5
2.35	36.43
2.36	36.35
2.36	36.27
2.36	36.2
2.36	36.12
2.36	36.05
2.36	35.99
2.36	35.92
2.36	35.86
2.36	35.79
2.37	35.73
2.37	35.67
2.37	35.6
2.37	35.53
2.37	35.46
2.37	35.39
2.37	35.32
2.37	35.25
2.37	35.18
2.37	35.12
2.38	35.06
2.38	35
2.38	34.94
2.38	34.89
2.38	34.83
2.38	34.77
2.38	34.72
2.38	34.67
2.38	34.62
2.39	34.57
2.39	34.52
2.39	34.46
2.39	34.41
2.39	34.36
2.39	34.31
2.39	34.26
2.39	34.21
2.39	34.16
2.4	34.12
2.4	34.07
2.4	34.02
2.4	33.97
2.4	33.92
2.4	33.87
2.4	33.82
2.4	33.77
2.4	33.73
2.41	33.68
2.41	33.64
2.41	33.59
2.41	33.54
2.41	33.49
2.41	33.45
2.41	33.4
2.41	33.35
2.41	33.31
2.42	33.26
2.42	33.22
2.42	33.17
2.42	33.12
2.42	33.07
2.42	33.01
2.42	32.95
2.42	32.89
2.42	32.83
2.43	32.76
2.43	32.7
2.43	32.65
2.43	32.6
2.43	32.56
2.43	32.52
2.43	32.48
2.43	32.44
2.44	32.4
2.44	32.35
2.44	32.31
2.44	32.26
2.44	32.21
2.44	32.16
2.44	32.12
2.44	32.07
2.44	32.03
2.45	31.99
2.45	31.94
2.45	31.89
2.45	31.83
2.45	31.77
2.45	31.7
2.45	31.64
2.45	31.58
2.45	31.53
2.46	31.47
2.46	31.43
2.46	31.38
2.46	31.33
2.46	31.28
2.46	31.22
2.46	31.17
2.46	31.1
2.47	31.04
2.47	30.97
2.47	30.9
2.47	30.84
2.47	30.78
2.47	30.72
2.47	30.67
2.47	30.63
2.47	30.59
2.48	30.56
2.48	30.52
2.48	30.48
2.48	30.43
2.48	30.38
2.48	30.33
2.48	30.27
2.48	30.22
2.49	30.16
2.49	30.1
2.49	30.04
2.49	29.98
2.49	29.93
2.49	29.87
2.49	29.81
2.49	29.76
2.49	29.7
2.5	29.65
2.5	29.59
2.5	29.54
2.5	29.48
2.5	29.43
2.5	29.38
2.5	29.33
2.5	29.28
2.51	29.24
2.51	29.2
2.51	29.16
2.51	29.12
2.51	29.08
2.51	29.03
2.51	28.98
2.51	28.93
2.52	28.88
2.52	28.83
2.52	28.79
2.52	28.75
2.52	28.71
2.52	28.67
2.52	28.64
2.52	28.59
2.53	28.54
2.53	28.47
2.53	28.41
2.53	28.33
2.53	28.27
2.53	28.21
2.53	28.17
2.53	28.14
2.54	28.12
2.54	28.11
2.54	28.09
2.54	28.07
2.54	28.05
2.54	28.01
2.54	27.96
2.54	27.91
2.54	27.86
2.55	27.82
2.55	27.8
2.55	27.79
2.55	27.81
2.55	27.84
2.55	27.85
2.55	27.85
2.56	27.79
2.56	27.68
2.56	27.53
2.56	27.34
2.56	27.16
2.56	27.01
2.56	26.92
2.56	26.88
2.57	26.89
2.57	26.92
2.57	26.95
2.57	26.96
2.57	26.94
2.57	26.9
2.57	26.86
2.57	26.82
2.58	26.78
2.58	26.74
2.58	26.69
2.58	26.62
2.58	26.53
2.58	26.44
2.58	26.36
2.58	26.27
2.59	26.18
2.59	26.05
2.59	25.88
2.59	25.66
2.59	25.42
2.59	25.19
2.59	25.03
2.59	24.96
2.6	24.99
2.6	25.09
2.6	25.22
2.6	25.31
2.6	25.33
2.6	25.28
2.6	25.18
2.61	25.08
2.61	25
2.61	24.98
2.61	24.99
2.61	25.01
2.61	24.99
2.61	24.91
2.61	24.78
2.62	24.62
2.62	24.46
2.62	24.34
2.62	24.27
2.62	24.23
2.62	24.19
2.62	24.13
2.62	24.02
2.63	23.87
2.63	23.71
2.63	23.57
2.63	23.49
2.63	23.49
2.63	23.56
2.63	23.67
2.64	23.79
2.64	23.88
2.64	23.89
2.64	23.83
2.64	23.7
2.64	23.52
2.64	23.31
2.64	23.09
2.65	22.87
2.65	22.67
2.65	22.48
2.65	22.29
2.65	22.11
2.65	21.93
2.65	21.74
2.66	21.52
2.66	21.25
2.66	20.92
2.66	20.51
2.66	20.04
2.66	19.53
2.66	19.01
2.67	18.53
2.67	18.13
2.67	17.83
2.67	17.63
2.67	17.52
2.67	17.46
2.67	17.42
2.68	17.38
2.68	17.31
2.68	17.23
2.68	17.13
2.68	17.02
2.68	16.9
2.68	16.76
2.68	16.59
2.69	16.37
2.69	16.09
2.69	15.76
2.69	15.39
2.69	15.01
2.69	14.64
2.69	14.3
2.7	14
2.7	13.74
2.7	13.5
2.7	13.26
2.7	13
2.7	12.71
2.7	12.39
2.71	12.04
2.71	11.68
2.71	11.33
2.71	10.99
2.71	10.67
2.71	10.36
2.71	10.04
2.72	9.71
2.72	9.36
2.72	8.99
2.72	8.63
2.72	8.29
2.72	8
2.72	7.75
2.73	7.55
2.73	7.37
2.73	7.19
2.73	6.99
2.73	6.75
2.73	6.47
2.73	6.16
2.74	5.84
2.74	5.52
2.74	5.23
2.74	4.96
2.74	4.74
2.74	4.54
2.74	4.37
2.75	4.19
2.75	4.01
2.75	3.82
2.75	3.62
2.75	3.41
2.75	3.2
2.75	3.01
2.76	2.82
2.76	2.66
2.76	2.51
2.76	2.38
2.76	2.25
2.76	2.13
2.76	2.02
2.77	1.91
2.77	1.81
2.77	1.72
2.77	1.63
2.77	1.54
2.77	1.46
2.78	1.38
2.78	1.3
2.78	1.23
2.78	1.15
2.78	1.09
2.78	1.02
2.78	0.97
2.79	0.92
2.79	0.88
2.79	0.84
2.79	0.81
2.79	0.78
2.79	0.76
2.79	0.73
2.8	0.7
2.8	0.67
2.8	0.64
2.8	0.61
2.8	0.59
2.8	0.56
2.81	0.55
2.81	0.54
2.81	0.53
2.81	0.52
2.81	0.51
2.81	0.49
2.81	0.48
2.82	0.47
2.82	0.46
2.82	0.45
2.82	0.44
2.82	0.43
2.82	0.42
2.83	0.42
2.83	0.41
2.83	0.4
2.83	0.39
2.83	0.39
2.83	0.39
2.83	0.39
2.84	0.4
2.84	0.41
2.84	0.43
2.84	0.44
2.84	0.44
2.84	0.45
2.85	0.44
2.85	0.43
2.85	0.42
2.85	0.4
2.85	0.38
2.85	0.36
2.85	0.35
2.86	0.33
2.86	0.32
2.86	0.32
2.86	0.31
2.86	0.31
2.86	0.31
2.87	0.31
2.87	0.32
2.87	0.33
2.87	0.34
2.87	0.34
2.87	0.35
2.88	0.34
2.88	0.34
2.88	0.33
2.88	0.33
2.88	0.33
2.88	0.34
2.88	0.35
2.89	0.37
2.89	0.4
2.89	0.42
2.89	0.44
2.89	0.45
2.89	0.46
2.9	0.47
2.9	0.47
2.9	0.47
2.9	0.47
2.9	0.46
2.9	0.46
2.91	0.46
2.91	0.46
2.91	0.46
2.91	0.47
2.91	0.49
2.91	0.5
2.92	0.51
2.92	0.52
2.92	0.52
2.92	0.52
2.92	0.52
2.92	0.52
2.93	0.52
2.93	0.52
2.93	0.53
2.93	0.54
2.93	0.55
2.93	0.55
2.94	0.56
2.94	0.57
2.94	0.58
2.94	0.6
2.94	0.62
2.94	0.64
2.95	0.67
2.95	0.69
2.95	0.71
2.95	0.71
2.95	0.71
2.95	0.69
2.96	0.67
2.96	0.65
2.96	0.64
2.96	0.64
2.96	0.65
2.96	0.67
2.97	0.69
2.97	0.71
2.97	0.72
2.97	0.72
2.97	0.71
2.97	0.7
2.98	0.69
2.98	0.69
2.98	0.68
2.98	0.68
2.98	0.69
2.98	0.7
2.99	0.71
2.99	0.72
2.99	0.73
2.99	0.74
2.99	0.76
2.99	0.77
3	0.79
3	0.81
3	0.83
3	0.85
3	0.87
3.01	0.89
3.01	0.91
3.01	0.92
3.01	0.94
3.01	0.95
3.01	0.95
3.02	0.96
3.02	0.96
3.02	0.96
3.02	0.97
3.02	0.97
3.02	0.98
3.03	1
3.03	1.02
3.03	1.05
3.03	1.08
3.03	1.11
3.04	1.15
3.04	1.19
3.04	1.22
3.04	1.24
3.04	1.27
3.04	1.28
3.05	1.29
3.05	1.29
3.05	1.29
3.05	1.29
3.05	1.28
3.05	1.28
3.06	1.29
3.06	1.29
3.06	1.3
3.06	1.31
3.06	1.33
3.07	1.35
3.07	1.37
3.07	1.4
3.07	1.42
3.07	1.44
3.07	1.46
3.08	1.46
3.08	1.46
3.08	1.46
3.08	1.45
3.08	1.43
3.09	1.41
3.09	1.39
3.09	1.38
3.09	1.37
3.09	1.36
3.1	1.35
3.1	1.34
3.1	1.34
3.1	1.33
3.1	1.32
3.1	1.31
3.11	1.29
3.11	1.28
3.11	1.27
3.11	1.26
3.11	1.26
3.12	1.27
3.12	1.27
3.12	1.27
3.12	1.27
3.12	1.26
3.12	1.25
3.13	1.23
3.13	1.21
3.13	1.19
3.13	1.18
3.13	1.18
3.14	1.19
3.14	1.21
3.14	1.23
3.14	1.25
3.14	1.26
3.15	1.26
3.15	1.25
3.15	1.23
3.15	1.21
3.15	1.2
3.16	1.18
3.16	1.18
3.16	1.17
3.16	1.17
3.16	1.17
3.16	1.17
3.17	1.17
3.17	1.17
3.17	1.16
3.17	1.16
3.17	1.16
3.18	1.16
3.18	1.17
3.18	1.17
3.18	1.17
3.18	1.17
3.19	1.16
3.19	1.15
3.19	1.14
3.19	1.13
3.19	1.13
3.2	1.12
3.2	1.11
3.2	1.11
3.2	1.11
3.2	1.11
3.21	1.1
3.21	1.1
3.21	1.1
3.21	1.11
3.21	1.11
3.22	1.11
3.22	1.11
3.22	1.1
3.22	1.09
3.22	1.08
3.23	1.07
3.23	1.06
3.23	1.04
3.23	1.03
3.23	1.03
3.24	1.02
3.24	1.02
3.24	1.01
3.24	1.01
3.24	1.01
3.25	1.01
3.25	1.01
3.25	1.02
3.25	1.02
3.25	1.03
3.26	1.03
3.26	1.04
3.26	1.04
3.26	1.05
3.26	1.05
3.27	1.04
3.27	1.04
3.27	1.03
3.27	1.02
3.27	1.01
3.28	1.01
3.28	1.01
3.28	1.01
3.28	1.01
3.29	1.02
3.29	1.03
3.29	1.04
3.29	1.05
3.29	1.06
3.3	1.07
3.3	1.08
3.3	1.09
3.3	1.11
3.3	1.12
3.31	1.12
3.31	1.12
3.31	1.12
3.31	1.11
3.31	1.11
3.32	1.1
3.32	1.1
3.32	1.1
3.32	1.11
3.33	1.12
3.33	1.14
3.33	1.16
3.33	1.19
3.33	1.21
3.34	1.23
3.34	1.25
3.34	1.27
3.34	1.29
3.34	1.31
3.35	1.32
3.35	1.34
3.35	1.36
3.35	1.37
3.36	1.39
3.36	1.41
3.36	1.42
3.36	1.44
3.36	1.46
3.37	1.47
3.37	1.5
3.37	1.52
3.37	1.54
3.38	1.56
3.38	1.59
3.38	1.61
3.38	1.63
3.38	1.65
3.39	1.67
3.39	1.7
3.39	1.73
3.39	1.77
3.39	1.81
3.4	1.86
3.4	1.9
3.4	1.94
3.4	1.98
3.41	2.02
3.41	2.06
3.41	2.1
3.41	2.15
3.42	2.19
3.42	2.24
3.42	2.29
3.42	2.33
3.42	2.38
3.43	2.43
3.43	2.49
3.43	2.55
3.43	2.61
3.44	2.67
3.44	2.73
3.44	2.79
3.44	2.86
3.44	2.92
3.45	2.98
3.45	3.04
3.45	3.11
3.45	3.18
3.46	3.25
3.46	3.32
3.46	3.4
3.46	3.48
3.47	3.56
3.47	3.64
3.47	3.73
3.47	3.83
3.47	3.92
3.48	4.01
3.48	4.1
3.48	4.2
3.48	4.29
3.49	4.38
3.49	4.47
3.49	4.56
3.49	4.65
3.5	4.74
3.5	4.84
3.5	4.94
3.5	5.03
3.51	5.13
3.51	5.23
3.51	5.32
3.51	5.42
3.51	5.53
3.52	5.63
3.52	5.74
3.52	5.85
3.52	5.97
3.53	6.09
3.53	6.21
3.53	6.33
3.53	6.45
3.54	6.58
3.54	6.7
3.54	6.81
3.54	6.93
3.55	7.04
3.55	7.16
3.55	7.27
3.55	7.39
3.56	7.5
3.56	7.62
3.56	7.74
3.56	7.87
3.57	7.99
3.57	8.12
3.57	8.24
3.57	8.35
3.58	8.47
3.58	8.58
3.58	8.69
3.58	8.8
3.59	8.91
3.59	9.01
3.59	9.12
3.59	9.23
3.6	9.34
3.6	9.45
3.6	9.56
3.6	9.66
3.61	9.77
3.61	9.88
3.61	9.98
3.61	10.09
3.62	10.19
3.62	10.29
3.62	10.39
3.62	10.48
3.63	10.57
3.63	10.65
3.63	10.73
3.63	10.8
3.64	10.88
3.64	10.96
3.64	11.03
3.64	11.11
3.65	11.18
3.65	11.26
3.65	11.33
3.65	11.39
3.66	11.45
3.66	11.5
3.66	11.56
3.66	11.61
3.67	11.65
3.67	11.7
3.67	11.74
3.67	11.78
3.68	11.81
3.68	11.85
3.68	11.88
3.68	11.9
3.69	11.93
3.69	11.94
3.69	11.96
3.7	11.97
3.7	11.98
3.7	11.99
3.7	11.99
3.71	12
3.71	12
3.71	12
3.71	12
3.72	11.99
3.72	11.97
3.72	11.95
3.72	11.93
3.73	11.9
3.73	11.87
3.73	11.84
3.73	11.8
3.74	11.77
3.74	11.73
3.74	11.68
3.75	11.64
3.75	11.59
3.75	11.54
3.75	11.49
3.76	11.43
3.76	11.38
3.76	11.32
3.76	11.27
3.77	11.22
3.77	11.17
3.77	11.11
3.78	11.05
3.78	10.99
3.78	10.92
3.78	10.85
3.79	10.76
3.79	10.68
3.79	10.59
3.8	10.51
3.8	10.43
3.8	10.35
3.8	10.29
3.81	10.22
3.81	10.16
3.81	10.1
3.81	10.03
3.82	9.96
3.82	9.89
3.82	9.81
3.83	9.74
3.83	9.66
3.83	9.59
3.83	9.52
3.84	9.44
3.84	9.37
3.84	9.3
3.85	9.22
3.85	9.15
3.85	9.07
3.85	8.99
3.86	8.91
3.86	8.84
3.86	8.76
3.87	8.68
3.87	8.61
3.87	8.54
3.87	8.48
3.88	8.41
3.88	8.35
3.88	8.29
3.89	8.23
3.89	8.17
3.89	8.1
3.89	8.03
3.9	7.97
3.9	7.9
3.9	7.84
3.91	7.77
3.91	7.71
3.91	7.65
3.92	7.6
3.92	7.54
3.92	7.49
3.92	7.43
3.93	7.38
3.93	7.32
3.93	7.26
3.94	7.2
3.94	7.14
3.94	7.08
3.95	7.02
3.95	6.96
3.95	6.91
3.95	6.85
3.96	6.8
3.96	6.75
3.96	6.69
3.97	6.63
3.97	6.57
3.97	6.51
3.98	6.46
3.98	6.4
3.98	6.35
3.98	6.3
3.99	6.25
3.99	6.21
3.99	6.16
4	6.12
4	6.07
4	6.03
4.01	5.98
4.01	5.93
4.01	5.89
4.02	5.84
4.02	5.8
4.02	5.76
4.02	5.72
4.03	5.68
4.03	5.64
4.03	5.6
4.04	5.56
4.04	5.52
4.04	5.48
4.05	5.44
4.05	5.4
4.05	5.36
4.06	5.31
4.06	5.27
4.06	5.23
4.07	5.19
4.07	5.15
4.07	5.1
4.08	5.06
4.08	5.02
4.08	4.98
4.09	4.94
4.09	4.9
4.09	4.86
4.09	4.82
4.1	4.79
4.1	4.76
4.1	4.73
4.11	4.71
4.11	4.68
4.11	4.66
4.12	4.64
4.12	4.62
4.12	4.6
4.13	4.59
4.13	4.57
4.13	4.55
4.14	4.53
4.14	4.51
4.14	4.48
4.15	4.45
4.15	4.43
4.15	4.4
4.16	4.37
4.16	4.35
4.16	4.32
4.17	4.29
4.17	4.26
4.17	4.22
4.18	4.19
4.18	4.15
4.18	4.11
4.19	4.08
4.19	4.05
4.19	4.02
4.2	3.99
4.2	3.97
4.2	3.94
4.21	3.9
4.21	3.87
4.21	3.84
4.22	3.8
4.22	3.77
4.23	3.74
4.23	3.72
4.23	3.69
4.24	3.66
4.24	3.64
4.24	3.62
4.25	3.59
4.25	3.56
4.25	3.53
4.26	3.5
4.26	3.46
4.26	3.42
4.27	3.38
4.27	3.34
4.27	3.3
4.28	3.27
4.28	3.25
4.28	3.22
4.29	3.19
4.29	3.17
4.3	3.14
4.3	3.1
4.3	3.06
4.31	3.02
4.31	2.98
4.31	2.94
4.32	2.9
4.32	2.86
4.32	2.82
4.33	2.79
4.33	2.77
4.33	2.75
4.34	2.73
4.34	2.71
4.35	2.69
4.35	2.67
4.35	2.64
4.36	2.62
4.36	2.58
4.36	2.55
4.37	2.52
4.37	2.49
4.37	2.46
4.38	2.44
4.38	2.42
4.39	2.4
4.39	2.38
4.39	2.36
4.4	2.35
4.4	2.33
4.4	2.31
4.41	2.29
4.41	2.27
4.42	2.24
4.42	2.22
4.42	2.2
4.43	2.18
4.43	2.17
4.43	2.16
4.44	2.16
4.44	2.15
4.45	2.15
4.45	2.15
4.45	2.14
4.46	2.13
4.46	2.12
4.47	2.11
4.47	2.1
4.47	2.09
4.48	2.08
4.48	2.08
4.48	2.08
4.49	2.09
4.49	2.09
4.5	2.1
4.5	2.11
4.5	2.12
4.51	2.13
4.51	2.14
4.52	2.15
4.52	2.16
4.52	2.17
4.53	2.19
4.53	2.2
4.54	2.22
4.54	2.24
4.54	2.25
4.55	2.27
4.55	2.28
4.56	2.3
4.56	2.32
4.56	2.34
4.57	2.37
4.57	2.4
4.58	2.43
4.58	2.46
4.58	2.5
4.59	2.53
4.59	2.57
4.6	2.6
4.6	2.64
4.6	2.68
4.61	2.73
4.61	2.77
4.62	2.82
4.62	2.87
4.62	2.92
4.63	2.96
4.63	3.01
4.64	3.05
4.64	3.1
4.65	3.14
4.65	3.19
4.65	3.23
4.66	3.28
4.66	3.33
4.67	3.38
4.67	3.44
4.67	3.49
4.68	3.55
4.68	3.61
4.69	3.67
4.69	3.73
4.7	3.78
4.7	3.84
4.7	3.9
4.71	3.96
4.71	4.02
4.72	4.08
4.72	4.14
4.73	4.2
4.73	4.26
4.73	4.31
4.74	4.37
4.74	4.43
4.75	4.49
4.75	4.56
4.76	4.62
4.76	4.68
4.76	4.74
4.77	4.79
4.77	4.85
4.78	4.9
4.78	4.95
4.79	5
4.79	5.05
4.8	5.1
4.8	5.15
4.8	5.21
4.81	5.26
4.81	5.32
4.82	5.38
4.82	5.43
4.83	5.49
4.83	5.54
4.84	5.59
4.84	5.64
4.85	5.69
4.85	5.74
4.85	5.78
4.86	5.83
4.86	5.87
4.87	5.92
4.87	5.97
4.88	6.01
4.88	6.06
4.89	6.11
4.89	6.16
4.9	6.2
4.9	6.24
4.9	6.28
4.91	6.31
4.91	6.35
4.92	6.38
4.92	6.42
4.93	6.45
4.93	6.49
4.94	6.52
4.94	6.56
4.95	6.59
4.95	6.61
4.96	6.64
4.96	6.67
4.97	6.7
4.97	6.72
4.98	6.75
4.98	6.78
4.98	6.8
4.99	6.83
4.99	6.85
5	6.87
5	6.88
5.01	6.89
5.01	6.9
5.02	6.91
5.02	6.92
5.03	6.93
5.03	6.94
5.04	6.95
5.04	6.96
5.05	6.98
5.05	6.99
5.06	6.99
5.06	6.99
5.07	6.99
5.07	6.98
5.08	6.97
5.08	6.95
5.09	6.94
5.09	6.93
5.1	6.92
5.1	6.91
5.11	6.9
5.11	6.89
5.12	6.87
5.12	6.85
5.13	6.82
5.13	6.79
5.14	6.76
5.14	6.73
5.15	6.71
5.15	6.68
5.16	6.66
5.16	6.63
5.17	6.61
5.17	6.58
5.18	6.55
5.18	6.51
5.19	6.47
5.19	6.43
5.2	6.39
5.2	6.35
5.21	6.31
5.22	6.28
5.22	6.24
5.23	6.21
5.23	6.17
5.24	6.14
5.24	6.1
5.25	6.06
5.25	6.01
5.26	5.97
5.26	5.92
5.27	5.87
5.27	5.81
5.28	5.76
5.28	5.7
5.29	5.65
5.3	5.6
5.3	5.56
5.31	5.52
5.31	5.47
5.32	5.43
5.32	5.38
5.33	5.33
5.33	5.26
5.34	5.19
5.34	5.12
5.35	5.05
5.36	4.99
5.36	4.94
5.37	4.9
5.37	4.86
5.38	4.83
5.38	4.79
5.39	4.75
5.39	4.7
5.4	4.65
5.41	4.59
5.41	4.52
5.42	4.47
5.42	4.41
5.43	4.36
5.43	4.31
5.44	4.26
5.45	4.21
5.45	4.16
5.46	4.1
5.46	4.05
5.47	3.99
5.47	3.94
5.48	3.9
5.49	3.86
5.49	3.82
5.5	3.77
5.5	3.73
5.51	3.68
5.52	3.63
5.52	3.57
5.53	3.52
5.53	3.46
5.54	3.4
5.54	3.35
5.55	3.28
5.56	3.22
5.56	3.16
5.57	3.1
5.57	3.06
5.58	3.01
5.59	2.98
5.59	2.95
5.6	2.92
5.6	2.88
5.61	2.83
