Name: Chiastolic Slate
Type:  Rocks
Class:  Metamorphic 
Subclass: Slate
Particle Size:  0-75 Micrometer
Sample No.:   slate3.doc
Owner:  JHU
Wavelength Range:  All
Origin:  Sample No. 462, The Hunt and Salisbury Collection at the U.S. 
Geological Survey, Denver, Co.
Description: This dark lineated rock is composed of porphyroblasts of chiastolic 
andalusite set in a matrix of angular quartz fragments, abundant carbonaceous 
granules, and either muscovite or illite (hydromuscovite) with a few biotite grains 
present as well.  The phyllosilicate shows typical 001 cleavage and nearly 
parallel extinction, but unlike muscovite the birefringence is gray, possibly due 
either to the thinness of the crystals or abundant small carbonaceous material.  
Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 14.0112	
6.8847	3.5281
6.8755	3.5484
6.8664	3.5702
6.8573	3.5939
6.8483	3.6195
6.8393	3.6458
6.8302	3.6716
6.8213	3.6955
6.8123	3.7168
6.8034	3.7358
6.7944	3.7531
6.7855	3.7692
6.7767	3.7850
6.7678	3.8002
6.7590	3.8149
6.7502	3.8284
6.7414	3.8407
6.7327	3.8523
6.7239	3.8634
6.7152	3.8750
6.7065	3.8876
6.6979	3.9008
6.6892	3.9134
6.6806	3.9245
6.6720	3.9333
6.6634	3.9401
6.6549	3.9458
6.6464	3.9520
6.6378	3.9596
6.6294	3.9690
6.6209	3.9799
6.6124	3.9908
6.6040	4.0003
6.5956	4.0076
6.5872	4.0136
6.5789	4.0190
6.5705	4.0256
6.5622	4.0346
6.5539	4.0462
6.5456	4.0602
6.5374	4.0747
6.5292	4.0886
6.5209	4.1019
6.5128	4.1151
6.5046	4.1301
6.4964	4.1481
6.4883	4.1699
6.4802	4.1945
6.4721	4.2193
6.4640	4.2414
6.4560	4.2575
6.4480	4.2667
6.4399	4.2691
6.4320	4.2674
6.4240	4.2648
6.4160	4.2641
6.4081	4.2665
6.4002	4.2712
6.3923	4.2764
6.3844	4.2793
6.3766	4.2781
6.3687	4.2722
6.3609	4.2624
6.3531	4.2506
6.3454	4.2383
6.3376	4.2267
6.3299	4.2158
6.3221	4.2047
6.3144	4.1924
6.3068	4.1784
6.2991	4.1627
6.2914	4.1462
6.2838	4.1301
6.2762	4.1154
6.2686	4.1028
6.2611	4.0924
6.2535	4.0841
6.2460	4.0773
6.2385	4.0718
6.2310	4.0673
6.2235	4.0638
6.2160	4.0621
6.2086	4.0630
6.2011	4.0678
6.1937	4.0775
6.1863	4.0924
6.1790	4.1130
6.1716	4.1381
6.1643	4.1665
6.1570	4.1959
6.1496	4.2246
6.1424	4.2511
6.1351	4.2750
6.1278	4.2968
6.1206	4.3169
6.1134	4.3359
6.1062	4.3534
6.0990	4.3683
6.0918	4.3792
6.0847	4.3856
6.0776	4.3877
6.0704	4.3877
6.0633	4.3882
6.0563	4.3920
6.0492	4.4012
6.0421	4.4159
6.0351	4.4341
6.0281	4.4536
6.0211	4.4708
6.0141	4.4839
6.0071	4.4917
6.0002	4.4950
5.9932	4.4950
5.9863	4.4926
5.9794	4.4896
5.9725	4.4862
5.9657	4.4832
5.9588	4.4813
5.9520	4.4817
5.9451	4.4851
5.9383	4.4919
5.9315	4.5021
5.9247	4.5147
5.9180	4.5284
5.9112	4.5424
5.9045	4.5568
5.8978	4.5724
5.8911	4.5909
5.8844	4.6136
5.8777	4.6406
5.8711	4.6705
5.8644	4.7008
5.8578	4.7285
5.8512	4.7519
5.8446	4.7704
5.8380	4.7853
5.8314	4.7988
5.8249	4.8133
5.8184	4.8296
5.8118	4.8479
5.8053	4.8659
5.7988	4.8812
5.7923	4.8924
5.7859	4.8990
5.7794	4.9026
5.7730	4.9052
5.7666	4.9092
5.7602	4.9163
5.7538	4.9265
5.7474	4.9383
5.7410	4.9504
5.7347	4.9606
5.7283	4.9684
5.7220	4.9738
5.7157	4.9779
5.7094	4.9814
5.7031	4.9850
5.6969	4.9885
5.6906	4.9909
5.6844	4.9914
5.6782	4.9883
5.6719	4.9817
5.6657	4.9715
5.6596	4.9592
5.6534	4.9461
5.6472	4.9343
5.6411	4.9246
5.6349	4.9175
5.6288	4.9130
5.6227	4.9099
5.6166	4.9071
5.6106	4.9035
5.6045	4.8990
5.5984	4.8940
5.5924	4.8895
5.5864	4.8865
5.5804	4.8860
5.5744	4.8891
5.5684	4.8962
5.5624	4.9071
5.5564	4.9210
5.5505	4.9374
5.5445	4.9554
5.5386	4.9743
5.5327	4.9937
5.5268	5.0134
5.5209	5.0333
5.5151	5.0529
5.5092	5.0724
5.5033	5.0908
5.4975	5.1081
5.4917	5.1242
5.4859	5.1394
5.4801	5.1541
5.4743	5.1687
5.4685	5.1837
5.4628	5.1986
5.4570	5.2126
5.4513	5.2246
5.4455	5.2332
5.4398	5.2374
5.4341	5.2369
5.4284	5.2322
5.4228	5.2234
5.4171	5.2116
5.4114	5.1967
5.4058	5.1792
5.4002	5.1586
5.3945	5.1346
5.3889	5.1081
5.3833	5.0797
5.3778	5.0508
5.3722	5.0236
5.3666	4.9997
5.3611	4.9812
5.3555	4.9693
5.3500	4.9644
5.3445	4.9663
5.3390	4.9736
5.3335	4.9850
5.3280	4.9989
5.3225	5.0136
5.3171	5.0283
5.3116	5.0430
5.3062	5.0579
5.3008	5.0740
5.2954	5.0920
5.2900	5.1126
5.2846	5.1358
5.2792	5.1616
5.2738	5.1893
5.2684	5.2187
5.2631	5.2493
5.2578	5.2808
5.2524	5.3132
5.2471	5.3461
5.2418	5.3790
5.2365	5.4112
5.2312	5.4418
5.2260	5.4702
5.2207	5.4958
5.2154	5.5188
5.2102	5.5384
5.2050	5.5555
5.1998	5.5701
5.1945	5.5827
5.1893	5.5934
5.1842	5.6028
5.1790	5.6116
5.1738	5.6194
5.1686	5.6265
5.1635	5.6331
5.1584	5.6393
5.1532	5.6450
5.1481	5.6509
5.1430	5.6571
5.1379	5.6637
5.1328	5.6715
5.1277	5.6798
5.1227	5.6883
5.1176	5.6966
5.1126	5.7032
5.1075	5.7080
5.1025	5.7099
5.0975	5.7089
5.0925	5.7058
5.0875	5.7011
5.0825	5.6961
5.0775	5.6921
5.0726	5.6895
5.0676	5.6893
5.0627	5.6909
5.0577	5.6942
5.0528	5.6980
5.0479	5.7016
5.0430	5.7042
5.0380	5.7058
5.0332	5.7068
5.0283	5.7075
5.0234	5.7087
5.0185	5.7106
5.0137	5.7139
5.0088	5.7186
5.0040	5.7248
4.9992	5.7326
4.9944	5.7423
4.9896	5.7539
4.9848	5.7679
4.9800	5.7845
4.9752	5.8029
4.9704	5.8233
4.9657	5.8441
4.9609	5.8645
4.9562	5.8835
4.9514	5.9003
4.9467	5.9149
4.9420	5.9277
4.9373	5.9398
4.9326	5.9517
4.9279	5.9647
4.9232	5.9791
4.9186	5.9955
4.9139	6.0135
4.9092	6.0329
4.9046	6.0523
4.9000	6.0715
4.8953	6.0892
4.8907	6.1056
4.8861	6.1203
4.8815	6.1335
4.8769	6.1458
4.8723	6.1579
4.8678	6.1693
4.8632	6.1807
4.8586	6.1913
4.8541	6.2008
4.8495	6.2093
4.8450	6.2164
4.8405	6.2226
4.8360	6.2283
4.8315	6.2335
4.8270	6.2389
4.8225	6.2446
4.8180	6.2508
4.8135	6.2569
4.8090	6.2628
4.8046	6.2685
4.8001	6.2737
4.7957	6.2787
4.7913	6.2839
4.7868	6.2896
4.7824	6.2955
4.7780	6.3021
4.7736	6.3090
4.7692	6.3161
4.7648	6.3235
4.7605	6.3310
4.7561	6.3388
4.7517	6.3474
4.7474	6.3566
4.7431	6.3661
4.7387	6.3758
4.7344	6.3853
4.7301	6.3933
4.7258	6.4002
4.7215	6.4056
4.7172	6.4099
4.7129	6.4134
4.7086	6.4168
4.7043	6.4208
4.7000	6.4253
4.6958	6.4305
4.6915	6.4364
4.6873	6.4426
4.6831	6.4490
4.6788	6.4551
4.6746	6.4613
4.6704	6.4672
4.6662	6.4729
4.6620	6.4788
4.6578	6.4850
4.6536	6.4916
4.6495	6.4985
4.6453	6.5056
4.6411	6.5124
4.6370	6.5191
4.6328	6.5252
4.6287	6.5311
4.6246	6.5368
4.6205	6.5425
4.6163	6.5480
4.6122	6.5539
4.6081	6.5593
4.6040	6.5648
4.6000	6.5700
4.5959	6.5750
4.5918	6.5799
4.5877	6.5849
4.5837	6.5903
4.5796	6.5963
4.5756	6.6020
4.5716	6.6079
4.5675	6.6136
4.5635	6.6190
4.5595	6.6240
4.5555	6.6282
4.5515	6.6323
4.5475	6.6353
4.5435	6.6382
4.5395	6.6403
4.5356	6.6420
4.5316	6.6434
4.5276	6.6451
4.5237	6.6469
4.5197	6.6493
4.5158	6.6526
4.5119	6.6567
4.5080	6.6614
4.5040	6.6664
4.5001	6.6716
4.4962	6.6765
4.4923	6.6810
4.4884	6.6848
4.4846	6.6882
4.4807	6.6910
4.4768	6.6936
4.4730	6.6962
4.4691	6.6995
4.4652	6.7031
4.4614	6.7069
4.4576	6.7111
4.4537	6.7159
4.4499	6.7204
4.4461	6.7253
4.4423	6.7301
4.4385	6.7350
4.4347	6.7398
4.4309	6.7448
4.4271	6.7495
4.4233	6.7540
4.4196	6.7585
4.4158	6.7630
4.4120	6.7675
4.4083	6.7717
4.4045	6.7760
4.4008	6.7800
4.3971	6.7841
4.3934	6.7876
4.3896	6.7909
4.3859	6.7942
4.3822	6.7980
4.3785	6.8018
4.3748	6.8066
4.3711	6.8118
4.3674	6.8175
4.3638	6.8234
4.3601	6.8291
4.3564	6.8343
4.3528	6.8388
4.3491	6.8423
4.3455	6.8454
4.3418	6.8485
4.3382	6.8518
4.3346	6.8551
4.3310	6.8587
4.3273	6.8622
4.3237	6.8653
4.3201	6.8679
4.3165	6.8698
4.3129	6.8714
4.3094	6.8729
4.3058	6.8745
4.3022	6.8764
4.2986	6.8790
4.2951	6.8821
4.2915	6.8852
4.2880	6.8887
4.2844	6.8921
4.2809	6.8951
4.2774	6.8980
4.2738	6.9003
4.2703	6.9022
4.2668	6.9044
4.2633	6.9063
4.2598	6.9084
4.2563	6.9110
4.2528	6.9138
4.2493	6.9169
4.2458	6.9202
4.2424	6.9235
4.2389	6.9271
4.2354	6.9307
4.2320	6.9342
4.2285	6.9378
4.2251	6.9411
4.2216	6.9441
4.2182	6.9468
4.2148	6.9489
4.2113	6.9505
4.2079	6.9520
4.2045	6.9534
4.2011	6.9550
4.1977	6.9569
4.1943	6.9595
4.1909	6.9626
4.1875	6.9657
4.1841	6.9688
4.1808	6.9716
4.1774	6.9740
4.1740	6.9759
4.1707	6.9775
4.1673	6.9794
4.1640	6.9818
4.1606	6.9849
4.1573	6.9887
4.1540	6.9927
4.1506	6.9967
4.1473	7.0003
4.1440	7.0029
4.1407	7.0045
4.1374	7.0057
4.1341	7.0067
4.1308	7.0079
4.1275	7.0100
4.1242	7.0133
4.1209	7.0176
4.1177	7.0223
4.1144	7.0275
4.1111	7.0322
4.1079	7.0363
4.1046	7.0396
4.1014	7.0422
4.0981	7.0441
4.0949	7.0457
4.0917	7.0469
4.0884	7.0481
4.0852	7.0491
4.0820	7.0502
4.0788	7.0517
4.0756	7.0536
4.0724	7.0557
4.0692	7.0585
4.0660	7.0618
4.0628	7.0656
4.0596	7.0697
4.0565	7.0732
4.0533	7.0765
4.0501	7.0789
4.0470	7.0808
4.0438	7.0820
4.0406	7.0829
4.0375	7.0836
4.0344	7.0846
4.0312	7.0860
4.0281	7.0881
4.0250	7.0907
4.0218	7.0938
4.0187	7.0969
4.0156	7.0997
4.0125	7.1021
4.0094	7.1040
4.0063	7.1057
4.0032	7.1073
4.0001	7.1094
3.9970	7.1121
3.9940	7.1154
3.9909	7.1192
3.9878	7.1232
3.9847	7.1270
3.9817	7.1303
3.9786	7.1331
3.9756	7.1350
3.9725	7.1362
3.9695	7.1369
3.9665	7.1369
3.9634	7.1367
3.9604	7.1364
3.9574	7.1364
3.9544	7.1369
3.9513	7.1383
3.9483	7.1405
3.9453	7.1433
3.9423	7.1464
3.9393	7.1495
3.9363	7.1523
3.9333	7.1549
3.9304	7.1570
3.9274	7.1589
3.9244	7.1613
3.9214	7.1637
3.9185	7.1665
3.9155	7.1694
3.9126	7.1717
3.9096	7.1741
3.9067	7.1760
3.9037	7.1772
3.9008	7.1784
3.8979	7.1791
3.8949	7.1798
3.8920	7.1803
3.8891	7.1807
3.8862	7.1812
3.8833	7.1821
3.8804	7.1838
3.8775	7.1862
3.8746	7.1893
3.8717	7.1930
3.8688	7.1971
3.8659	7.2009
3.8630	7.2037
3.8601	7.2056
3.8573	7.2063
3.8544	7.2058
3.8515	7.2046
3.8487	7.2035
3.8458	7.2028
3.8430	7.2028
3.8401	7.2037
3.8373	7.2051
3.8344	7.2073
3.8316	7.2094
3.8288	7.2110
3.8259	7.2122
3.8231	7.2132
3.8203	7.2139
3.8175	7.2148
3.8147	7.2163
3.8119	7.2184
3.8091	7.2208
3.8063	7.2236
3.8035	7.2262
3.8007	7.2288
3.7979	7.2307
3.7951	7.2321
3.7924	7.2335
3.7896	7.2350
3.7868	7.2361
3.7841	7.2371
3.7813	7.2376
3.7785	7.2371
3.7758	7.2359
3.7730	7.2345
3.7703	7.2333
3.7676	7.2331
3.7648	7.2342
3.7621	7.2364
3.7594	7.2392
3.7566	7.2418
3.7539	7.2435
3.7512	7.2437
3.7485	7.2425
3.7458	7.2399
3.7431	7.2366
3.7404	7.2338
3.7377	7.2316
3.7350	7.2312
3.7323	7.2319
3.7296	7.2340
3.7269	7.2369
3.7242	7.2397
3.7216	7.2423
3.7189	7.2442
3.7162	7.2454
3.7136	7.2456
3.7109	7.2451
3.7083	7.2444
3.7056	7.2437
3.7030	7.2437
3.7003	7.2442
3.6977	7.2454
3.6950	7.2473
3.6924	7.2487
3.6898	7.2496
3.6872	7.2499
3.6845	7.2492
3.6819	7.2477
3.6793	7.2466
3.6767	7.2456
3.6741	7.2459
3.6715	7.2466
3.6689	7.2480
3.6663	7.2489
3.6637	7.2494
3.6611	7.2485
3.6585	7.2463
3.6560	7.2435
3.6534	7.2402
3.6508	7.2376
3.6482	7.2361
3.6457	7.2361
3.6431	7.2373
3.6406	7.2395
3.6380	7.2416
3.6355	7.2428
3.6329	7.2425
3.6304	7.2411
3.6278	7.2385
3.6253	7.2359
3.6227	7.2338
3.6202	7.2326
3.6177	7.2324
3.6152	7.2331
3.6127	7.2342
3.6101	7.2350
3.6076	7.2347
3.6051	7.2338
3.6026	7.2314
3.6001	7.2283
3.5976	7.2243
3.5951	7.2198
3.5926	7.2151
3.5901	7.2103
3.5876	7.2058
3.5852	7.2018
3.5827	7.1985
3.5802	7.1956
3.5777	7.1928
3.5753	7.1904
3.5728	7.1878
3.5704	7.1852
3.5679	7.1826
3.5654	7.1800
3.5630	7.1777
3.5605	7.1758
3.5581	7.1741
3.5557	7.1727
3.5532	7.1715
3.5508	7.1705
3.5484	7.1696
3.5459	7.1679
3.5435	7.1653
3.5411	7.1620
3.5387	7.1580
3.5363	7.1540
3.5338	7.1507
3.5314	7.1492
3.5290	7.1499
3.5266	7.1533
3.5242	7.1580
3.5218	7.1632
3.5195	7.1677
3.5171	7.1708
3.5147	7.1722
3.5123	7.1720
3.5099	7.1708
3.5075	7.1701
3.5052	7.1701
3.5028	7.1710
3.5004	7.1729
3.4981	7.1748
3.4957	7.1762
3.4934	7.1765
3.4910	7.1753
3.4887	7.1729
3.4863	7.1701
3.4840	7.1668
3.4816	7.1642
3.4793	7.1620
3.4770	7.1606
3.4746	7.1601
3.4723	7.1601
3.4700	7.1601
3.4677	7.1597
3.4653	7.1587
3.4630	7.1570
3.4607	7.1547
3.4584	7.1523
3.4561	7.1502
3.4538	7.1488
3.4515	7.1476
3.4492	7.1469
3.4469	7.1464
3.4446	7.1457
3.4423	7.1447
3.4400	7.1438
3.4378	7.1428
3.4355	7.1419
3.4332	7.1412
3.4309	7.1402
3.4287	7.1388
3.4264	7.1364
3.4241	7.1331
3.4219	7.1289
3.4196	7.1239
3.4174	7.1182
3.4151	7.1123
3.4129	7.1066
3.4106	7.1012
3.4084	7.0959
3.4061	7.0912
3.4039	7.0862
3.4017	7.0815
3.3994	7.0763
3.3972	7.0706
3.3950	7.0647
3.3928	7.0583
3.3906	7.0521
3.3883	7.0460
3.3861	7.0401
3.3839	7.0349
3.3817	7.0299
3.3795	7.0251
3.3773	7.0204
3.3751	7.0150
3.3729	7.0090
3.3707	7.0019
3.3685	6.9936
3.3663	6.9839
3.3641	6.9733
3.3620	6.9619
3.3598	6.9501
3.3576	6.9387
3.3554	6.9285
3.3533	6.9200
3.3511	6.9131
3.3489	6.9082
3.3468	6.9039
3.3446	6.8999
3.3425	6.8951
3.3403	6.8892
3.3382	6.8823
3.3360	6.8748
3.3339	6.8674
3.3317	6.8610
3.3296	6.8556
3.3274	6.8508
3.3253	6.8466
3.3232	6.8421
3.3210	6.8371
3.3189	6.8312
3.3168	6.8253
3.3147	6.8193
3.3126	6.8144
3.3104	6.8101
3.3083	6.8070
3.3062	6.8047
3.3041	6.8023
3.3020	6.7997
3.2999	6.7961
3.2978	6.7914
3.2957	6.7852
3.2936	6.7784
3.2915	6.7715
3.2894	6.7651
3.2874	6.7594
3.2853	6.7549
3.2832	6.7514
3.2811	6.7478
3.2790	6.7443
3.2770	6.7407
3.2749	6.7376
3.2728	6.7358
3.2708	6.7353
3.2687	6.7369
3.2666	6.7403
3.2646	6.7448
3.2625	6.7490
3.2605	6.7523
3.2584	6.7540
3.2564	6.7540
3.2543	6.7526
3.2523	6.7504
3.2503	6.7476
3.2482	6.7448
3.2462	6.7421
3.2442	6.7391
3.2421	6.7360
3.2401	6.7322
3.2381	6.7282
3.2361	6.7239
3.2340	6.7196
3.2320	6.7151
3.2300	6.7106
3.2280	6.7059
3.2260	6.7007
3.2240	6.6948
3.2220	6.6879
3.2200	6.6801
3.2180	6.6716
3.2160	6.6630
3.2140	6.6550
3.2120	6.6479
3.2100	6.6420
3.2080	6.6375
3.2060	6.6337
3.2040	6.6301
3.2021	6.6261
3.2001	6.6209
3.1981	6.6143
3.1961	6.6062
3.1942	6.5972
3.1922	6.5877
3.1902	6.5787
3.1883	6.5702
3.1863	6.5629
3.1844	6.5565
3.1824	6.5506
3.1805	6.5449
3.1785	6.5385
3.1766	6.5309
3.1746	6.5214
3.1727	6.5103
3.1707	6.4985
3.1688	6.4869
3.1669	6.4767
3.1649	6.4684
3.1630	6.4625
3.1611	6.4587
3.1591	6.4554
3.1572	6.4520
3.1553	6.4475
3.1534	6.4414
3.1515	6.4336
3.1495	6.4246
3.1476	6.4151
3.1457	6.4054
3.1438	6.3962
3.1419	6.3872
3.1400	6.3779
3.1381	6.3682
3.1362	6.3580
3.1343	6.3474
3.1324	6.3362
3.1305	6.3254
3.1286	6.3149
3.1268	6.3057
3.1249	6.2969
3.1230	6.2886
3.1211	6.2801
3.1192	6.2704
3.1174	6.2598
3.1155	6.2479
3.1136	6.2354
3.1117	6.2230
3.1099	6.2110
3.1080	6.1996
3.1061	6.1887
3.1043	6.1778
3.1024	6.1667
3.1006	6.1548
3.0987	6.1423
3.0969	6.1290
3.0950	6.1153
3.0932	6.1008
