Name:  Pink Marble 
11.572	14.249
11.546	11.095
11.520	7.9670
11.495	5.5081
11.469	4.2864
11.444	3.9866
11.419	3.9927
11.394	4.1817
11.369	4.4607
11.344	4.7403
11.319	5.3921
11.294	7.9921
11.270	13.650
11.245	19.743
11.221	23.538
11.197	26.091
11.173	28.240
11.149	30.068
11.125	31.508
11.101	32.596
11.077	33.330
11.054	33.899
11.030	34.389
11.007	34.848
10.983	35.291
10.960	35.751
10.937	36.053
10.914	36.199
10.891	36.188
10.868	36.011
10.846	35.622
10.823	35.131
10.800	34.492
10.778	33.752
10.755	33.016
10.733	32.334
10.711	31.754
10.689	31.462
10.667	31.400
10.645	31.497
10.623	31.622
10.602	31.620
10.580	31.500
10.558	31.388
10.537	31.356
10.516	31.534
10.494	31.882
10.473	32.294
10.452	32.641
10.431	32.918
10.410	33.025
10.389	32.920
10.368	32.674
10.348	32.440
10.327	32.305
10.306	32.093
10.286	31.650
10.266	31.026
10.245	30.179
10.225	29.354
10.205	28.925
10.185	28.835
10.165	28.768
10.145	28.568
10.125	28.188
10.106	27.644
10.086	27.025
10.066	26.525
10.047	26.128
10.027	25.850
10.008	25.645
9.9887	25.423
9.9695	25.185
9.9504	24.988
9.9313	24.751
9.9123	24.461
9.8934	24.183
9.8746	24.012
9.8558	23.962
9.8371	24.055
9.8185	24.217
9.7999	24.350
9.7814	24.471
9.7630	24.555
9.7447	24.660
9.7264	24.944
9.7082	25.414
9.6900	26.003
9.6719	26.595
9.6539	27.055
9.6360	27.360
9.6181	27.544
9.6003	27.554
9.5825	27.588
9.5649	27.731
9.5472	27.935
9.5297	28.152
9.5122	28.253
9.4948	28.246
9.4774	28.223
9.4601	28.156
9.4429	28.059
9.4257	27.953
9.4086	27.766
9.3916	27.392
9.3746	27.030
9.3577	27.000
9.3408	27.203
9.3240	27.537
9.3073	28.020
9.2906	28.491
9.2740	28.755
9.2574	28.431
9.2409	27.465
9.2245	27.125
9.2081	27.739
9.1918	28.649
9.1755	29.524
9.1593	29.863
9.1431	29.962
9.1270	30.112
9.1110	30.336
9.0950	30.572
9.0791	30.897
9.0632	31.229
9.0474	31.525
9.0316	31.803
9.0159	32.077
9.0003	32.280
8.9847	32.449
8.9691	32.598
8.9536	32.718
8.9382	32.783
8.9228	32.800
8.9075	32.706
8.8922	32.607
8.8770	32.545
8.8618	32.519
8.8467	32.450
8.8316	32.347
8.8166	32.134
8.8016	31.820
8.7867	31.428
8.7718	30.885
8.7570	30.183
8.7422	29.391
8.7275	28.484
8.7129	27.556
8.6982	26.642
8.6837	25.758
8.6692	24.852
8.6547	23.847
8.6403	22.622
8.6259	21.297
8.6116	20.149
8.5973	19.406
8.5830	19.072
8.5688	19.038
8.5547	19.174
8.5406	19.253
8.5266	19.117
8.5126	18.845
8.4986	18.512
8.4847	18.311
8.4708	18.322
8.4570	18.525
8.4432	18.854
8.4295	19.132
8.4158	19.334
8.4022	19.640
8.3886	20.104
8.3750	20.662
8.3615	21.145
8.3481	21.518
8.3347	21.833
8.3213	22.084
8.3079	22.276
8.2946	22.464
8.2814	22.663
8.2682	22.812
8.2550	22.900
8.2419	23.034
8.2288	23.134
8.2158	23.161
8.2028	23.152
8.1898	23.064
8.1769	22.826
8.1640	22.550
8.1512	22.323
8.1384	22.121
8.1256	21.918
8.1129	21.702
8.1002	21.412
8.0876	21.033
8.0750	20.664
8.0624	20.458
8.0499	20.475
8.0374	20.669
8.0250	20.899
8.0126	21.038
8.0002	21.092
7.9879	21.076
7.9756	20.964
7.9634	20.717
7.9512	20.392
7.9390	20.004
7.9268	19.573
7.9147	19.211
7.9027	18.934
7.8906	18.788
7.8786	18.787
7.8667	18.843
7.8548	18.838
7.8429	18.684
7.8310	18.403
7.8192	18.022
7.8075	17.623
7.7957	17.381
7.7840	17.293
7.7723	17.213
7.7607	17.069
7.7491	16.921
7.7375	16.706
7.7260	16.412
7.7145	16.036
7.7031	15.582
7.6916	15.099
7.6802	14.593
7.6689	14.048
7.6575	13.533
7.6462	13.037
7.6350	12.556
7.6238	12.137
7.6126	11.806
7.6014	11.522
7.5903	11.266
7.5792	11.047
7.5681	10.904
7.5571	10.794
7.5461	10.691
7.5351	10.600
7.5242	10.472
7.5133	10.320
7.5024	10.166
7.4916	10.001
7.4807	9.7959
7.4700	9.5593
7.4592	9.3047
7.4485	9.0497
7.4378	8.7998
7.4272	8.5391
7.4165	8.2933
7.4059	8.0664
7.3954	7.8500
7.3848	7.6174
7.3743	7.3470
7.3639	7.0187
7.3534	6.6706
7.3430	6.3381
7.3326	6.0042
7.3223	5.6836
7.3119	5.4046
7.3016	5.1417
7.2914	4.8884
7.2811	4.6980
7.2709	4.5715
7.2607	4.4318
7.2506	4.3240
7.2404	4.2265
7.2303	4.1414
7.2203	4.0574
7.2102	3.9726
7.2002	3.8876
7.1902	3.8250
7.1803	3.8445
7.1703	3.8852
7.1604	3.9368
7.1506	3.9596
7.1407	3.9866
7.1309	4.0931
7.1211	4.2845
7.1113	4.5222
7.1016	4.7463
7.0919	4.9063
7.0822	4.9840
7.0725	5.0425
7.0629	5.0702
7.0533	5.0570
7.0437	5.0290
7.0341	4.9921
7.0246	4.9764
7.0151	4.9746
7.0056	4.9608
6.9962	4.9584
6.9867	4.9300
6.9773	4.9059
6.9679	4.9106
6.9586	4.8945
6.9493	4.8618
6.9400	4.8661
6.9307	4.8722
6.9214	4.9066
6.9122	4.9511
6.9030	5.0001
6.8938	5.0636
6.8847	5.1185
6.8755	5.1730
6.8664	5.1853
6.8573	5.1908
6.8483	5.2317
6.8393	5.2583
6.8302	5.3089
6.8213	5.3800
6.8123	5.4200
6.8034	5.4318
6.7944	5.4790
6.7855	5.5486
6.7767	5.5765
6.7678	5.5912
6.7590	5.6253
6.7502	5.6959
6.7414	5.7596
6.7327	5.8482
6.7239	5.9578
6.7152	6.0232
6.7065	6.1087
6.6979	6.2169
6.6892	6.2993
6.6806	6.4288
6.6720	6.5695
6.6634	6.6635
6.6549	6.7715
6.6464	6.8890
6.6378	7.0311
6.6294	7.2011
6.6209	7.3631
6.6124	7.5876
6.6040	7.8661
6.5956	8.1209
6.5872	8.3811
6.5789	8.6343
6.5705	8.8579
6.5622	9.0682
6.5539	9.2704
6.5456	9.4627
6.5374	9.6344
6.5292	9.7668
6.5209	9.9119
6.5128	10.083
6.5046	10.244
6.4964	10.414
6.4883	10.617
6.4802	10.879
6.4721	11.153
6.4640	11.428
6.4560	11.685
6.4480	11.873
6.4399	11.904
6.4320	11.672
6.4240	11.222
6.4160	10.702
6.4081	10.214
6.4002	9.7765
6.3923	9.3358
6.3844	8.9467
6.3766	8.5377
6.3687	8.1162
6.3609	7.7048
6.3531	7.2290
6.3454	6.6550
6.3376	6.0042
6.3299	5.4105
6.3221	5.0158
6.3144	4.7088
6.3068	4.4102
6.2991	4.2106
6.2914	4.1897
6.2838	4.2726
6.2762	4.3764
6.2686	4.4048
6.2611	4.3584
6.2535	4.2679
6.2460	4.1590
6.2385	4.0614
6.2310	4.0117
6.2235	3.9501
6.2160	3.8906
6.2086	3.8059
6.2011	3.7441
6.1937	3.7076
6.1863	3.6732
6.1790	3.6541
6.1716	3.6725
6.1643	3.6929
6.1570	3.7071
6.1496	3.7403
6.1424	3.7777
6.1351	3.8509
6.1278	3.9520
6.1206	4.0429
6.1134	4.1149
6.1062	4.1812
6.0990	4.2778
6.0918	4.3901
6.0847	4.5061
6.0776	4.6136
6.0704	4.7141
6.0633	4.8685
6.0563	5.0541
6.0492	5.2618
6.0421	5.4702
6.0351	5.7089
6.0281	5.9668
6.0211	6.2200
6.0141	6.4594
6.0071	6.7244
6.0002	6.9704
5.9932	7.1897
5.9863	7.3773
5.9794	7.5809
5.9725	7.7652
5.9657	7.9440
5.9588	8.1403
5.9520	8.3558
5.9451	8.5746
5.9383	8.8136
5.9315	9.0838
5.9247	9.3575
5.9180	9.6531
5.9112	9.9169
5.9045	10.116
5.8978	10.294
5.8911	10.462
5.8844	10.623
5.8777	10.747
5.8711	10.846
5.8644	10.927
5.8578	10.999
5.8512	11.001
5.8446	10.992
5.8380	10.978
5.8314	10.923
5.8249	10.864
5.8184	10.840
5.8118	10.835
5.8053	10.811
5.7988	10.779
5.7923	10.741
5.7859	10.688
5.7794	10.613
5.7730	10.527
5.7666	10.474
5.7602	10.473
5.7538	10.568
5.7474	10.756
5.7410	10.988
5.7347	11.263
5.7283	11.611
5.7220	11.938
5.7157	12.213
5.7094	12.515
5.7031	12.863
5.6969	13.219
5.6906	13.533
5.6844	13.868
5.6782	14.416
5.6719	15.033
5.6657	15.572
5.6596	16.175
5.6534	16.808
5.6472	17.219
5.6411	17.326
5.6349	17.140
5.6288	16.672
5.6227	15.882
5.6166	14.668
5.6106	12.968
5.6045	10.912
5.5984	8.5997
5.5924	6.1293
5.5864	3.9266
5.5804	2.5515
5.5744	2.0380
5.5684	1.9144
5.5624	1.8600
5.5564	2.0963
5.5505	3.1061
5.5445	5.2573
5.5386	8.3409
5.5327	11.696
5.5268	14.762
5.5209	17.412
5.5151	19.651
5.5092	21.543
5.5033	23.243
5.4975	24.793
5.4917	26.201
5.4859	27.526
5.4801	28.792
5.4743	30.007
5.4685	31.166
5.4628	32.321
5.4570	33.481
5.4513	34.589
5.4455	35.708
5.4398	36.827
5.4341	37.910
5.4284	38.945
5.4228	39.952
5.4171	40.973
5.4114	41.947
5.4058	42.841
5.4002	43.702
5.3945	44.567
5.3889	45.424
5.3833	46.230
5.3778	47.012
5.3722	47.801
5.3666	48.512
5.3611	49.167
5.3555	49.833
5.3500	50.489
5.3445	51.150
5.3390	51.804
5.3335	52.460
5.3280	53.117
5.3225	53.787
5.3171	54.409
5.3116	54.992
5.3062	55.595
5.3008	56.145
5.2954	56.644
5.2900	57.092
5.2846	57.535
5.2792	57.938
5.2738	58.339
5.2684	58.724
5.2631	59.100
5.2578	59.502
5.2524	59.926
5.2471	60.309
5.2418	60.640
5.2365	60.964
5.2312	61.279
5.2260	61.577
5.2207	61.890
5.2154	62.166
5.2102	62.451
5.2050	62.763
5.1998	63.057
5.1945	63.325
5.1893	63.593
5.1842	63.854
5.1790	64.058
5.1738	64.211
5.1686	64.346
5.1635	64.590
5.1584	64.842
5.1532	65.024
5.1481	65.192
5.1430	65.345
5.1379	65.495
5.1328	65.530
5.1277	65.429
5.1227	65.137
5.1176	64.329
5.1126	62.408
5.1075	59.208
5.1025	55.921
5.0975	55.287
5.0925	58.575
5.0875	62.539
5.0825	65.089
5.0775	66.474
5.0726	67.211
5.0676	67.598
5.0627	67.814
5.0577	67.954
5.0528	68.039
5.0479	68.068
5.0430	68.076
5.0380	68.024
5.0332	67.983
5.0283	67.928
5.0234	67.809
5.0185	67.696
5.0137	67.645
5.0088	67.615
5.0040	67.605
4.9992	67.582
4.9944	67.546
4.9896	67.511
4.9848	67.455
4.9800	67.381
4.9752	67.318
4.9704	67.275
4.9657	67.240
4.9609	67.238
4.9562	67.224
4.9514	67.218
4.9467	67.211
4.9420	67.200
4.9373	67.215
4.9326	67.231
4.9279	67.239
4.9232	67.256
4.9186	67.305
4.9139	67.378
4.9092	67.435
4.9046	67.483
4.9000	67.529
4.8953	67.588
4.8907	67.665
4.8861	67.715
4.8815	67.732
4.8769	67.757
4.8723	67.834
4.8678	67.880
4.8632	67.902
4.8586	67.967
4.8541	68.024
4.8495	68.081
4.8450	68.137
4.8405	68.150
4.8360	68.182
4.8315	68.199
4.8270	68.220
4.8225	68.238
4.8180	68.233
4.8135	68.239
4.8090	68.193
4.8046	68.143
4.8001	68.145
4.7957	68.169
4.7913	68.165
4.7868	68.091
4.7824	67.980
4.7780	67.820
4.7736	67.599
4.7692	67.300
4.7648	66.897
4.7605	66.409
4.7561	65.929
4.7517	65.418
4.7474	64.843
4.7431	64.164
4.7387	63.382
4.7344	62.485
4.7301	61.431
4.7258	60.065
4.7215	58.271
4.7172	56.166
4.7129	53.931
4.7086	51.703
4.7043	49.593
4.7000	47.743
4.6958	46.226
4.6915	45.002
4.6873	44.013
4.6831	43.298
4.6788	42.826
4.6746	42.568
4.6704	42.487
4.6662	42.587
4.6620	42.911
4.6578	43.521
4.6536	44.480
4.6495	45.775
4.6453	47.316
4.6411	48.992
4.6370	50.712
4.6328	52.308
4.6287	53.619
4.6246	54.729
4.6205	55.804
4.6163	56.791
4.6122	57.556
4.6081	58.051
4.6040	58.346
4.6000	58.611
4.5959	58.924
4.5918	59.191
4.5877	59.400
4.5837	59.554
4.5796	59.643
4.5756	59.715
4.5716	59.795
4.5675	59.854
4.5635	59.906
4.5595	59.976
4.5555	60.037
4.5515	60.069
4.5475	60.091
4.5435	60.109
4.5395	60.129
4.5356	60.138
4.5316	60.165
4.5276	60.206
4.5237	60.244
4.5197	60.292
4.5158	60.367
4.5119	60.451
4.5080	60.595
4.5040	60.780
4.5001	61.009
4.4962	61.306
4.4923	61.663
4.4884	62.081
4.4846	62.595
4.4807	63.127
4.4768	63.642
4.4730	64.140
4.4691	64.637
4.4652	65.099
4.4614	65.499
4.4576	65.803
4.4537	66.134
4.4499	66.491
4.4461	66.881
4.4423	67.352
4.4385	67.812
4.4347	68.206
4.4309	68.561
4.4271	68.850
4.4233	69.129
4.4196	69.384
4.4158	69.623
4.4120	69.814
4.4083	69.979
4.4045	70.133
4.4008	70.255
4.3971	70.371
4.3934	70.512
4.3896	70.669
4.3859	70.798
4.3822	70.863
4.3785	70.879
4.3748	70.845
4.3711	70.726
4.3674	70.486
4.3638	70.118
4.3601	69.695
4.3564	69.243
4.3528	68.784
4.3491	68.478
4.3455	68.331
4.3418	68.226
4.3382	68.112
4.3346	68.002
4.3310	67.974
4.3273	68.031
4.3237	68.042
4.3201	67.987
4.3165	67.951
4.3129	67.900
4.3094	67.959
4.3058	68.149
4.3022	68.364
4.2986	68.572
4.2951	68.713
4.2915	68.755
4.2880	68.770
4.2844	68.767
4.2809	68.739
4.2774	68.690
4.2738	68.574
4.2703	68.382
4.2668	68.220
4.2633	68.111
4.2598	68.036
4.2563	67.938
4.2528	67.837
4.2493	67.779
4.2458	67.689
4.2424	67.566
4.2389	67.419
4.2354	67.285
4.2320	67.114
4.2285	66.939
4.2251	66.807
4.2216	66.685
4.2182	66.567
4.2148	66.434
4.2113	66.317
4.2079	66.217
4.2045	66.038
4.2011	65.808
4.1977	65.598
4.1943	65.361
4.1909	65.099
4.1875	64.857
4.1841	64.599
4.1808	64.314
4.1774	64.053
4.1740	63.773
4.1707	63.452
4.1673	63.148
4.1640	62.837
4.1606	62.514
4.1573	62.156
4.1540	61.744
4.1506	61.303
4.1473	60.833
4.1440	60.343
4.1407	59.824
4.1374	59.299
4.1341	58.725
4.1308	58.119
4.1275	57.550
4.1242	56.959
4.1209	56.344
4.1177	55.705
4.1144	55.072
4.1111	54.476
4.1079	53.851
4.1046	53.236
4.1014	52.621
4.0981	51.970
4.0949	51.338
4.0917	50.667
4.0884	49.929
4.0852	49.151
4.0820	48.335
4.0788	47.473
4.0756	46.554
4.0724	45.588
4.0692	44.594
4.0660	43.618
4.0628	42.601
4.0596	41.500
4.0565	40.284
4.0533	38.858
4.0501	37.140
4.0470	35.132
4.0438	32.896
4.0406	30.566
4.0375	28.306
4.0344	26.279
4.0312	24.511
4.0281	22.883
4.0250	21.347
4.0218	19.886
4.0187	18.504
4.0156	17.066
4.0125	15.458
4.0094	13.707
4.0063	12.011
4.0032	10.522
4.0001	9.2117
3.9970	8.1015
3.9940	7.1959
3.9909	6.4892
3.9878	5.9422
3.9847	5.5633
3.9817	5.3807
3.9786	5.3347
3.9756	5.3603
3.9725	5.4522
3.9695	5.6156
3.9665	5.8453
3.9634	6.1432
3.9604	6.5394
3.9574	7.0905
3.9544	7.7979
3.9513	8.6966
3.9483	9.7568
3.9453	10.916
3.9423	12.283
3.9393	13.702
3.9363	14.707
3.9333	15.123
3.9304	15.293
3.9274	15.536
3.9244	15.892
3.9214	16.273
3.9185	16.603
3.9155	16.878
3.9126	17.089
3.9096	17.252
3.9067	17.408
3.9037	17.547
3.9008	17.699
3.8979	17.848
3.8949	17.970
3.8920	18.100
3.8891	18.213
3.8862	18.309
3.8833	18.446
3.8804	18.589
3.8775	18.649
3.8746	18.690
3.8717	18.760
3.8688	18.837
3.8659	18.932
3.8630	19.033
3.8601	19.166
3.8573	19.341
3.8544	19.533
3.8515	19.720
3.8487	19.941
3.8458	20.232
3.8430	20.603
3.8401	21.101
3.8373	21.806
3.8344	22.747
3.8316	23.871
3.8288	25.111
3.8259	26.391
3.8231	27.685
3.8203	29.009
3.8175	30.394
3.8147	31.845
3.8119	33.411
3.8091	35.148
3.8063	37.060
3.8035	39.175
3.8007	41.548
3.7979	44.112
3.7951	46.781
3.7924	49.404
3.7896	51.757
3.7868	53.704
3.7841	55.246
3.7813	56.502
3.7785	57.526
3.7758	58.419
3.7730	59.213
3.7703	59.922
3.7676	60.564
3.7648	61.105
3.7621	61.598
3.7594	62.026
3.7566	62.324
3.7539	62.565
3.7512	62.836
3.7485	63.157
3.7458	63.465
3.7431	63.826
3.7404	64.259
3.7377	64.682
3.7350	65.100
3.7323	65.459
3.7296	65.807
3.7269	66.095
3.7242	66.327
3.7216	66.520
3.7189	66.709
3.7162	66.896
3.7136	67.049
3.7109	67.165
3.7083	67.298
3.7056	67.429
3.7030	67.516
3.7003	67.601
3.6977	67.653
3.6950	67.689
3.6924	67.773
3.6898	67.812
3.6872	67.821
3.6845	67.845
3.6819	67.844
3.6793	67.859
3.6767	67.837
3.6741	67.761
3.6715	67.696
3.6689	67.636
3.6663	67.543
3.6637	67.445
3.6611	67.333
3.6585	67.225
3.6560	67.136
3.6534	67.018
3.6508	66.867
3.6482	66.734
3.6457	66.593
3.6431	66.402
3.6406	66.228
3.6380	66.043
3.6355	65.893
3.6329	65.785
3.6304	65.618
3.6278	65.403
3.6253	65.154
3.6227	64.921
3.6202	64.656
3.6177	64.404
3.6152	64.166
3.6127	63.890
3.6101	63.479
3.6076	63.064
3.6051	62.684
3.6026	62.235
3.6001	61.736
3.5976	61.142
3.5951	60.525
3.5926	59.815
3.5901	58.989
3.5876	58.053
3.5852	56.984
3.5827	55.800
3.5802	54.539
3.5777	53.224
3.5753	52.048
3.5728	51.313
3.5704	51.028
3.5679	51.037
3.5654	51.155
3.5630	51.174
3.5605	51.048
3.5581	50.707
3.5557	50.199
3.5532	49.581
3.5508	48.830
3.5484	47.900
3.5459	46.805
3.5435	45.572
3.5411	44.205
3.5387	42.654
3.5363	40.908
3.5338	38.961
3.5314	36.760
3.5290	34.362
3.5266	31.849
3.5242	29.223
3.5218	26.675
3.5195	24.453
3.5171	22.648
3.5147	21.242
3.5123	20.176
3.5099	19.293
3.5075	18.477
3.5052	17.793
3.5028	17.218
3.5004	16.633
3.4981	16.005
3.4957	15.376
3.4934	14.763
3.4910	14.172
3.4887	13.606
3.4863	13.111
3.4840	12.691
3.4816	12.303
3.4793	12.038
3.4770	12.055
3.4746	12.400
3.4723	13.143
3.4700	14.341
3.4677	15.958
3.4653	17.656
3.4630	19.081
3.4607	20.145
3.4584	20.918
3.4561	21.452
3.4538	21.820
3.4515	22.111
3.4492	22.310
3.4469	22.450
3.4446	22.572
3.4423	22.706
3.4400	22.800
3.4378	22.861
3.4355	22.925
3.4332	22.969
3.4309	22.988
3.4287	23.024
3.4264	23.034
3.4241	22.999
3.4219	22.997
3.4196	22.993
3.4174	22.969
3.4151	22.940
3.4129	22.862
3.4106	22.782
3.4084	22.658
3.4061	22.542
3.4039	22.412
3.4017	22.301
3.3994	22.189
3.3972	22.033
3.3950	21.901
3.3928	21.792
3.3906	21.622
3.3883	21.478
3.3861	21.346
3.3839	21.157
3.3817	20.979
3.3795	20.822
3.3773	20.690
3.3751	20.618
3.3729	20.600
3.3707	20.492
3.3685	20.278
3.3663	19.986
3.3641	19.593
3.3620	19.094
3.3598	18.450
3.3576	17.718
3.3554	17.098
3.3533	16.714
3.3511	16.651
3.3489	16.971
3.3468	17.975
3.3446	19.954
3.3425	22.900
3.3403	26.501
3.3382	30.304
3.3360	33.787
3.3339	36.708
3.3317	39.146
3.3296	41.215
3.3274	42.953
3.3253	44.385
3.3232	45.638
3.3210	46.728
3.3189	47.658
3.3168	48.541
3.3147	49.364
3.3126	50.075
3.3104	50.689
3.3083	51.282
3.3062	51.824
3.3041	52.325
3.3020	52.882
3.2999	53.447
3.2978	53.969
3.2957	54.474
3.2936	54.924
3.2915	55.285
3.2894	55.619
3.2874	56.009
3.2853	56.343
3.2832	56.615
3.2811	56.999
3.2790	57.393
3.2770	57.670
3.2749	57.889
3.2728	58.128
3.2708	58.389
3.2687	58.604
3.2666	58.854
3.2646	59.082
3.2625	59.305
3.2605	59.524
3.2584	59.638
3.2564	59.734
3.2543	59.834
3.2523	60.006
3.2503	60.179
3.2482	60.252
3.2462	60.350
3.2442	60.442
3.2421	60.513
3.2401	60.611
3.2381	60.706
3.2361	60.836
3.2340	60.959
3.2320	61.044
3.2300	61.143
3.2280	61.204
3.2260	61.234
3.2240	61.306
3.2220	61.363
3.2200	61.435
3.2180	61.521
3.2160	61.575
3.2140	61.613
3.2120	61.629
3.2100	61.640
3.2080	61.678
3.2060	61.669
3.2040	61.646
3.2021	61.686
3.2001	61.682
3.1981	61.631
3.1961	61.573
3.1942	61.606
3.1922	61.588
3.1902	61.456
3.1883	61.368
3.1863	61.350
3.1844	61.351
3.1824	61.210
3.1805	61.016
3.1785	60.930
3.1766	60.810
3.1746	60.576
3.1727	60.355
3.1707	60.102
3.1688	59.765
3.1669	59.396
3.1649	59.024
3.1630	58.626
3.1611	58.156
3.1591	57.690
3.1572	57.318
3.1553	57.031
3.1534	56.790
3.1515	56.675
3.1495	56.633
3.1476	56.593
3.1457	56.622
3.1438	56.736
3.1419	56.862
3.1400	56.868
3.1381	56.865
3.1362	56.931
3.1343	56.966
3.1324	56.969
3.1305	56.995
3.1286	56.967
3.1268	56.887
3.1249	56.749
3.1230	56.520
3.1211	56.199
3.1192	55.798
3.1174	55.444
3.1155	55.122
3.1136	54.818
3.1117	54.595
3.1099	54.422
3.1080	54.359
3.1061	54.386
3.1043	54.485
3.1024	54.617
3.1006	54.727
3.0987	54.869
3.0969	55.058
3.0950	55.202
3.0932	55.351
3.0913	55.533
3.0895	55.702
3.0876	55.882
3.0858	56.008
3.0840	56.135
3.0821	56.289
3.0803	56.391
3.0785	56.487
3.0766	56.529
3.0748	56.554
3.0730	56.507
3.0712	56.490
3.0694	56.500
3.0675	56.506
3.0657	56.531
3.0639	56.571
3.0621	56.607
3.0603	56.558
3.0585	56.586
3.0567	56.648
3.0549	56.702
3.0531	56.635
3.0513	56.626
3.0495	56.688
3.0477	56.690
3.0459	56.644
3.0441	56.630
3.0423	56.652
3.0406	56.625
3.0388	56.586
3.0370	56.624
3.0352	56.595
3.0334	56.474
3.0317	56.468
3.0299	56.541
3.0281	56.519
3.0264	56.451
3.0246	56.402
3.0228	56.343
3.0211	56.289
3.0193	56.240
3.0176	56.192
3.0158	56.153
3.0140	56.070
3.0123	56.001
3.0105	55.976
3.0088	55.882
3.0070	55.802
3.0053	55.764
3.0036	55.713
3.0018	55.639
3.0001	55.609
2.9984	55.581
2.9966	55.476
2.9949	55.410
2.9932	55.321
2.9914	55.258
2.9897	55.247
2.9880	55.151
2.9863	55.084
2.9845	55.041
2.9828	55.000
2.9811	54.977
2.9794	54.882
2.9777	54.751
2.9760	54.675
2.9743	54.585
2.9726	54.556
2.9709	54.542
2.9692	54.457
2.9675	54.445
2.9658	54.330
2.9641	54.238
2.9624	54.154
2.9607	54.083
2.9590	54.111
2.9573	54.116
2.9556	54.015
2.9539	53.951
2.9523	53.965
2.9506	53.966
2.9489	53.916
2.9472	53.880
2.9455	53.839
2.9439	53.772
2.9422	53.728
2.9405	53.824
2.9389	53.920
2.9372	53.832
2.9355	53.770
2.9339	53.779
2.9322	53.778
2.9306	53.758
2.9289	53.757
2.9272	53.847
2.9256	53.855
2.9239	53.840
2.9223	53.829
2.9207	53.859
2.9190	53.891
2.9174	53.994
2.9157	53.998
2.9141	53.954
2.9124	54.034
2.9108	54.171
2.9092	54.256
2.9075	54.234
2.9059	54.261
2.9043	54.302
2.9027	54.374
2.9010	54.468
2.8994	54.502
2.8978	54.565
2.8962	54.675
2.8946	54.748
2.8929	54.752
2.8913	54.837
2.8897	54.953
2.8881	55.017
2.8865	55.077
2.8849	55.153
2.8833	55.235
2.8817	55.339
2.8801	55.421
2.8785	55.503
2.8769	55.538
2.8753	55.658
2.8737	55.744
2.8721	55.796
2.8705	55.837
2.8689	55.963
2.8673	56.096
2.8658	56.193
2.8642	56.313
2.8626	56.347
2.8610	56.426
2.8594	56.479
2.8579	56.508
2.8563	56.637
2.8547	56.782
2.8531	56.897
2.8516	56.950
2.8500	56.990
2.8484	57.030
2.8469	57.130
2.8453	57.206
2.8437	57.263
2.8422	57.399
2.8406	57.450
2.8391	57.492
2.8375	57.535
2.8360	57.571
2.8344	57.612
2.8329	57.682
2.8313	57.717
2.8298	57.735
2.8282	57.681
2.8267	57.683
2.8252	57.733
2.8236	57.684
2.8221	57.669
2.8205	57.742
2.8190	57.732
2.8175	57.690
2.8159	57.662
2.8144	57.585
2.8129	57.497
2.8114	57.430
2.8098	57.359
2.8083	57.301
2.8068	57.191
2.8053	57.076
2.8038	56.935
2.8022	56.734
