Name:  Hornblende Schist 
11.973	4.2532
11.945	4.2996
11.918	4.3340
11.890	4.3811
11.863	4.4315
11.836	4.4067
11.809	4.3576
11.782	4.3567
11.755	4.4079
11.729	4.4299
11.702	4.4393
11.676	4.4555
11.650	4.4460
11.624	4.4187
11.598	4.3832
11.572	4.3299
11.546	4.2724
11.520	4.1883
11.495	4.1024
11.469	4.0522
11.444	4.0349
11.419	3.9832
11.394	3.9797
11.369	4.0299
11.344	4.0813
11.319	4.1078
11.294	4.1137
11.270	4.1050
11.245	4.0927
11.221	4.0197
11.197	3.9714
11.173	3.8876
11.149	3.7990
11.125	3.7327
11.101	3.6650
11.077	3.6167
11.054	3.5764
11.030	3.5546
11.007	3.5537
10.983	3.5383
10.960	3.5262
10.937	3.5129
10.914	3.4864
10.891	3.4821
10.868	3.5129
10.846	3.5134
10.823	3.5011
10.800	3.5129
10.778	3.5546
10.755	3.5717
10.733	3.5859
10.711	3.6266
10.689	3.6626
10.667	3.6583
10.645	3.6787
10.623	3.7133
10.602	3.7313
10.580	3.7426
10.558	3.7592
10.537	3.7971
10.516	3.8516
10.494	3.8914
10.473	3.9155
10.452	3.9482
10.431	3.9851
10.410	4.0169
10.389	4.0581
10.368	4.0983
10.348	4.1315
10.327	4.1694
10.306	4.2276
10.286	4.2840
10.266	4.3209
10.245	4.3685
10.225	4.4247
10.205	4.4455
10.185	4.5241
10.165	4.5852
10.145	4.6231
10.125	4.6719
10.106	4.7354
10.086	4.7979
10.066	4.8306
10.047	4.8666
10.027	4.9277
10.008	4.9561
9.9887	4.9414
9.9695	4.9684
9.9504	4.9968
9.9313	4.9755
9.9123	4.9440
9.8934	4.9442
9.8746	4.9701
9.8558	4.9407
9.8371	4.9170
9.8185	4.9011
9.7999	4.8789
9.7814	4.8839
9.7630	4.8974
9.7447	4.8751
9.7264	4.8824
9.7082	4.9019
9.6900	4.9253
9.6719	4.9319
9.6539	4.9487
9.6360	4.9348
9.6181	4.9298
9.6003	4.9485
9.5825	4.9341
9.5649	4.9082
9.5472	4.9265
9.5297	4.9073
9.5122	4.8969
9.4948	4.9097
9.4774	4.9262
9.4601	4.9442
9.4429	4.9791
9.4257	5.0179
9.4086	5.0901
9.3916	5.1588
9.3746	5.2057
9.3577	5.2538
9.3408	5.3139
9.3240	5.3482
9.3073	5.3717
9.2906	5.3651
9.2740	5.3525
9.2574	5.3317
9.2409	5.3231
9.2245	5.2907
9.2081	5.2587
9.1918	5.2341
9.1755	5.2282
9.1593	5.2118
9.1431	5.1886
9.1270	5.1605
9.1110	5.1432
9.0950	5.1455
9.0791	5.1209
9.0632	5.1202
9.0474	5.0915
9.0316	5.0413
9.0159	5.0309
9.0003	5.0117
8.9847	4.9809
8.9691	4.9717
8.9536	4.9767
8.9382	4.9367
8.9228	4.9019
8.9075	4.8992
8.8922	4.8843
8.8770	4.8848
8.8618	4.8827
8.8467	4.8749
8.8316	4.8786
8.8166	4.8739
8.8016	4.8692
8.7867	4.8540
8.7718	4.8462
8.7570	4.8642
8.7422	4.9063
8.7275	4.9547
8.7129	4.9930
8.6982	5.0177
8.6837	5.0186
8.6692	4.9736
8.6547	4.9097
8.6403	4.8476
8.6259	4.8363
8.6116	4.9087
8.5973	5.0503
8.5830	5.1839
8.5688	5.2545
8.5547	5.2995
8.5406	5.3414
8.5266	5.3539
8.5126	5.3691
8.4986	5.3842
8.4847	5.4082
8.4708	5.4356
8.4570	5.5055
8.4432	5.5709
8.4295	5.6144
8.4158	5.6760
8.4022	5.7577
8.3886	5.8318
8.3750	5.9213
8.3615	6.0118
8.3481	6.1023
8.3347	6.2098
8.3213	6.3017
8.3079	6.3983
8.2946	6.4902
8.2814	6.5754
8.2682	6.6488
8.2550	6.7123
8.2419	6.7824
8.2288	6.8269
8.2158	6.8601
8.2028	6.8601
8.1898	6.8497
8.1769	6.8212
8.1640	6.7748
8.1512	6.7028
8.1384	6.6128
8.1256	6.5385
8.1129	6.4625
8.1002	6.3950
8.0876	6.3343
8.0750	6.2870
8.0624	6.2529
8.0499	6.2320
8.0374	6.2273
8.0250	6.2444
8.0126	6.2586
8.0002	6.2529
7.9879	6.2508
7.9756	6.2628
7.9634	6.2766
7.9512	6.2794
7.9390	6.2903
7.9268	6.2896
7.9147	6.3031
7.9027	6.3353
7.8906	6.3696
7.8786	6.3940
7.8667	6.4298
7.8548	6.4655
7.8429	6.4949
7.8310	6.5411
7.8192	6.5939
7.8075	6.6479
7.7957	6.7149
7.7840	6.7864
7.7723	6.8622
7.7607	6.9316
7.7491	7.0109
7.7375	7.1002
7.7260	7.1803
7.7145	7.2480
7.7031	7.3110
7.6916	7.3650
7.6802	7.4173
7.6689	7.4604
7.6575	7.5061
7.6462	7.5397
7.6350	7.5719
7.6238	7.6065
7.6126	7.6338
7.6014	7.7020
7.5903	7.7728
7.5792	7.8322
7.5681	7.8902
7.5571	7.9556
7.5461	8.0314
7.5351	8.1053
7.5242	8.1673
7.5133	8.2189
7.5024	8.2791
7.4916	8.3279
7.4807	8.3658
7.4700	8.3961
7.4592	8.4238
7.4485	8.4572
7.4378	8.5029
7.4272	8.5351
7.4165	8.5448
7.4059	8.5820
7.3954	8.6248
7.3848	8.6329
7.3743	8.6357
7.3639	8.6310
7.3534	8.6101
7.3430	8.5910
7.3326	8.5689
7.3223	8.5313
7.3119	8.4920
7.3016	8.4524
7.2914	8.4055
7.2811	8.3743
7.2709	8.3577
7.2607	8.3402
7.2506	8.3196
7.2404	8.2767
7.2303	8.2417
7.2203	8.2054
7.2102	8.1649
7.2002	8.1218
7.1902	8.0820
7.1803	8.0551
7.1703	8.0371
7.1604	8.0167
7.1506	8.0051
7.1407	8.0356
7.1309	8.1029
7.1211	8.1619
7.1113	8.2336
7.1016	8.3212
7.0919	8.3703
7.0822	8.3899
7.0725	8.3999
7.0629	8.4013
7.0533	8.3672
7.0437	8.3113
7.0341	8.2630
7.0246	8.2225
7.0151	8.2057
7.0056	8.1531
6.9962	8.0773
6.9867	8.0304
6.9773	8.0063
6.9679	7.9485
6.9586	7.9033
6.9493	7.9002
6.9400	7.9049
6.9307	7.9002
6.9214	7.8947
6.9122	7.9234
6.9030	7.9546
6.8938	7.9527
6.8847	7.9715
6.8755	8.0063
6.8664	8.0228
6.8573	8.0555
6.8483	8.1247
6.8393	8.2007
6.8302	8.2563
6.8213	8.3094
6.8123	8.3766
6.8034	8.4321
6.7944	8.4633
6.7855	8.5031
6.7767	8.5888
6.7678	8.6817
6.7590	8.7501
6.7502	8.8100
6.7414	8.8986
6.7327	8.9805
6.7239	9.0601
6.7152	9.1506
6.7065	9.2666
6.6979	9.3860
6.6892	9.5119
6.6806	9.6531
6.6720	9.7900
6.6634	9.9354
6.6549	10.104
6.6464	10.242
6.6378	10.352
6.6294	10.519
6.6209	10.706
6.6124	10.846
6.6040	10.996
6.5956	11.169
6.5872	11.329
6.5789	11.456
6.5705	11.600
6.5622	11.786
6.5539	11.960
6.5456	12.146
6.5374	12.343
6.5292	12.533
6.5209	12.734
6.5128	12.954
6.5046	13.154
6.4964	13.309
6.4883	13.496
6.4802	13.688
6.4721	13.856
6.4640	14.012
6.4560	14.153
6.4480	14.270
6.4399	14.365
6.4320	14.399
6.4240	14.396
6.4160	14.343
6.4081	14.326
6.4002	14.334
6.3923	14.273
6.3844	14.172
6.3766	14.051
6.3687	13.914
6.3609	13.787
6.3531	13.630
6.3454	13.471
6.3376	13.346
6.3299	13.220
6.3221	13.081
6.3144	12.963
6.3068	12.849
6.2991	12.754
6.2914	12.663
6.2838	12.576
6.2762	12.509
6.2686	12.456
6.2611	12.381
6.2535	12.319
6.2460	12.271
6.2385	12.235
6.2310	12.198
6.2235	12.167
6.2160	12.162
6.2086	12.179
6.2011	12.202
6.1937	12.222
6.1863	12.266
6.1790	12.372
6.1716	12.473
6.1643	12.567
6.1570	12.673
6.1496	12.781
6.1424	12.886
6.1351	12.999
6.1278	13.113
6.1206	13.173
6.1134	13.219
6.1062	13.319
6.0990	13.402
6.0918	13.478
6.0847	13.536
6.0776	13.559
6.0704	13.607
6.0633	13.677
6.0563	13.688
6.0492	13.681
6.0421	13.763
6.0351	13.839
6.0281	13.872
6.0211	13.903
6.0141	13.922
6.0071	13.939
6.0002	13.943
5.9932	13.921
5.9863	13.913
5.9794	13.903
5.9725	13.868
5.9657	13.861
5.9588	13.873
5.9520	13.860
5.9451	13.869
5.9383	13.856
5.9315	13.899
5.9247	13.983
5.9180	14.056
5.9112	14.164
5.9045	14.262
5.8978	14.326
5.8911	14.423
5.8844	14.509
5.8777	14.610
5.8711	14.732
5.8644	14.836
5.8578	14.931
5.8512	15.018
5.8446	15.134
5.8380	15.240
5.8314	15.309
5.8249	15.370
5.8184	15.460
5.8118	15.552
5.8053	15.635
5.7988	15.723
5.7923	15.805
5.7859	15.881
5.7794	15.960
5.7730	15.990
5.7666	16.009
5.7602	16.093
5.7538	16.166
5.7474	16.202
5.7410	16.265
5.7347	16.329
5.7283	16.372
5.7220	16.404
5.7157	16.453
5.7094	16.489
5.7031	16.526
5.6969	16.563
5.6906	16.594
5.6844	16.611
5.6782	16.612
5.6719	16.610
5.6657	16.597
5.6596	16.583
5.6534	16.554
5.6472	16.506
5.6411	16.468
5.6349	16.442
5.6288	16.405
5.6227	16.356
5.6166	16.309
5.6106	16.240
5.6045	16.119
5.5984	15.989
5.5924	15.835
5.5864	15.583
5.5804	15.321
5.5744	15.183
5.5684	15.180
5.5624	15.221
5.5564	15.345
5.5505	15.588
5.5445	15.883
5.5386	16.177
5.5327	16.451
5.5268	16.692
5.5209	16.937
5.5151	17.182
5.5092	17.416
5.5033	17.652
5.4975	17.884
5.4917	18.122
5.4859	18.386
5.4801	18.653
5.4743	18.930
5.4685	19.191
5.4628	19.439
5.4570	19.673
5.4513	19.858
5.4455	20.004
5.4398	20.113
5.4341	20.197
5.4284	20.233
5.4228	20.238
5.4171	20.244
5.4114	20.212
5.4058	20.153
5.4002	20.076
5.3945	19.969
5.3889	19.850
5.3833	19.732
5.3778	19.645
5.3722	19.573
5.3666	19.527
5.3611	19.520
5.3555	19.521
5.3500	19.540
5.3445	19.606
5.3390	19.700
5.3335	19.781
5.3280	19.872
5.3225	19.986
5.3171	20.101
5.3116	20.199
5.3062	20.315
5.3008	20.445
5.2954	20.588
5.2900	20.741
5.2846	20.911
5.2792	21.094
5.2738	21.281
5.2684	21.492
5.2631	21.714
5.2578	21.946
5.2524	22.182
5.2471	22.434
5.2418	22.691
5.2365	22.952
5.2312	23.225
5.2260	23.483
5.2207	23.720
5.2154	23.927
5.2102	24.130
5.2050	24.319
5.1998	24.466
5.1945	24.596
5.1893	24.710
5.1842	24.816
5.1790	24.924
5.1738	25.035
5.1686	25.137
5.1635	25.233
5.1584	25.342
5.1532	25.438
5.1481	25.522
5.1430	25.603
5.1379	25.693
5.1328	25.796
5.1277	25.894
5.1227	25.981
5.1176	26.057
5.1126	26.130
5.1075	26.191
5.1025	26.226
5.0975	26.241
5.0925	26.258
5.0875	26.280
5.0825	26.308
5.0775	26.339
5.0726	26.376
5.0676	26.407
5.0627	26.461
5.0577	26.529
5.0528	26.596
5.0479	26.655
5.0430	26.713
5.0380	26.784
5.0332	26.850
5.0283	26.890
5.0234	26.919
5.0185	26.956
5.0137	26.994
5.0088	27.050
5.0040	27.151
4.9992	27.251
4.9944	27.333
4.9896	27.435
4.9848	27.570
4.9800	27.726
4.9752	27.888
4.9704	28.075
4.9657	28.289
4.9609	28.490
4.9562	28.657
4.9514	28.808
4.9467	28.953
4.9420	29.085
4.9373	29.223
4.9326	29.372
4.9279	29.542
4.9232	29.736
4.9186	29.964
4.9139	30.221
4.9092	30.509
4.9046	30.801
4.9000	31.090
4.8953	31.360
4.8907	31.621
4.8861	31.871
4.8815	32.097
4.8769	32.317
4.8723	32.526
4.8678	32.689
4.8632	32.880
4.8586	33.099
4.8541	33.301
4.8495	33.505
4.8450	33.715
4.8405	33.919
4.8360	34.107
4.8315	34.304
4.8270	34.493
4.8225	34.677
4.8180	34.840
4.8135	35.002
4.8090	35.177
4.8046	35.340
4.8001	35.498
4.7957	35.648
4.7913	35.821
4.7868	35.999
4.7824	36.184
4.7780	36.386
4.7736	36.590
4.7692	36.811
4.7648	37.022
4.7605	37.225
4.7561	37.448
4.7517	37.657
4.7474	37.878
4.7431	38.103
4.7387	38.294
4.7344	38.486
4.7301	38.665
4.7258	38.840
4.7215	39.006
4.7172	39.152
4.7129	39.289
4.7086	39.411
4.7043	39.494
4.7000	39.557
4.6958	39.633
4.6915	39.708
4.6873	39.782
4.6831	39.862
4.6788	39.971
4.6746	40.109
4.6704	40.267
4.6662	40.432
4.6620	40.587
4.6578	40.765
4.6536	40.958
4.6495	41.149
4.6453	41.347
4.6411	41.541
4.6370	41.738
4.6328	41.923
4.6287	42.098
4.6246	42.285
4.6205	42.483
4.6163	42.666
4.6122	42.840
4.6081	43.045
4.6040	43.259
4.6000	43.472
4.5959	43.680
4.5918	43.875
4.5877	44.086
4.5837	44.291
4.5796	44.479
4.5756	44.676
4.5716	44.895
4.5675	45.103
4.5635	45.290
4.5595	45.467
4.5555	45.632
4.5515	45.777
4.5475	45.923
4.5435	46.084
4.5395	46.216
4.5356	46.322
4.5316	46.443
4.5276	46.569
4.5237	46.678
4.5197	46.767
4.5158	46.840
4.5119	46.893
4.5080	46.946
4.5040	47.006
4.5001	47.051
4.4962	47.106
4.4923	47.178
4.4884	47.232
4.4846	47.291
4.4807	47.337
4.4768	47.386
4.4730	47.442
4.4691	47.501
4.4652	47.572
4.4614	47.662
4.4576	47.783
4.4537	47.905
4.4499	48.014
4.4461	48.139
4.4423	48.259
4.4385	48.380
4.4347	48.517
4.4309	48.665
4.4271	48.821
4.4233	48.978
4.4196	49.152
4.4158	49.348
4.4120	49.526
4.4083	49.709
4.4045	49.885
4.4008	50.042
4.3971	50.214
4.3934	50.398
4.3896	50.555
4.3859	50.707
4.3822	50.856
4.3785	51.004
4.3748	51.156
4.3711	51.302
4.3674	51.425
4.3638	51.542
4.3601	51.661
4.3564	51.774
4.3528	51.876
4.3491	51.954
4.3455	52.042
4.3418	52.132
4.3382	52.217
4.3346	52.295
4.3310	52.363
4.3273	52.440
4.3237	52.519
4.3201	52.586
4.3165	52.643
4.3129	52.698
4.3094	52.756
4.3058	52.815
4.3022	52.855
4.2986	52.897
4.2951	52.966
4.2915	53.016
4.2880	53.054
4.2844	53.113
4.2809	53.198
4.2774	53.274
4.2738	53.339
4.2703	53.402
4.2668	53.438
4.2633	53.503
4.2598	53.565
4.2563	53.626
4.2528	53.680
4.2493	53.714
4.2458	53.751
4.2424	53.799
4.2389	53.847
4.2354	53.870
4.2320	53.914
4.2285	53.969
4.2251	54.013
4.2216	54.076
4.2182	54.119
4.2148	54.163
4.2113	54.189
4.2079	54.222
4.2045	54.248
4.2011	54.287
4.1977	54.320
4.1943	54.346
4.1909	54.373
4.1875	54.382
4.1841	54.417
4.1808	54.441
4.1774	54.451
4.1740	54.475
4.1707	54.516
4.1673	54.523
4.1640	54.523
4.1606	54.545
4.1573	54.564
4.1540	54.589
4.1506	54.602
4.1473	54.626
4.1440	54.640
4.1407	54.627
4.1374	54.631
4.1341	54.631
4.1308	54.623
4.1275	54.618
4.1242	54.617
4.1209	54.601
4.1177	54.573
4.1144	54.549
4.1111	54.527
4.1079	54.519
4.1046	54.492
4.1014	54.456
4.0981	54.389
4.0949	54.325
4.0917	54.264
4.0884	54.191
4.0852	54.120
4.0820	54.021
4.0788	53.898
4.0756	53.783
4.0724	53.648
4.0692	53.495
4.0660	53.339
4.0628	53.158
4.0596	52.958
4.0565	52.738
4.0533	52.475
4.0501	52.176
4.0470	51.833
4.0438	51.423
4.0406	50.962
4.0375	50.466
4.0344	49.933
4.0312	49.373
4.0281	48.827
4.0250	48.286
4.0218	47.758
4.0187	47.253
4.0156	46.730
4.0125	46.174
4.0094	45.563
4.0063	44.866
4.0032	44.131
4.0001	43.369
3.9970	42.600
3.9940	41.876
3.9909	41.222
3.9878	40.651
3.9847	40.205
3.9817	39.895
3.9786	39.706
3.9756	39.623
3.9725	39.623
3.9695	39.667
3.9665	39.780
3.9634	39.981
3.9604	40.234
3.9574	40.553
3.9544	40.943
3.9513	41.381
3.9483	41.838
3.9453	42.336
3.9423	42.821
3.9393	43.299
3.9363	43.722
3.9333	44.056
3.9304	44.326
3.9274	44.583
3.9244	44.868
3.9214	45.127
3.9185	45.392
3.9155	45.667
3.9126	45.899
3.9096	46.111
3.9067	46.280
3.9037	46.396
3.9008	46.501
3.8979	46.629
3.8949	46.729
3.8920	46.808
3.8891	46.908
3.8862	47.024
3.8833	47.139
3.8804	47.268
3.8775	47.418
3.8746	47.581
3.8717	47.759
3.8688	47.977
3.8659	48.210
3.8630	48.431
3.8601	48.635
3.8573	48.767
3.8544	48.844
3.8515	48.885
3.8487	48.884
3.8458	48.830
3.8430	48.756
3.8401	48.703
3.8373	48.655
3.8344	48.615
3.8316	48.615
3.8288	48.632
3.8259	48.687
3.8231	48.768
3.8203	48.845
3.8175	48.968
3.8147	49.143
3.8119	49.322
3.8091	49.549
3.8063	49.825
3.8035	50.111
3.8007	50.419
3.7979	50.760
3.7951	51.113
3.7924	51.449
3.7896	51.750
3.7868	52.025
3.7841	52.274
3.7813	52.495
3.7785	52.700
3.7758	52.891
3.7730	53.092
3.7703	53.268
3.7676	53.423
3.7648	53.567
3.7621	53.680
3.7594	53.788
3.7566	53.896
3.7539	53.956
3.7512	53.999
3.7485	54.040
3.7458	54.037
3.7431	54.029
3.7404	54.018
3.7377	54.002
3.7350	54.003
3.7323	53.993
3.7296	53.982
3.7269	53.964
3.7242	53.931
3.7216	53.931
3.7189	53.941
3.7162	53.934
3.7136	53.925
3.7109	53.923
3.7083	53.910
3.7056	53.873
3.7030	53.836
3.7003	53.828
3.6977	53.807
3.6950	53.790
3.6924	53.781
3.6898	53.757
3.6872	53.722
3.6845	53.694
3.6819	53.664
3.6793	53.621
3.6767	53.595
3.6741	53.566
3.6715	53.499
3.6689	53.444
3.6663	53.431
3.6637	53.402
3.6611	53.352
3.6585	53.315
3.6560	53.266
3.6534	53.211
3.6508	53.149
3.6482	53.110
3.6457	53.066
3.6431	53.011
3.6406	52.946
3.6380	52.893
3.6355	52.854
3.6329	52.795
3.6304	52.746
3.6278	52.692
3.6253	52.614
3.6227	52.540
3.6202	52.462
3.6177	52.408
3.6152	52.347
3.6127	52.249
3.6101	52.175
3.6076	52.128
3.6051	52.045
3.6026	51.937
3.6001	51.853
3.5976	51.779
3.5951	51.676
3.5926	51.568
3.5901	51.474
3.5876	51.357
3.5852	51.236
3.5827	51.091
3.5802	50.935
3.5777	50.779
3.5753	50.632
3.5728	50.504
3.5704	50.370
3.5679	50.192
3.5654	50.062
3.5630	49.939
3.5605	49.799
3.5581	49.657
3.5557	49.511
3.5532	49.379
3.5508	49.239
3.5484	49.090
3.5459	48.929
3.5435	48.746
3.5411	48.550
3.5387	48.304
3.5363	48.059
3.5338	47.767
3.5314	47.465
3.5290	47.129
3.5266	46.764
3.5242	46.385
3.5218	45.985
3.5195	45.562
3.5171	45.138
3.5147	44.753
3.5123	44.387
3.5099	44.034
3.5075	43.688
3.5052	43.344
3.5028	43.021
3.5004	42.750
3.4981	42.487
3.4957	42.225
3.4934	41.977
3.4910	41.763
3.4887	41.570
3.4863	41.368
3.4840	41.140
3.4816	40.915
3.4793	40.744
3.4770	40.643
3.4746	40.578
3.4723	40.612
3.4700	40.704
3.4677	40.824
3.4653	40.959
3.4630	41.083
3.4607	41.218
3.4584	41.336
3.4561	41.433
3.4538	41.515
3.4515	41.593
3.4492	41.678
3.4469	41.741
3.4446	41.780
3.4423	41.832
3.4400	41.879
3.4378	41.935
3.4355	41.969
3.4332	41.981
3.4309	41.999
3.4287	42.019
3.4264	42.012
3.4241	41.972
3.4219	41.896
3.4196	41.845
3.4174	41.829
3.4151	41.791
3.4129	41.721
3.4106	41.704
3.4084	41.736
3.4061	41.707
3.4039	41.695
3.4017	41.700
3.3994	41.661
3.3972	41.632
3.3950	41.599
3.3928	41.536
3.3906	41.491
3.3883	41.437
3.3861	41.357
3.3839	41.252
3.3817	41.133
3.3795	41.068
3.3773	40.965
3.3751	40.858
3.3729	40.763
3.3707	40.660
3.3685	40.547
3.3663	40.474
3.3641	40.413
3.3620	40.273
3.3598	40.141
3.3576	40.022
3.3554	39.875
3.3533	39.758
3.3511	39.689
3.3489	39.641
3.3468	39.657
3.3446	39.747
3.3425	39.859
3.3403	40.019
3.3382	40.198
3.3360	40.341
3.3339	40.441
3.3317	40.514
3.3296	40.554
3.3274	40.576
3.3253	40.561
3.3232	40.543
3.3210	40.566
3.3189	40.582
3.3168	40.587
3.3147	40.647
3.3126	40.757
3.3104	40.867
3.3083	40.991
3.3062	41.089
3.3041	41.202
3.3020	41.296
3.2999	41.301
3.2978	41.307
3.2957	41.328
3.2936	41.317
3.2915	41.301
3.2894	41.257
3.2874	41.175
3.2853	41.113
3.2832	41.063
3.2811	40.989
3.2790	40.897
3.2770	40.824
3.2749	40.731
3.2728	40.634
3.2708	40.573
3.2687	40.481
3.2666	40.367
3.2646	40.279
3.2625	40.172
3.2605	40.055
3.2584	39.958
3.2564	39.860
3.2543	39.750
3.2523	39.637
3.2503	39.550
3.2482	39.424
3.2462	39.275
3.2442	39.160
3.2421	39.044
3.2401	38.936
3.2381	38.826
3.2361	38.700
3.2340	38.571
3.2320	38.443
3.2300	38.296
3.2280	38.145
3.2260	37.982
3.2240	37.857
3.2220	37.750
3.2200	37.622
3.2180	37.462
3.2160	37.275
3.2140	37.145
3.2120	36.994
3.2100	36.807
3.2080	36.662
3.2060	36.526
3.2040	36.370
3.2021	36.199
3.2001	36.018
3.1981	35.859
3.1961	35.707
3.1942	35.557
3.1922	35.405
3.1902	35.247
3.1883	35.071
3.1863	34.876
3.1844	34.711
3.1824	34.572
3.1805	34.373
3.1785	34.202
3.1766	34.042
3.1746	33.863
3.1727	33.707
3.1707	33.564
3.1688	33.382
3.1669	33.195
3.1649	33.020
3.1630	32.823
3.1611	32.625
3.1591	32.428
3.1572	32.264
3.1553	32.081
3.1534	31.894
3.1515	31.703
3.1495	31.516
3.1476	31.336
3.1457	31.144
3.1438	30.928
3.1419	30.725
3.1400	30.537
3.1381	30.360
3.1362	30.166
3.1343	29.977
3.1324	29.765
3.1305	29.585
3.1286	29.396
3.1268	29.208
3.1249	29.019
3.1230	28.829
3.1211	28.609
3.1192	28.389
3.1174	28.217
3.1155	28.031
3.1136	27.827
3.1117	27.642
3.1099	27.446
3.1080	27.259
3.1061	27.057
3.1043	26.852
3.1024	26.684
3.1006	26.518
3.0987	26.324
3.0969	26.147
3.0950	25.969
3.0932	25.788
3.0913	25.585
3.0895	25.396
3.0876	25.215
3.0858	25.006
3.0840	24.849
3.0821	24.704
3.0803	24.515
3.0785	24.364
3.0766	24.197
3.0748	24.027
3.0730	23.869
3.0712	23.692
3.0694	23.495
3.0675	23.344
3.0657	23.183
3.0639	23.002
3.0621	22.842
3.0603	22.722
3.0585	22.577
3.0567	22.406
3.0549	22.241
3.0531	22.083
3.0513	21.929
3.0495	21.800
3.0477	21.625
3.0459	21.471
3.0441	21.323
3.0423	21.168
3.0406	21.021
3.0388	20.858
3.0370	20.729
3.0352	20.587
3.0334	20.410
3.0317	20.263
3.0299	20.119
3.0281	19.983
3.0264	19.852
3.0246	19.717
3.0228	19.557
3.0211	19.412
3.0193	19.255
3.0176	19.091
3.0158	18.968
3.0140	18.846
3.0123	18.693
3.0105	18.522
3.0088	18.392
3.0070	18.281
3.0053	18.157
3.0036	18.001
3.0018	17.862
3.0001	17.745
2.9984	17.637
2.9966	17.523
2.9949	17.404
2.9932	17.277
2.9914	17.142
2.9897	17.028
2.9880	16.924
2.9863	16.824
2.9845	16.743
2.9828	16.651
2.9811	16.555
2.9794	16.458
2.9777	16.367
2.9760	16.287
2.9743	16.193
2.9726	16.119
2.9709	16.053
2.9692	15.964
2.9675	15.839
2.9658	15.780
2.9641	15.739
2.9624	15.710
2.9607	15.638
2.9590	15.572
2.9573	15.490
2.9556	15.441
2.9539	15.409
2.9523	15.351
2.9506	15.287
2.9489	15.259
2.9472	15.230
2.9455	15.198
2.9439	15.180
2.9422	15.140
2.9405	15.083
2.9389	15.041
2.9372	15.030
2.9355	15.026
2.9339	15.024
2.9322	15.017
2.9306	14.993
2.9289	14.964
2.9272	14.949
2.9256	14.932
2.9239	14.914
2.9223	14.937
2.9207	14.945
2.9190	14.946
2.9174	14.967
2.9157	14.980
2.9141	14.978
2.9124	15.016
2.9108	15.055
2.9092	15.090
2.9075	15.120
2.9059	15.146
2.9043	15.191
2.9027	15.263
2.9010	15.293
2.8994	15.345
2.8978	15.435
2.8962	15.517
2.8946	15.582
2.8929	15.641
2.8913	15.749
2.8897	15.852
2.8881	15.911
2.8865	15.990
2.8849	16.081
2.8833	16.157
2.8817	16.219
2.8801	16.288
2.8785	16.372
2.8769	16.451
2.8753	16.485
2.8737	16.547
2.8721	16.601
2.8705	16.670
2.8689	16.709
2.8673	16.747
2.8658	16.769
2.8642	16.784
2.8626	16.776
2.8610	16.805
2.8594	16.824
2.8579	16.826
2.8563	16.826
2.8547	16.814
2.8531	16.791
2.8516	16.796
2.8500	16.777
2.8484	16.710
2.8469	16.659
2.8453	16.642
