Name:  Dolomitic Marble 
11.394	5.9365
11.369	6.2529
11.344	6.7999
11.319	7.5980
11.294	8.6381
11.270	10.033
11.245	12.050
11.221	15.149
11.197	19.575
11.173	24.923
11.149	29.608
11.125	31.668
11.101	31.313
11.077	30.573
11.054	30.250
11.030	30.260
11.007	30.393
10.983	30.584
10.960	30.818
10.937	31.046
10.914	31.253
10.891	31.450
10.868	31.606
10.846	31.683
10.823	31.738
10.800	31.831
10.778	31.974
10.755	32.164
10.733	32.310
10.711	32.495
10.689	32.621
10.667	32.614
10.645	32.519
10.623	32.345
10.602	32.136
10.580	32.004
10.558	31.905
10.537	31.882
10.516	31.933
10.494	32.124
10.473	32.379
10.452	32.582
10.431	32.707
10.410	32.709
10.389	32.586
10.368	32.381
10.348	32.142
10.327	31.923
10.306	31.733
10.286	31.573
10.266	31.491
10.245	31.433
10.225	31.416
10.205	31.438
10.185	31.375
10.165	31.252
10.145	31.044
10.125	30.759
10.106	30.473
10.086	30.190
10.066	30.012
10.047	30.013
10.027	30.137
10.008	30.318
9.9887	30.443
9.9695	30.387
9.9504	30.224
9.9313	30.119
9.9123	30.081
9.8934	30.014
9.8746	29.931
9.8558	29.933
9.8371	29.992
9.8185	29.915
9.7999	29.508
9.7814	28.850
9.7630	28.228
9.7447	27.829
9.7264	27.625
9.7082	27.510
9.6900	27.364
9.6719	27.251
9.6539	27.291
9.6360	27.372
9.6181	27.461
9.6003	27.547
9.5825	27.704
9.5649	28.144
9.5472	28.891
9.5297	29.802
9.5122	30.554
9.4948	30.910
9.4774	30.896
9.4601	30.585
9.4429	30.137
9.4257	29.779
9.4086	29.438
9.3916	28.979
9.3746	28.375
9.3577	27.671
9.3408	27.138
9.3240	26.917
9.3073	26.834
9.2906	26.797
9.2740	26.895
9.2574	27.122
9.2409	27.320
9.2245	27.508
9.2081	27.691
9.1918	27.947
9.1755	28.263
9.1593	28.155
9.1431	27.226
9.1270	25.317
9.1110	22.501
9.0950	20.225
9.0791	20.695
9.0632	23.271
9.0474	25.632
9.0316	26.934
9.0159	27.396
9.0003	27.272
8.9847	26.759
8.9691	26.128
8.9536	25.654
8.9382	25.349
8.9228	25.115
8.9075	24.886
8.8922	24.610
8.8770	24.442
8.8618	24.547
8.8467	24.863
8.8316	25.197
8.8166	25.425
8.8016	25.422
8.7867	25.060
8.7718	24.316
8.7570	23.483
8.7422	22.876
8.7275	22.585
8.7129	22.516
8.6982	22.530
8.6837	22.604
8.6692	22.765
8.6547	22.962
8.6403	23.112
8.6259	23.156
8.6116	22.942
8.5973	22.498
8.5830	21.903
8.5688	21.289
8.5547	20.754
8.5406	20.282
8.5266	19.870
8.5126	19.483
8.4986	19.009
8.4847	18.381
8.4708	17.691
8.4570	17.105
8.4432	16.713
8.4295	16.446
8.4158	16.212
8.4022	15.994
8.3886	15.885
8.3750	15.996
8.3615	16.418
8.3481	17.124
8.3347	17.947
8.3213	18.709
8.3079	19.232
8.2946	19.467
8.2814	19.462
8.2682	19.326
8.2550	19.141
8.2419	18.896
8.2288	18.604
8.2158	18.179
8.2028	17.560
8.1898	16.750
8.1769	15.861
8.1640	15.017
8.1512	14.327
8.1384	13.890
8.1256	13.721
8.1129	13.799
8.1002	14.044
8.0876	14.307
8.0750	14.509
8.0624	14.646
8.0499	14.746
8.0374	14.863
8.0250	14.972
8.0126	15.061
8.0002	15.125
7.9879	15.187
7.9756	15.248
7.9634	15.320
7.9512	15.368
7.9390	15.362
7.9268	15.331
7.9147	15.336
7.9027	15.401
7.8906	15.499
7.8786	15.625
7.8667	15.729
7.8548	15.763
7.8429	15.696
7.8310	15.503
7.8192	15.208
7.8075	14.852
7.7957	14.447
7.7840	14.027
7.7723	13.615
7.7607	13.273
7.7491	13.003
7.7375	12.791
7.7260	12.600
7.7145	12.381
7.7031	12.171
7.6916	12.037
7.6802	11.976
7.6689	11.967
7.6575	12.038
7.6462	12.187
7.6350	12.309
7.6238	12.365
7.6126	12.355
7.6014	12.280
7.5903	12.177
7.5792	12.072
7.5681	11.931
7.5571	11.738
7.5461	11.495
7.5351	11.205
7.5242	10.870
7.5133	10.523
7.5024	10.220
7.4916	9.9870
7.4807	9.8404
7.4700	9.7540
7.4592	9.6640
7.4485	9.5830
7.4378	9.5067
7.4272	9.4651
7.4165	9.4530
7.4059	9.4177
7.3954	9.3178
7.3848	9.1340
7.3743	8.9232
7.3639	8.7229
7.3534	8.5022
7.3430	8.2774
7.3326	8.0671
7.3223	7.8663
7.3119	7.6750
7.3016	7.5090
7.2914	7.3482
7.2811	7.1907
7.2709	7.0441
7.2607	6.8975
7.2506	6.7360
7.2404	6.5693
7.2303	6.4255
7.2203	6.3230
7.2102	6.2635
7.2002	6.2003
7.1902	6.1335
7.1803	6.0890
7.1703	6.0457
7.1604	6.0078
7.1506	5.9737
7.1407	5.9469
7.1309	5.9493
7.1211	5.9860
7.1113	6.0360
7.1016	6.0544
7.0919	6.0852
7.0822	6.2370
7.0725	6.5323
7.0629	6.9531
7.0533	7.4959
7.0437	8.1003
7.0341	8.6665
7.0246	9.0771
7.0151	9.2607
7.0056	9.2879
6.9962	9.3026
6.9867	9.2822
6.9773	9.2228
6.9679	9.1858
6.9586	9.1515
6.9493	9.1139
6.9400	9.0686
6.9307	9.0596
6.9214	9.0684
6.9122	9.0776
6.9030	9.1034
6.8938	9.1297
6.8847	9.1742
6.8755	9.2266
6.8664	9.2645
6.8573	9.3192
6.8483	9.3912
6.8393	9.4691
6.8302	9.5430
6.8213	9.6083
6.8123	9.6772
6.8034	9.7485
6.7944	9.8177
6.7855	9.8890
6.7767	9.9505
6.7678	10.014
6.7590	10.081
6.7502	10.165
6.7414	10.252
6.7327	10.345
6.7239	10.444
6.7152	10.538
6.7065	10.646
6.6979	10.785
6.6892	10.930
6.6806	11.076
6.6720	11.242
6.6634	11.445
6.6549	11.677
6.6464	11.960
6.6378	12.294
6.6294	12.639
6.6209	12.953
6.6124	13.203
6.6040	13.435
6.5956	13.695
6.5872	13.932
6.5789	14.140
6.5705	14.362
6.5622	14.605
6.5539	14.841
6.5456	15.059
6.5374	15.311
6.5292	15.608
6.5209	15.901
6.5128	16.222
6.5046	16.537
6.4964	16.843
6.4883	17.182
6.4802	17.522
6.4721	17.862
6.4640	18.209
6.4560	18.549
6.4480	18.896
6.4399	19.228
6.4320	19.529
6.4240	19.821
6.4160	20.099
6.4081	20.396
6.4002	20.743
6.3923	21.074
6.3844	21.374
6.3766	21.661
6.3687	21.814
6.3609	21.586
6.3531	20.749
6.3454	19.360
6.3376	17.776
6.3299	16.247
6.3221	14.788
6.3144	13.392
6.3068	12.099
6.2991	10.899
6.2914	9.7682
6.2838	8.7170
6.2762	7.7858
6.2686	7.0071
6.2611	6.4322
6.2535	5.9746
6.2460	5.5642
6.2385	5.1912
6.2310	4.8746
6.2235	4.6305
6.2160	4.4597
6.2086	4.3621
6.2011	4.2819
6.1937	4.1765
6.1863	4.0922
6.1790	4.0043
6.1716	3.9051
6.1643	3.7959
6.1570	3.6927
6.1496	3.5769
6.1424	3.4651
6.1351	3.3289
6.1278	3.1802
6.1206	3.0428
6.1134	2.9275
6.1062	2.8155
6.0990	2.7113
6.0918	2.6538
6.0847	2.6495
6.0776	2.6713
6.0704	2.7471
6.0633	2.8373
6.0563	2.8882
6.0492	2.9384
6.0421	2.9907
6.0351	3.0237
6.0281	3.0459
6.0211	3.0978
6.0141	3.1989
6.0071	3.3249
6.0002	3.4274
5.9932	3.5513
5.9863	3.6735
5.9794	3.7751
5.9725	3.8843
5.9657	3.9813
5.9588	4.0765
5.9520	4.1957
5.9451	4.3399
5.9383	4.4914
5.9315	4.6496
5.9247	4.8040
5.9180	4.9632
5.9112	5.1313
5.9045	5.2616
5.8978	5.3722
5.8911	5.4884
5.8844	5.6061
5.8777	5.7352
5.8711	5.8835
5.8644	6.0191
5.8578	6.1733
5.8512	6.3497
5.8446	6.5243
5.8380	6.6699
5.8314	6.7826
5.8249	6.8691
5.8184	6.9297
5.8118	6.9752
5.8053	7.0230
5.7988	7.1019
5.7923	7.2231
5.7859	7.3645
5.7794	7.4910
5.7730	7.6077
5.7666	7.7166
5.7602	7.7782
5.7538	7.8372
5.7474	7.9153
5.7410	8.0112
5.7347	8.1458
5.7283	8.3236
5.7220	8.5419
5.7157	8.7539
5.7094	8.9422
5.7031	9.1079
5.6969	9.1811
5.6906	9.2029
5.6844	9.2711
5.6782	9.3315
5.6719	9.3391
5.6657	9.3211
5.6596	9.2512
5.6534	9.1570
5.6472	9.0518
5.6411	8.9270
5.6349	8.7861
5.6288	8.6409
5.6227	8.5095
5.6166	8.3762
5.6106	8.2059
5.6045	7.9935
5.5984	7.7612
5.5924	7.4737
5.5864	7.1244
5.5804	6.7561
5.5744	6.3971
5.5684	6.0435
5.5624	5.6713
5.5564	5.2812
5.5505	4.9108
5.5445	4.5161
5.5386	4.0936
5.5327	3.6965
5.5268	3.3308
5.5209	3.0473
5.5151	2.8622
5.5092	2.7617
5.5033	2.7246
5.4975	2.7343
5.4917	2.7712
5.4859	2.8688
5.4801	3.0817
5.4743	3.4945
5.4685	4.1777
5.4628	5.1758
5.4570	6.4805
5.4513	8.0051
5.4455	9.6536
5.4398	11.350
5.4341	13.042
5.4284	14.687
5.4228	16.278
5.4171	17.811
5.4114	19.253
5.4058	20.598
5.4002	21.856
5.3945	22.999
5.3889	24.029
5.3833	24.948
5.3778	25.806
5.3722	26.615
5.3666	27.378
5.3611	28.148
5.3555	28.898
5.3500	29.573
5.3445	30.178
5.3390	30.714
5.3335	31.176
5.3280	31.584
5.3225	31.964
5.3171	32.319
5.3116	32.683
5.3062	33.090
5.3008	33.533
5.2954	34.013
5.2900	34.565
5.2846	35.187
5.2792	35.844
5.2738	36.552
5.2684	37.288
5.2631	38.036
5.2578	38.790
5.2524	39.547
5.2471	40.319
5.2418	41.091
5.2365	41.837
5.2312	42.573
5.2260	43.289
5.2207	43.968
5.2154	44.590
5.2102	45.183
5.2050	45.732
5.1998	46.261
5.1945	46.786
5.1893	47.291
5.1842	47.800
5.1790	48.334
5.1738	48.897
5.1686	49.445
5.1635	49.985
5.1584	50.494
5.1532	50.971
5.1481	51.398
5.1430	51.784
5.1379	52.131
5.1328	52.414
5.1277	52.687
5.1227	53.010
5.1176	53.273
5.1126	53.481
5.1075	53.628
5.1025	53.733
5.0975	53.765
5.0925	53.728
5.0875	53.486
5.0825	52.826
5.0775	51.493
5.0726	49.423
5.0676	47.326
5.0627	46.376
5.0577	47.212
5.0528	49.280
5.0479	51.598
5.0430	53.621
5.0380	55.251
5.0332	56.511
5.0283	57.421
5.0234	58.116
5.0185	58.672
5.0137	59.114
5.0088	59.456
5.0040	59.717
4.9992	59.974
4.9944	60.196
4.9896	60.379
4.9848	60.554
4.9800	60.719
4.9752	60.902
4.9704	61.063
4.9657	61.213
4.9609	61.382
4.9562	61.538
4.9514	61.676
4.9467	61.795
4.9420	61.900
4.9373	62.021
4.9326	62.153
4.9279	62.281
4.9232	62.398
4.9186	62.519
4.9139	62.630
4.9092	62.734
4.9046	62.829
4.9000	62.911
4.8953	63.017
4.8907	63.117
4.8861	63.183
4.8815	63.239
4.8769	63.319
4.8723	63.398
4.8678	63.440
4.8632	63.468
4.8586	63.502
4.8541	63.522
4.8495	63.517
4.8450	63.505
4.8405	63.509
4.8360	63.520
4.8315	63.497
4.8270	63.460
4.8225	63.443
4.8180	63.424
4.8135	63.386
4.8090	63.327
4.8046	63.317
4.8001	63.310
4.7957	63.244
4.7913	63.166
4.7868	63.085
4.7824	63.025
4.7780	62.966
4.7736	62.888
4.7692	62.819
4.7648	62.740
4.7605	62.618
4.7561	62.496
4.7517	62.388
4.7474	62.229
4.7431	62.019
4.7387	61.785
4.7344	61.494
4.7301	61.158
4.7258	60.774
4.7215	60.320
4.7172	59.773
4.7129	59.164
4.7086	58.493
4.7043	57.750
4.7000	56.949
4.6958	56.071
4.6915	55.071
4.6873	53.882
4.6831	52.519
4.6788	50.953
4.6746	49.176
4.6704	47.302
4.6662	45.470
4.6620	43.812
4.6578	42.427
4.6536	41.325
4.6495	40.517
4.6453	39.958
4.6411	39.547
4.6370	39.263
4.6328	39.069
4.6287	38.898
4.6246	38.754
4.6205	38.662
4.6163	38.631
4.6122	38.722
4.6081	39.003
4.6040	39.480
4.6000	40.113
4.5959	40.892
4.5918	41.760
4.5877	42.650
4.5837	43.536
4.5796	44.415
4.5756	45.270
4.5716	46.053
4.5675	46.749
4.5635	47.394
4.5595	48.006
4.5555	48.597
4.5515	49.190
4.5475	49.727
4.5435	50.199
4.5395	50.649
4.5356	51.061
4.5316	51.396
4.5276	51.739
4.5237	52.149
4.5197	52.597
4.5158	53.125
4.5119	53.794
4.5080	54.658
4.5040	55.709
4.5001	56.732
4.4962	57.556
4.4923	58.169
4.4884	58.551
4.4846	58.691
4.4807	58.620
4.4768	58.337
4.4730	57.864
4.4691	57.222
4.4652	56.477
4.4614	55.641
4.4576	54.757
4.4537	53.926
4.4499	53.204
4.4461	52.679
4.4423	52.355
4.4385	52.224
4.4347	52.275
4.4309	52.493
4.4271	52.847
4.4233	53.355
4.4196	53.979
4.4158	54.667
4.4120	55.368
4.4083	56.085
4.4045	56.816
4.4008	57.542
4.3971	58.241
4.3934	58.903
4.3896	59.523
4.3859	60.135
4.3822	60.733
4.3785	61.291
4.3748	61.780
4.3711	62.242
4.3674	62.692
4.3638	63.142
4.3601	63.522
4.3564	63.725
4.3528	63.588
4.3491	62.942
4.3455	61.817
4.3418	60.488
4.3382	59.338
4.3346	58.518
4.3310	57.935
4.3273	57.462
4.3237	57.069
4.3201	56.678
4.3165	56.262
4.3129	55.879
4.3094	55.589
4.3058	55.426
4.3022	55.358
4.2986	55.342
4.2951	55.314
4.2915	55.213
4.2880	55.028
4.2844	54.813
4.2809	54.742
4.2774	54.901
4.2738	55.235
4.2703	55.660
4.2668	56.143
4.2633	56.664
4.2598	57.112
4.2563	57.390
4.2528	57.468
4.2493	57.388
4.2458	57.240
4.2424	57.111
4.2389	57.112
4.2354	57.229
4.2320	57.335
4.2285	57.433
4.2251	57.470
4.2216	57.456
4.2182	57.466
4.2148	57.576
4.2113	57.853
4.2079	58.273
4.2045	58.713
4.2011	59.106
4.1977	59.410
4.1943	59.526
4.1909	59.446
4.1875	59.261
4.1841	59.036
4.1808	58.794
4.1774	58.524
4.1740	58.221
4.1707	57.886
4.1673	57.536
4.1640	57.153
4.1606	56.699
4.1573	56.168
4.1540	55.591
4.1506	55.104
4.1473	54.872
4.1440	54.852
4.1407	54.869
4.1374	54.850
4.1341	54.803
4.1308	54.771
4.1275	54.708
4.1242	54.594
4.1209	54.415
4.1177	54.192
4.1144	53.977
4.1111	53.759
4.1079	53.522
4.1046	53.251
4.1014	52.949
4.0981	52.609
4.0949	52.218
4.0917	51.797
4.0884	51.313
4.0852	50.767
4.0820	50.187
4.0788	49.549
4.0756	48.876
4.0724	48.182
4.0692	47.455
4.0660	46.710
4.0628	45.928
4.0596	45.122
4.0565	44.280
4.0533	43.383
4.0501	42.413
4.0470	41.385
4.0438	40.302
4.0406	39.154
4.0375	37.950
4.0344	36.687
4.0312	35.397
4.0281	34.080
4.0250	32.694
4.0218	31.226
4.0187	29.696
4.0156	28.085
4.0125	26.372
4.0094	24.593
4.0063	22.816
4.0032	21.098
4.0001	19.499
3.9970	18.041
3.9940	16.652
3.9909	15.289
3.9878	13.955
3.9847	12.621
3.9817	11.243
3.9786	9.8056
3.9756	8.4624
3.9725	7.3808
3.9695	6.6223
3.9665	6.1669
3.9634	5.9462
3.9604	5.8673
3.9574	5.8666
3.9544	5.8922
3.9513	5.9341
3.9483	5.9879
3.9453	6.0587
3.9423	6.1492
3.9393	6.2685
3.9363	6.4016
3.9333	6.5356
3.9304	6.6758
3.9274	6.7980
3.9244	6.9285
3.9214	7.0491
3.9185	7.2032
3.9155	7.4448
3.9126	7.8189
3.9096	8.3527
3.9067	8.9886
3.9037	9.6886
3.9008	10.406
3.8979	11.049
3.8949	11.561
3.8920	11.884
3.8891	12.014
3.8862	12.041
3.8833	12.072
3.8804	12.193
3.8775	12.406
3.8746	12.680
3.8717	12.965
3.8688	13.274
3.8659	13.619
3.8630	14.088
3.8601	14.735
3.8573	15.666
3.8544	16.954
3.8515	18.514
3.8487	20.183
3.8458	21.687
3.8430	22.760
3.8401	23.293
3.8373	23.325
3.8344	22.974
3.8316	22.327
3.8288	21.521
3.8259	20.587
3.8231	19.542
3.8203	18.454
3.8175	17.320
3.8147	16.177
3.8119	15.115
3.8091	14.256
3.8063	13.761
3.8035	13.720
3.8007	14.099
3.7979	14.719
3.7951	15.474
3.7924	16.329
3.7896	17.308
3.7868	18.406
3.7841	19.559
3.7813	20.748
3.7785	21.954
3.7758	23.180
3.7730	24.425
3.7703	25.705
3.7676	27.053
3.7648	28.503
3.7621	30.038
3.7594	31.706
3.7566	33.535
3.7539	35.510
3.7512	37.621
3.7485	39.811
3.7458	42.017
3.7431	44.109
3.7404	45.978
3.7377	47.546
3.7350	48.804
3.7323	49.841
3.7296	50.671
3.7269	51.359
3.7242	51.985
3.7216	52.515
3.7189	52.965
3.7162	53.406
3.7136	53.854
3.7109	54.299
3.7083	54.738
3.7056	55.209
3.7030	55.666
3.7003	56.116
3.6977	56.593
3.6950	57.110
3.6924	57.624
3.6898	58.102
3.6872	58.524
3.6845	58.904
3.6819	59.249
3.6793	59.562
3.6767	59.826
3.6741	60.061
3.6715	60.272
3.6689	60.470
3.6663	60.641
3.6637	60.809
3.6611	60.951
3.6585	61.072
3.6560	61.191
3.6534	61.307
3.6508	61.407
3.6482	61.502
3.6457	61.601
3.6431	61.666
3.6406	61.723
3.6380	61.764
3.6355	61.810
3.6329	61.855
3.6304	61.857
3.6278	61.866
3.6253	61.877
3.6227	61.873
3.6202	61.845
3.6177	61.808
3.6152	61.765
3.6127	61.715
3.6101	61.676
3.6076	61.605
3.6051	61.563
3.6026	61.502
3.6001	61.416
3.5976	61.316
3.5951	61.240
3.5926	61.142
3.5901	61.024
3.5876	60.872
3.5852	60.705
3.5827	60.514
3.5802	60.275
3.5777	59.985
3.5753	59.678
3.5728	59.282
3.5704	58.836
3.5679	58.349
3.5654	57.745
3.5630	56.967
3.5605	55.993
3.5581	54.747
3.5557	53.220
3.5532	51.541
3.5508	50.034
3.5484	49.170
3.5459	49.197
3.5435	49.840
3.5411	50.551
3.5387	50.915
3.5363	50.848
3.5338	50.421
3.5314	49.693
3.5290	48.709
3.5266	47.585
3.5242	46.287
3.5218	44.798
3.5195	43.147
3.5171	41.360
3.5147	39.438
3.5123	37.393
3.5099	35.238
3.5075	33.020
3.5052	30.771
3.5028	28.499
3.5004	26.273
3.4981	24.102
3.4957	22.072
3.4934	20.271
3.4910	18.778
3.4887	17.595
3.4863	16.659
3.4840	15.913
3.4816	15.281
3.4793	14.703
3.4770	14.164
3.4746	13.693
3.4723	13.278
3.4700	12.875
3.4677	12.506
3.4653	12.199
3.4630	11.952
3.4607	11.725
3.4584	11.517
3.4561	11.320
3.4538	11.130
3.4515	11.005
3.4492	10.946
3.4469	11.005
3.4446	11.221
3.4423	11.647
3.4400	12.232
3.4378	12.918
3.4355	13.762
3.4332	14.710
3.4309	15.604
3.4287	16.382
3.4264	16.987
3.4241	17.461
3.4219	17.864
3.4196	18.199
3.4174	18.456
3.4151	18.686
3.4129	18.881
3.4106	19.065
3.4084	19.229
3.4061	19.371
3.4039	19.539
3.4017	19.738
3.3994	19.937
3.3972	20.175
3.3950	20.435
3.3928	20.671
3.3906	20.863
3.3883	21.017
3.3861	21.250
3.3839	21.657
3.3817	22.327
3.3795	23.130
3.3773	23.764
3.3751	24.071
3.3729	24.067
3.3707	23.780
3.3685	23.271
3.3663	22.673
3.3641	22.058
3.3620	21.447
3.3598	20.829
3.3576	20.262
3.3554	19.758
3.3533	19.306
3.3511	18.896
3.3489	18.496
3.3468	18.116
3.3446	17.807
3.3425	17.613
3.3403	17.518
3.3382	17.500
3.3360	17.538
3.3339	17.624
3.3317	17.716
3.3296	17.771
3.3274	17.745
3.3253	17.624
3.3232	17.414
3.3210	17.110
3.3189	16.692
3.3168	16.197
3.3147	15.647
3.3126	15.102
3.3104	14.701
3.3083	14.586
3.3062	14.790
3.3041	15.344
3.3020	16.374
3.2999	18.064
3.2978	20.680
3.2957	24.262
3.2936	28.340
3.2915	32.156
3.2894	35.326
3.2874	37.871
3.2853	39.891
3.2832	41.544
3.2811	42.936
3.2790	44.116
3.2770	45.129
3.2749	46.028
3.2728	46.852
3.2708	47.606
3.2687	48.302
3.2666	48.943
3.2646	49.536
3.2625	50.072
3.2605	50.631
3.2584	51.171
3.2564	51.673
3.2543	52.139
3.2523	52.594
3.2503	53.041
3.2482	53.482
3.2462	53.876
3.2442	54.247
3.2421	54.615
3.2401	54.947
3.2381	55.287
3.2361	55.600
3.2340	55.929
3.2320	56.261
3.2300	56.560
3.2280	56.830
3.2260	57.092
3.2240	57.327
3.2220	57.566
3.2200	57.805
3.2180	58.003
3.2160	58.191
3.2140	58.423
3.2120	58.643
3.2100	58.825
3.2080	59.011
3.2060	59.169
3.2040	59.331
3.2021	59.457
3.2001	59.581
3.1981	59.720
3.1961	59.856
3.1942	59.946
3.1922	60.060
3.1902	60.181
3.1883	60.291
3.1863	60.357
3.1844	60.449
3.1824	60.576
3.1805	60.693
3.1785	60.799
3.1766	60.858
3.1746	60.912
3.1727	60.999
3.1707	61.078
3.1688	61.143
3.1669	61.161
3.1649	61.164
3.1630	61.186
3.1611	61.189
3.1591	61.126
3.1572	61.013
3.1553	60.875
3.1534	60.699
3.1515	60.381
3.1495	59.958
3.1476	59.496
3.1457	59.064
3.1438	58.805
3.1419	58.613
3.1400	58.407
3.1381	58.337
3.1362	58.247
3.1343	58.191
3.1324	58.146
3.1305	58.138
3.1286	58.214
3.1268	58.265
3.1249	58.288
3.1230	58.343
3.1211	58.370
3.1192	58.417
3.1174	58.439
3.1155	58.415
3.1136	58.360
3.1117	58.294
3.1099	58.282
3.1080	58.285
3.1061	58.303
3.1043	58.354
3.1024	58.338
3.1006	58.259
3.0987	58.178
3.0969	58.048
3.0950	57.850
3.0932	57.641
3.0913	57.433
3.0895	57.245
3.0876	57.102
3.0858	56.984
3.0840	56.924
3.0821	56.908
3.0803	56.949
3.0785	57.028
3.0766	57.188
3.0748	57.386
3.0730	57.596
3.0712	57.857
3.0694	58.149
3.0675	58.418
3.0657	58.649
3.0639	58.890
3.0621	59.123
3.0603	59.320
3.0585	59.494
3.0567	59.659
3.0549	59.737
3.0531	59.826
3.0513	59.945
3.0495	60.035
3.0477	60.057
3.0459	60.055
3.0441	60.051
3.0423	60.055
3.0406	60.130
3.0388	60.222
3.0370	60.331
3.0352	60.531
3.0334	60.801
3.0317	61.016
3.0299	61.188
3.0281	61.421
3.0264	61.645
3.0246	61.831
3.0228	62.022
3.0211	62.269
3.0193	62.465
3.0176	62.619
3.0158	62.796
3.0140	63.000
3.0123	63.147
3.0105	63.254
3.0088	63.397
3.0070	63.536
3.0053	63.666
3.0036	63.753
3.0018	63.773
3.0001	63.834
2.9984	63.884
2.9966	63.842
2.9949	63.852
2.9932	63.873
2.9914	63.840
2.9897	63.863
2.9880	63.869
2.9863	63.880
2.9845	63.948
2.9828	64.011
2.9811	64.079
2.9794	64.125
2.9777	64.193
2.9760	64.284
2.9743	64.348
2.9726	64.445
2.9709	64.524
2.9692	64.618
2.9675	64.736
2.9658	64.850
2.9641	64.887
2.9624	64.890
2.9607	64.951
2.9590	65.002
2.9573	65.033
2.9556	65.098
2.9539	65.191
2.9523	65.202
2.9506	65.139
2.9489	65.136
2.9472	65.180
2.9455	65.203
2.9439	65.193
2.9422	65.260
2.9405	65.327
2.9389	65.287
2.9372	65.253
2.9355	65.320
2.9339	65.381
2.9322	65.411
2.9306	65.455
2.9289	65.466
2.9272	65.504
2.9256	65.581
2.9239	65.642
2.9223	65.685
2.9207	65.744
2.9190	65.822
2.9174	65.848
2.9157	65.928
2.9141	65.996
2.9124	66.040
2.9108	66.104
2.9092	66.157
2.9075	66.207
2.9059	66.244
2.9043	66.348
2.9027	66.466
2.9010	66.521
2.8994	66.529
2.8978	66.595
2.8962	66.671
2.8946	66.718
2.8929	66.770
2.8913	66.851
2.8897	66.884
2.8881	66.955
2.8865	67.025
2.8849	67.112
2.8833	67.170
2.8817	67.201
2.8801	67.240
2.8785	67.336
2.8769	67.442
2.8753	67.495
2.8737	67.514
2.8721	67.596
2.8705	67.673
2.8689	67.714
2.8673	67.794
2.8658	67.816
2.8642	67.900
2.8626	67.954
2.8610	68.025
2.8594	68.080
2.8579	68.148
2.8563	68.170
2.8547	68.217
2.8531	68.281
2.8516	68.301
2.8500	68.380
2.8484	68.460
2.8469	68.517
2.8453	68.572
2.8437	68.620
2.8422	68.638
2.8406	68.675
2.8391	68.731
2.8375	68.775
2.8360	68.853
2.8344	68.940
2.8329	68.935
2.8313	68.951
2.8298	68.972
2.8282	69.042
2.8267	69.088
2.8252	69.044
2.8236	69.058
2.8221	69.059
2.8205	69.056
2.8190	69.044
2.8175	69.002
2.8159	68.985
2.8144	68.933
2.8129	68.820
2.8114	68.704
2.8098	68.587
2.8083	68.461
2.8068	68.300
2.8053	68.078
2.8038	67.851
2.8022	67.632
2.8007	67.386
2.7992	67.143
2.7977	66.849
2.7962	66.581
