Name: Decidous
Type:  Vegetation
0.48	6.044
0.482	6.056
0.484	6.068
0.486	6.09
0.488	6.129
0.49	6.182
0.492	6.249
0.494	6.331
0.496	6.412
0.498	6.442
0.5	6.52
0.502	6.627
0.504	6.638
0.506	6.747
0.508	6.856
0.51	6.95
0.512	7.16
0.514	7.458
0.516	7.735
0.518	8.063
0.52	8.385
0.522	8.697
0.524	9.125
0.526	9.509
0.528	9.901
0.53	10.181
0.532	10.373
0.534	10.504
0.536	10.621
0.538	10.706
0.54	10.688
0.542	10.703
0.544	10.84
0.546	10.919
0.548	10.928
0.55	10.936
0.552	10.898
0.554	10.788
0.556	10.653
0.558	10.444
0.56	10.172
0.562	9.937
0.564	9.687
0.566	9.38
0.568	9.119
0.57	8.846
0.572	8.55
0.574	8.324
0.576	8.131
0.578	7.902
0.58	7.775
0.582	7.653
0.584	7.515
0.586	7.478
0.588	7.452
0.59	7.366
0.592	7.32
0.594	7.295
0.596	7.239
0.598	7.164
0.6	7.106
0.602	7.025
0.604	6.9
0.606	6.756
0.608	6.635
0.61	6.523
0.612	6.323
0.614	6.203
0.616	6.173
0.618	6.138
0.62	6.103
0.622	6.106
0.624	6.098
0.626	6.081
0.628	6.016
0.63	5.916
0.632	5.832
0.634	5.773
0.636	5.665
0.638	5.575
0.64	5.485
0.642	5.365
0.644	5.27
0.646	5.215
0.648	5.174
0.65	5.155
0.652	5.136
0.654	5.057
0.656	4.983
0.658	4.93
0.66	4.895
0.662	4.856
0.664	4.791
0.666	4.757
0.668	4.753
0.67	4.782
0.672	4.812
0.674	4.822
0.676	4.872
0.678	4.936
0.68	5.006
0.682	5.107
0.684	5.177
0.686	5.294
0.688	5.592
0.69	5.989
0.692	6.614
0.694	7.63
0.696	8.813
0.698	9.95
0.7	11.31
0.702	12.877
0.704	14.511
0.706	16.23
0.708	18.082
0.71	19.917
0.712	21.815
0.714	23.842
0.716	25.85
0.718	27.913
0.72	30.123
0.722	32.124
0.724	33.981
0.726	36.068
0.728	37.832
0.73	39.395
0.732	41.085
0.734	42.611
0.736	43.94
0.738	45.179
0.74	46.328
0.742	47.254
0.744	48.163
0.746	48.987
0.748	49.606
0.75	50.184
0.752	50.671
0.754	51.056
0.756	51.384
0.758	51.668
0.76	51.889
0.762	52.067
0.764	52.245
0.766	52.398
0.768	52.553
0.77	52.763
0.772	52.942
0.774	53.032
0.776	53.057
0.778	53.057
0.78	53.147
0.782	53.303
0.784	53.478
0.786	53.595
0.788	53.699
0.79	53.804
0.792	53.809
0.794	53.746
0.796	53.702
0.798	53.784
0.8	53.9
0.82	54.503
0.84	54.752
0.86	55.146
0.88	55.395
0.9	55.386
0.92	55.393
0.94	54.772
0.96	53.139
0.98	53.188
1	53.858
1.02	54.774
1.04	55.742
1.06	56.891
1.08	56.739
1.1	56.472
1.12	55.134
1.14	51.409
1.16	49.535
1.18	48.935
1.2	49.56
1.22	50.101
1.24	50.803
1.26	51.046
1.28	50.404
1.3	48.714
1.32	45.21
1.34	41.746
1.36	37.767
1.38	28.164
1.4	18.31
1.42	14.838
1.44	14.324
1.46	15.03
1.48	16.805
1.5	19.151
1.52	21.738
1.54	24.154
1.56	26.352
1.58	27.843
1.6	29.591
1.62	30.706
1.64	31.375
1.66	32.071
1.68	32.517
1.7	32.19
1.72	31.257
1.74	30.998
1.76	29.809
1.78	29.803
1.8	28.356
1.82	24.809
1.84	16.229
1.86	7.93
1.88	5.385
1.9	5.142
1.92	5.548
1.94	6.405
1.96	7.412
1.98	8.794
2	9.911
2.02	11.064
2.04	11.916
2.06	12.837
2.08	13.641
2.1	14.458
2.12	14.937
2.14	15.518
2.16	16.294
2.18	16.861
2.2	17.014
2.22	16.479
2.24	15.877
2.26	15.921
2.28	14.751
2.3	13.464
2.32	12.174
2.34	11.219
2.36	10.066
2.38	9.152
2.4	8.185
2.42	7.142
2.44	6.667
2.46	5.795
2.48	6.238
2.5	5.851
2.52	5.658
2.54	5.464
2.56	5.271
2.58	5.078
2.6	4.884
2.62	4.691
2.64	4.498
2.66	4.304
2.68	4.111
2.7	3.917
2.72	3.724
2.74	3.531
2.76	3.337
2.78	3.144
2.8	2.95
2.82	2.757
2.84	2.564
2.86	2.37
2.88	2.177
2.9	1.984
2.92	1.79
2.94	1.597
2.96	1.403
2.98	1.21
3	1.196
3.02	1.196
3.04	1.174
3.06	1.135
3.08	1.105
3.1	1.102
3.12	1.108
3.14	1.111
3.16	1.094
3.18	1.115
3.2	1.122
3.22	1.123
3.24	1.141
3.26	1.136
3.28	1.143
3.3	1.14
3.32	1.112
3.34	1.082
3.36	1.021
3.38	1.007
3.4	0.91
3.42	1.632
3.44	2.156
3.46	1.765
3.48	1.501
3.5	1.313
3.52	2.333
3.54	1.824
3.56	1.71
3.58	1.66
3.6	1.634
3.62	1.616
3.64	1.61
3.66	1.604
3.68	1.617
3.7	1.63
3.72	1.633
3.74	1.64
3.76	1.673
3.78	1.689
3.8	1.718
3.82	1.738
3.84	1.755
3.86	1.762
3.88	1.788
3.9	1.802
3.92	1.82
3.94	1.836
3.96	1.835
3.98	1.842
4	1.842
4.02	1.854
4.04	1.85
4.06	1.85
4.08	1.852
4.1	1.854
4.12	1.839
4.14	1.837
4.16	1.826
4.18	1.813
4.2	1.791
4.22	1.779
4.24	1.753
4.26	1.73
4.28	1.719
4.3	1.704
4.32	1.688
4.34	1.665
4.36	1.646
4.38	1.635
4.4	1.615
4.42	1.604
4.44	1.59
4.46	1.569
4.48	1.552
4.5	1.543
4.52	1.532
4.54	1.531
4.56	1.523
4.58	1.513
4.6	1.507
4.62	1.509
4.64	1.497
4.66	1.495
4.68	1.487
4.7	1.493
4.72	1.49
4.74	1.49
4.76	1.488
4.78	1.488
4.8	1.49
4.82	1.497
4.84	1.489
4.86	1.495
4.88	1.502
4.9	1.507
4.92	1.51
4.94	1.524
4.96	1.534
4.98	1.532
5	1.538
5.1	1.582
5.2	1.625
5.3	1.623
5.4	1.577
5.5	1.508
5.6	1.411
5.7	1.253
5.8	1.243
5.9	1.509
6	1.559
6.1	1.632
6.2	1.516
6.3	1.531
6.4	1.542
6.5	1.554
6.6	1.468
6.7	1.545
6.8	1.664
6.9	1.72
7	1.758
7.1	1.713
7.2	1.685
7.3	1.634
7.4	1.747
7.5	1.758
7.6	1.677
7.7	1.702
7.8	1.678
7.9	1.676
8	1.618
8.1	1.701
8.2	1.836
8.3	2.046
8.4	2.098
8.5	2.221
8.6	2.324
8.7	2.294
8.8	2.47
8.9	2.413
9	2.156
9.1	2.148
9.2	2.245
9.3	2.114
9.4	1.874
9.5	1.675
9.6	1.718
9.7	1.678
9.8	1.748
9.9	1.861
10	1.959
10.1	2.104
10.2	2.257
10.3	2.383
10.4	2.476
10.5	2.559
10.6	2.629
10.7	2.68
10.8	2.681
10.9	2.714
11	2.735
11.1	2.704
11.2	2.717
11.3	2.761
11.4	2.764
11.5	2.798
11.6	2.755
11.7	2.703
11.8	2.677
11.9	2.676
12	2.654
12.1	2.678
12.2	2.695
12.3	2.686
12.4	2.582
12.5	2.544
12.6	2.518
12.7	2.408
12.8	2.351
12.9	2.297
13	2.153
13.1	2.155
13.2	2.112
13.3	1.842
13.4	1.941
13.5	1.755
13.6	1.506
13.7	1.608
13.8	1.54
13.9	2.206
14	1.814
