Name:  Pine Wood
3.84	12.2796
3.86	12.5377
3.88	12.6995
3.9	12.8063
3.92	12.86
3.94	12.9747
3.96	13.2222
3.98	13.5
4	13.9307
4.02	14.4121
4.04	14.7789
4.06	15.1274
4.08	15.5335
4.1	15.9126
4.12	16.4077
4.14	16.8357
4.16	17.2876
4.18	17.7032
4.2	18.0173
4.22	18.2683
4.24	18.4824
4.26	18.7056
4.28	18.8413
4.3	18.9203
4.32	18.9546
4.34	18.8299
4.36	18.6802
4.38	18.5364
4.4	18.3232
4.42	18.0518
4.44	17.8232
4.46	17.6928
4.48	17.5363
4.5	17.4237
4.52	17.33
4.54	17.0792
4.56	16.735
4.58	16.3742
4.6	15.9671
4.62	15.6196
4.64	15.4013
4.66	15.1794
4.68	15.0916
4.7	15.141
4.72	15.2439
4.74	15.3077
4.76	15.3896
4.78	15.467
4.8	15.4639
4.82	15.3575
4.84	15.217
4.86	15.1496
4.88	15.23
4.9	15.4484
4.92	15.747
4.94	16.112
4.96	16.4675
4.98	16.7283
5	16.9482
5.1	17.9893
5.2	19.0136
5.3	18.9614
5.4	18.6694
5.5	17.3452
5.6	14.218
5.7	6.46
5.8	5.6954
5.9	6.5646
6	5.0174
6.1	4.9101
6.2	4.7441
6.3	5.0316
6.4	7.8099
6.5	7.0574
6.6	3.3442
6.7	4.4583
6.8	3.3624
6.9	3.3167
7	3.1409
7.1	3.592
7.2	3.2808
7.3	3.093
7.4	3.3575
7.5	3.208
7.6	3.1804
7.7	3.2184
7.8	2.8405
7.9	2.9341
8	3.0989
8.1	3.0402
8.2	3.0812
8.3	3.1212
8.4	2.9637
8.5	2.4983
8.6	3.0549
8.7	3.0175
8.8	2.5692
8.9	2.5703
9	2.9472
9.1	2.9623
9.2	3.0558
9.3	3.7388
9.4	4.8718
9.5	5.3705
9.6	5.1819
9.7	5.9063
9.8	5.9875
9.9	5.955
10	5.9234
10.1	6.1231
10.2	6.6666
10.3	6.8356
10.4	7.0035
10.5	7.3756
10.6	7.4648
10.7	7.6
10.8	7.6988
10.9	7.4604
11	6.9462
11.1	6.3998
11.2	6.5004
11.3	6.7592
11.4	6.7991
11.5	6.7806
11.6	6.8038
11.7	6.9052
11.8	7.0873
11.9	6.9297
12	6.5907
12.1	6.3631
12.2	6.0451
12.3	5.7737
12.4	5.7876
12.5	5.8662
12.6	5.8426
12.7	5.6805
12.8	5.4871
12.9	5.421
13	5.3004
13.1	5.1786
13.2	5.1104
13.3	5.0579
13.4	4.9181
13.5	4.8519
13.6	4.7237
13.7	4.6287
13.8	4.4615
13.9	4.5877
14	4.3891
