Name:  Aluminum Metal
3.44	89.7208
3.46	90.1312
3.48	90.4152
3.5	90.3946
3.52	90.5946
3.54	90.5942
3.56	90.8106
3.58	90.9988
3.6	90.9222
3.62	90.9934
3.64	91.0476
3.66	91.007
3.68	90.9554
3.7	91.2756
3.72	91.2972
3.74	91.3496
3.76	91.3616
3.78	91.5084
3.8	91.4932
3.82	91.7006
3.84	91.617
3.86	91.8052
3.88	91.6788
3.9	91.61
3.92	91.6822
3.94	91.939
3.96	91.6846
3.98	91.8642
4	91.886
4.02	91.8468
4.04	92.0602
4.06	92.0534
4.08	92.2506
4.1	92.124
4.12	92.0784
4.14	92.2888
4.16	92.2774
4.18	92.2908
4.2	92.3986
4.22	92.6832
4.24	92.5372
4.26	92.557
4.28	92.6928
4.3	92.6288
4.32	92.6452
4.34	92.529
4.36	92.6554
4.38	92.5436
4.4	92.6886
4.42	92.7392
4.44	92.6854
4.46	92.5856
4.48	92.7256
4.5	92.8012
4.52	92.9172
4.54	92.8746
4.56	92.9932
4.58	92.9562
4.6	92.8088
4.62	92.9852
4.64	93.0082
4.66	93.032
4.68	93.0416
4.7	93.0214
4.72	93.159
4.74	93.1348
4.76	93.0698
4.78	92.942
4.8	93.3644
4.82	93.3306
4.84	93.3058
4.86	93.2236
4.88	93.3236
4.9	93.2796
4.92	93.3322
4.94	93.3448
4.96	93.2756
4.98	93.2416
5	93.3924
5.1	93.4898
5.2	93.6453
5.3	93.6385
5.4	93.7438
5.5	93.8369
5.6	93.7833
5.7	93.4787
5.8	93.093
5.9	92.9414
6	92.7923
6.1	92.7907
6.2	92.9773
6.3	93.2185
6.4	93.3846
6.5	93.6789
6.6	93.7912
6.7	93.7301
6.8	93.6404
6.9	93.6844
7	93.8781
7.1	93.8081
7.2	93.8933
7.3	93.9823
7.4	94.1378
7.5	94.1271
7.6	94.1957
7.7	94.274
7.8	94.2816
7.9	94.3316
8	94.444
8.1	94.4126
8.2	94.6197
8.3	94.6694
8.4	94.7201
8.5	94.6621
8.6	94.6684
8.7	94.5329
8.8	94.774
8.9	94.8001
9	94.7398
9.1	94.579
9.2	94.653
9.3	94.8048
9.4	94.7071
9.5	94.538
9.6	94.6768
9.7	94.701
9.8	94.7056
9.9	95.1486
10	94.7756
10.1	95.0491
10.2	94.9481
10.3	95.0054
10.4	95.2419
10.5	95.152
10.6	95.2029
10.7	95.1962
10.8	95.0152
10.9	95.1448
11	95.1951
11.1	95.1873
11.2	95.396
11.3	95.486
11.4	95.5404
11.5	95.5332
11.6	95.7522
11.7	95.6329
11.8	95.5003
11.9	95.7996
12	95.644
12.1	95.7385
12.2	95.3235
12.3	95.673
12.4	94.423
12.5	95.1134
