WKT_PCS
COORD_REF_SYS_CODE,COORD_REF_SYS_NAME,FALSE_EASTING,FALSE_NORTHING,PARAMETER_VALUE_1,PARAMETER_VALUE_2,PARAMETER_VALUE_3,PARAMETER_VALUE_4,UNIT
2073,ELD_1979_Libya_10,200000,0,19,0.9999, ,0,Meter
2074,ELD_1979_Libya_11,200000,0,21,0.9999, ,0,Meter
2075,ELD_1979_Libya_12,200000,0,23,0.9999, ,0,Meter
2076,ELD_1979_Libya_13,200000,0,25,0.9999, ,0,Meter
2077,ELD_1979_UTM_Zone_32N,500000,0,9,0.9996, ,0,Meter
2078,ELD_1979_UTM_Zone_33N,500000,0,15,0.9996, ,0,Meter
2079,ELD_1979_UTM_Zone_34N,500000,0,21,0.9996, ,0,Meter
2080,ELD_1979_UTM_Zone_35N,500000,0,27,0.9996, ,0,Meter
2081,Chos_Malal_1914_Argentina_2,2500000,0,-69,1, ,-90,Meter
2082,Pampa_del_Castillo_Argentina_2,2500000,0,-69,1, ,-90,Meter
2083,Hito_XVIII_1963_Argentina_2,2500000,0,-69,1, ,-90,Meter
2084,Hito_XVIII_1963_UTM_19S,500000,10000000,-69,0.9996, ,0,Meter
2085,NAD_1927_Cuba_Norte,500000,280296.016,-81,22.35,0.99993602,22.35,Meter
2086,NAD_1927_Cuba_Sur,500000,229126.939,-76.83333333,20.71666667,0.99994848,20.71666667,Meter
2087,ELD_1979_TM_12_NE,500000,0,12,0.9996, ,0,Meter
2088,Carthage_TM_11_NE,500000,0,11,0.9996, ,0,Meter
2089,Yemen_NGN_1996_UTM_Zone_38N,500000,0,45,0.9996, ,0,Meter
2090,Yemen_NGN_1996_UTM_Zone_39N,500000,0,51,0.9996, ,0,Meter
2091,South_Yemen_GK_Zone_8,8500000,0,45,1, ,0,Meter
2092,South_Yemen_GK_Zone_9,9500000,0,51,1, ,0,Meter
2093,Hanoi_1972_GK_106_NE,500000,0,106,1, ,0,Meter
2094,WGS_1972_BE_TM_106_NE,500000,0,106,0.9996, ,0,Meter
2095,Bissau_UTM_Zone_28N,500000,0,-15,0.9996, ,0,Meter
2096,Korean_1985_Korea_East_Belt,200000,500000,129,1, ,38,Meter
2097,Korean_1985_Korea_Central_Belt,200000,500000,127,1, ,38,Meter
2098,Korean_1985_Korea_West_Belt,200000,500000,125,1, ,38,Meter
2099,Qatar_1948_Qatar_Grid,100000,100000,50.76138889,1, ,25.38236111,Meter
2100,Greek_Grid,500000,0,24,0.9996, ,0,Meter
2101,Lake_Maracaibo_Grid_M1,0,-52684.972,-71.60561778,10.16666667,1,10.16666667,Meter
2102,Lake_Maracaibo_Grid,200000,147315.028,-71.60561778,10.16666667,1,10.16666667,Meter
2103,Lake_Maracaibo_Grid_M3,500000,447315.028,-71.60561778,10.16666667,1,10.16666667,Meter
2104,Lake_Maracaibo_La_Rosa_Grid,-17044,-23139.97,-71.60561778,10.16666667,1,10.16666667,Meter
2105,NZGD_2000_Mount_Eden_Circuit,400000,800000,174.7641667,0.9999, ,-36.87972222,Meter
2106,NZGD_2000_Bay_of_Plenty_Circuit,400000,800000,176.4661111,1, ,-37.76111111,Meter
2107,NZGD_2000_Poverty_Bay_Circuit,400000,800000,177.8855556,1, ,-38.62444444,Meter
2108,NZGD_2000_Hawkes_Bay_Circuit,400000,800000,176.6736111,1, ,-39.65083333,Meter
2109,NZGD_2000_Taranaki_Circuit,400000,800000,174.2277778,1, ,-39.13555556,Meter
2110,NZGD_2000_Tuhirangi_Circuit,400000,800000,175.64,1, ,-39.51222222,Meter
2111,NZGD_2000_Wanganui_Circuit,400000,800000,175.4880556,1, ,-40.24194444,Meter
2112,NZGD_2000_Wairarapa_Circuit,400000,800000,175.6472222,1, ,-40.92527778,Meter
2113,NZGD_2000_Wellington_Circuit,400000,800000,174.7763889,1, ,-41.30111111,Meter
2114,NZGD_2000_Collingwood_Circuit,400000,800000,172.6719444,1, ,-40.71472222,Meter
2115,NZGD_2000_Nelson_Circuit,400000,800000,173.2991667,1, ,-41.27444444,Meter
2116,NZGD_2000_Karamea_Circuit,400000,800000,172.1088889,1, ,-41.28972222,Meter
2117,NZGD_2000_Buller_Circuit,400000,800000,171.5811111,1, ,-41.81055556,Meter
2118,NZGD_2000_Grey_Circuit,400000,800000,171.5497222,1, ,-42.33361111,Meter
2119,NZGD_2000_Amuri_Circuit,400000,800000,173.01,1, ,-42.68888889,Meter
2120,NZGD_2000_Marlborough_Circuit,400000,800000,173.8019444,1, ,-41.54444444,Meter
2121,NZGD_2000_Hokitika_Circuit,400000,800000,170.9797222,1, ,-42.88611111,Meter
2122,NZGD_2000_Okarito_Circuit,400000,800000,170.2608333,1, ,-43.11,Meter
2123,NZGD_2000_Jacksons_Bay_Circuit,400000,800000,168.6061111,1, ,-43.97777778,Meter
2124,NZGD_2000_Mount_Pleasant_Circuit,400000,800000,172.7269444,1, ,-43.59055556,Meter
2125,NZGD_2000_Gawler_Circuit,400000,800000,171.3605556,1, ,-43.74861111,Meter
2126,NZGD_2000_Timaru_Circuit,400000,800000,171.0572222,1, ,-44.40194444,Meter
2127,NZGD_2000_Lindis_Peak_Circuit,400000,800000,169.4675,1, ,-44.735,Meter
2128,NZGD_2000_Mount_Nicholas_Circuit,400000,800000,168.3986111,1, ,-45.13277778,Meter
2129,NZGD_2000_Mount_York_Circuit,400000,800000,167.7386111,1, ,-45.56361111,Meter
2130,NZGD_2000_Observation_Point_Circuit,400000,800000,170.6283333,1, ,-45.81611111,Meter
2131,NZGD_2000_North_Taieri_Circuit,400000,800000,170.2825,0.99996, ,-45.86138889,Meter
2132,NZGD_2000_Bluff_Circuit,400000,800000,168.3427778,1, ,-46.6,Meter
2133,NZGD_2000_UTM_Zone_58S,500000,10000000,165,0.9996, ,0,Meter
2134,NZGD_2000_UTM_Zone_59S,500000,10000000,171,0.9996, ,0,Meter
2135,NZGD_2000_UTM_Zone_60S,500000,10000000,177,0.9996, ,0,Meter
2136,Accra_Ghana_Grid,900000,0,-1,0.99975, ,4.666666667,Foot_Gold_Coast
2137,Accra_TM_1_NW,500000,0,-1,0.9996, ,0,Meter
2138,NAD_1927_CGQ77_Quebec_Lambert,0,0,-68.5,46,60,44,Meter
2139,NAD_1983_CSRS98_MTM_2_SCoPQ,304800,0,-55.5,0.9999, ,0,Meter
2140,NAD_1983_CRS98_MTM_3,304800,0,-58.5,0.9999, ,0,Meter
2141,NAD_1983_CRS98_MTM_4,304800,0,-61.5,0.9999, ,0,Meter
2142,NAD_1983_CRS98_MTM_5,304800,0,-64.5,0.9999, ,0,Meter
2143,NAD_1983_CRS98_MTM_6,304800,0,-67.5,0.9999, ,0,Meter
2144,NAD_1983_CRS98_MTM_7,304800,0,-70.5,0.9999, ,0,Meter
2145,NAD_1983_CRS98_MTM_8,304800,0,-73.5,0.9999, ,0,Meter
2146,NAD_1983_CRS98_MTM_9,304800,0,-76.5,0.9999, ,0,Meter
2147,NAD_1983_CRS98_MTM_10,304800,0,-79.5,0.9999, ,0,Meter
2148,NAD_1983_CSRS98_UTM_Zone_21N,500000,0,-57,0.9996, ,0,Meter
2149,NAD_1983_CSRS98_UTM_Zone_18N,500000,0,-75,0.9996, ,0,Meter
2150,NAD_1983_CSRS98_UTM_Zone_17N,500000,0,-81,0.9996, ,0,Meter
2151,NAD_1983_CSRS98_UTM_Zone_13N,500000,0,-105,0.9996, ,0,Meter
2152,NAD_1983_CSRS98_UTM_Zone_12N,500000,0,-111,0.9996, ,0,Meter
2153,NAD_1983_CSRS98_UTM_Zone_11N,500000,0,-117,0.9996, ,0,Meter
2154,RGF_1993_Lambert_93,700000,6600000,3,44,49,46.5,Meter
2155,Samoa_1962_Samoa_Lambert,500000,312234.65,-170,-14.26666667,1,-14.26666667,Foot_US
2157,IRENET95_Irish_Transverse_Mercator,600000,750000,-8,0.99982, ,53.5,Meter
2158,IRENET95_UTM_Zone_29N,500000,0,-9,0.9996, ,0,Meter
2159,Sierra_Leone_1924_New_Colony_Grid,500000,0,-12,1, ,6.666666667,Foot_Gold_Coast
2160,Sierra_Leone_1924_New_War_Office_Grid,800000,600000,-12,1, ,6.666666667,Foot_Gold_Coast
2161,Sierra_Leone_1968_UTM_Zone_28N,500000,0,-15,0.9996, ,0,Meter
2162,Sierra_Leone_1968_UTM_Zone_29N,500000,0,-9,0.9996, ,0,Meter
2163,US_National_Atlas_Equal_Area,0,0,-100,,,45,Meter
2164,Locodjo_1965_TM_5_NW,500000,0,-5,0.9996, ,0,Meter
2165,Abidjan_1987_TM_5_NW,500000,0,-5,0.9996, ,0,Meter
2166,Pulkovo_1942_Adj_1983_3_Degree_GK_Zone_3,3500000,0,9,1, ,0,Meter
2167,Pulkovo_1942_Adj_1983_3_Degree_GK_Zone_4,4500000,0,12,1, ,0,Meter
2168,Pulkovo_1942_Adj_1983_3_Degree_GK_Zone_5,5500000,0,15,1, ,0,Meter
2169,Luxembourg_1930_Gauss,80000,100000,6.166666667,1, ,49.83333333,Meter
2170,MGI_Slovenia_Grid,500000,0,15,0.9999, ,0,Meter
2176,ETRS_1989_Poland_CS2000_Zone_5,5500000,0,15,0.999923, ,0,Meter
2177,ETRS_1989_Poland_CS2000_Zone_6,6500000,0,18,0.999923, ,0,Meter
2178,ETRS_1989_Poland_CS2000_Zone_7,7500000,0,21,0.999923, ,0,Meter
2179,ETRS_1989_Poland_CS2000_Zone_8,8500000,0,24,0.999923, ,0,Meter
2180,ETRS_1989_Poland_CS92,500000,-5300000,19,0.9993, ,0,Meter
2181,ED_1950_Turkey_9,9500000,0,27,0.9996, ,0,Meter
2182,ED_1950_Turkey_10,10500000,0,30,0.9996, ,0,Meter
2183,ED_1950_Turkey_11,11500000,0,33,0.9996, ,0,Meter
2184,ED_1950_Turkey_12,12500000,0,36,0.9996, ,0,Meter
2185,ED_1950_Turkey_13,13500000,0,39,0.9996, ,0,Meter
2186,ED_1950_Turkey_14,14500000,0,42,0.9996, ,0,Meter
2187,ED_1950_Turkey_15,15500000,0,45,0.9996, ,0,Meter
2192,ED_1950_France_EuroLambert,600000,2200000,2.337229167,46.8,0.99987742,46.8,Meter
2193,NZGD_2000_New_Zealand_Transverse_Mercator,1600000,10000000,173,0.9996, ,0,Meter
2195,NAD_1983_HARN_UTM_Zone_2S,500000,10000000,-171,0.9996, ,0,Meter
2196,ETRS_1989_Kp2000_Jutland,200000,0,9.5,0.99995, ,0,Meter
2197,ETRS_1989_Kp2000_Zealand,500000,0,12,0.99995, ,0,Meter
2198,ETRS_1989_Kp2000_Bornholm,900000,0,15,1, ,0,Meter
2200,ATS_1977_New_Brunswick_Stereographic,300000,800000,-66.5,0.999912, ,46.5,Meter
2201,REGVEN_UTM_Zone_18N,500000,0,-75,0.9996, ,0,Meter
2202,REGVEN_UTM_Zone_19N,500000,0,-69,0.9996, ,0,Meter
2203,REGVEN_UTM_Zone_20N,500000,0,-63,0.9996, ,0,Meter
2206,ED_1950_3_Degree_GK_Zone_9,9500000,0,27,1, ,0,Meter
2207,ED_1950_3_Degree_GK_Zone_10,10500000,0,30,1, ,0,Meter
2208,ED_1950_3_Degree_GK_Zone_11,11500000,0,33,1, ,0,Meter
2209,ED_1950_3_Degree_GK_Zone_12,12500000,0,36,1, ,0,Meter
2210,ED_1950_3_Degree_GK_Zone_13,13500000,0,39,1, ,0,Meter
2211,ED_1950_3_Degree_GK_Zone_14,14500000,0,42,1, ,0,Meter
2212,ED_1950_3_Degree_GK_Zone_15,15500000,0,45,1, ,0,Meter
2213,ETRS_1989_TM_30_NE,500000,0,30,0.9996, ,0,Meter
2214,Douala_1948_AEF_West,1000000,1000000,10.5,0.999, ,0,Meter
2215,Manoca_1962_UTM_Zone_32N,500000,0,9,0.9996, ,0,Meter
2216,Qornoq_1927_UTM_Zone_22N,500000,0,-51,0.9996, ,0,Meter
2217,Qornoq_1927_UTM_Zone_23N,500000,0,-45,0.9996, ,0,Meter
2219,ATS_1977_UTM_Zone_19N,500000,0,-69,0.9996, ,0,Meter
2220,ATS_1977_UTM_Zone_20N,500000,0,-63,0.9996, ,0,Meter
2222,NAD_1983_StatePlane_Arizona_East_FIPS_0201_Feet_Intl,700000,0,-110.1666667,0.9999, ,31,Foot
2223,NAD_1983_StatePlane_Arizona_Central_FIPS_0202_Feet_Intl,700000,0,-111.9166667,0.9999, ,31,Foot
2224,NAD_1983_StatePlane_Arizona_West_FIPS_0203_Feet_Intl,700000,0,-113.75,0.999933333, ,31,Foot
2225,NAD_1983_StatePlane_California_I_FIPS_0401_Feet,6561666.667,1640416.667,-122,40,41.66666667,39.33333333,Foot_US
2226,NAD_1983_StatePlane_California_II_FIPS_0402_Feet,6561666.667,1640416.667,-122,38.33333333,39.83333333,37.66666667,Foot_US
2227,NAD_1983_StatePlane_California_III_FIPS_0403_Feet,6561666.667,1640416.667,-120.5,37.06666667,38.43333333,36.5,Foot_US
2228,NAD_1983_StatePlane_California_IV_FIPS_0404_Feet,6561666.667,1640416.667,-119,36,37.25,35.33333333,Foot_US
2229,NAD_1983_StatePlane_California_V_FIPS_0405_Feet,6561666.667,1640416.667,-118,34.03333333,35.46666667,33.5,Foot_US
2230,NAD_1983_StatePlane_California_VI_FIPS_0406_Feet,6561666.667,1640416.667,-116.25,32.78333333,33.88333333,32.16666667,Foot_US
2231,NAD_1983_StatePlane_Colorado_North_FIPS_0501_Feet,3000000,1000000,-105.5,39.71666667,40.78333333,39.33333333,Foot_US
2232,NAD_1983_StatePlane_Colorado_Central_FIPS_0502_Feet,3000000,1000000,-105.5,38.45,39.75,37.83333333,Foot_US
2233,NAD_1983_StatePlane_Colorado_South_FIPS_0503_Feet,3000000,1000000,-105.5,37.23333333,38.43333333,36.66666667,Foot_US
2234,NAD_1983_StatePlane_Connecticut_FIPS_0600_Feet,1000000,500000,-72.75,41.2,41.86666667,40.83333333,Foot_US
2235,NAD_1983_StatePlane_Delaware_FIPS_0700_Feet,656166.6667,0,-75.41666667,0.999995, ,38,Foot_US
2236,NAD_1983_StatePlane_Florida_East_FIPS_0901_Feet,656166.6667,0,-81,0.999941176, ,24.33333333,Foot_US
2237,NAD_1983_StatePlane_Florida_West_FIPS_0902_Feet,656166.6667,0,-82,0.999941176, ,24.33333333,Foot_US
2238,NAD_1983_StatePlane_Florida_North_FIPS_0903_Feet,1968500,0,-84.5,29.58333333,30.75,29,Foot_US
2239,NAD_1983_StatePlane_Georgia_East_FIPS_1001_Feet,656166.6667,0,-82.16666667,0.9999, ,30,Foot_US
2240,NAD_1983_StatePlane_Georgia_West_FIPS_1002_Feet,2296583.333,0,-84.16666667,0.9999, ,30,Foot_US
2241,NAD_1983_StatePlane_Idaho_East_FIPS_1101_Feet,656166.6667,0,-112.1666667,0.999947368, ,41.66666667,Foot_US
2242,NAD_1983_StatePlane_Idaho_Central_FIPS_1102_Feet,1640416.667,0,-114,0.999947368, ,41.66666667,Foot_US
2243,NAD_1983_StatePlane_Idaho_West_FIPS_1103_Feet,2624666.667,0,-115.75,0.999933333, ,41.66666667,Foot_US
2246,NAD_1983_StatePlane_Kentucky_North_FIPS_1601_Feet,1640416.667,0,-84.25,37.96666667,38.96666667,37.5,Foot_US
2247,NAD_1983_StatePlane_Kentucky_South_FIPS_1602_Feet,1640416.667,1640416.667,-85.75,36.73333333,37.93333333,36.33333333,Foot_US
2248,NAD_1983_StatePlane_Maryland_FIPS_1900_Feet,1312333.333,0,-77,38.3,39.45,37.66666667,Foot_US
2249,NAD_1983_StatePlane_Massachusetts_Mainland_FIPS_2001_Feet,656166.6667,2460625,-71.5,41.71666667,42.68333333,41,Foot_US
2250,NAD_1983_StatePlane_Massachusetts_Island_FIPS_2002_Feet,1640416.667,0,-70.5,41.28333333,41.48333333,41,Foot_US
2251,NAD_1983_StatePlane_Michigan_North_FIPS_2111_Feet_Intl,26246719.16,0,-87,45.48333333,47.08333333,44.78333333,Foot
2252,NAD_1983_StatePlane_Michigan_Central_FIPS_2112_Feet_Intl,19685039.37,0,-84.36666667,44.18333333,45.7,43.31666667,Foot
2253,NAD_1983_StatePlane_Michigan_South_FIPS_2113_Feet_Intl,13123359.58,0,-84.36666667,42.1,43.66666667,41.5,Foot
2254,NAD_1983_StatePlane_Mississippi_East_FIPS_2301_Feet,984250,0,-88.83333333,0.99995, ,29.5,Foot_US
2255,NAD_1983_StatePlane_Mississippi_West_FIPS_2302_Feet,2296583.333,0,-90.33333333,0.99995, ,29.5,Foot_US
2256,NAD_1983_StatePlane_Montana_FIPS_2500_Feet_Intl,1968503.937,0,-109.5,45,49,44.25,Foot
2257,NAD_1983_StatePlane_New_Mexico_East_FIPS_3001_Feet,541337.5,0,-104.3333333,0.999909091, ,31,Foot_US
2258,NAD_1983_StatePlane_New_Mexico_Central_FIPS_3002_Feet,1640416.667,0,-106.25,0.9999, ,31,Foot_US
2259,NAD_1983_StatePlane_New_Mexico_West_FIPS_3003_Feet,2723091.667,0,-107.8333333,0.999916667, ,31,Foot_US
2260,NAD_1983_StatePlane_New_York_East_FIPS_3101_Feet,492125,0,-74.5,0.9999, ,38.83333333,Foot_US
2261,NAD_1983_StatePlane_New_York_Central_FIPS_3102_Feet,820208.3333,0,-76.58333333,0.9999375, ,40,Foot_US
2262,NAD_1983_StatePlane_New_York_West_FIPS_3103_Feet,1148291.667,0,-78.58333333,0.9999375, ,40,Foot_US
2263,NAD_1983_StatePlane_New_York_Long_Island_FIPS_3104_Feet,984250,0,-74,40.66666667,41.03333333,40.16666667,Foot_US
2264,NAD_1983_StatePlane_North_Carolina_FIPS_3200_Feet,2000000.003,0,-79,34.33333333,36.16666667,33.75,Foot_US
2265,NAD_1983_StatePlane_North_Dakota_North_FIPS_3301_Feet_Intl,1968503.937,0,-100.5,47.43333333,48.73333333,47,Foot
2266,NAD_1983_StatePlane_North_Dakota_South_FIPS_3302_Feet_Intl,1968503.937,0,-100.5,46.18333333,47.48333333,45.66666667,Foot
2267,NAD_1983_StatePlane_Oklahoma_North_FIPS_3501_Feet,1968500,0,-98,35.56666667,36.76666667,35,Foot_US
2268,NAD_1983_StatePlane_Oklahoma_South_FIPS_3502_Feet,1968500,0,-98,33.93333333,35.23333333,33.33333333,Foot_US
2269,NAD_1983_StatePlane_Oregon_North_FIPS_3601_Feet_Intl,8202099.738,0,-120.5,44.33333333,46,43.66666667,Foot
2270,NAD_1983_StatePlane_Oregon_South_FIPS_3602_Feet_Intl,4921259.843,0,-120.5,42.33333333,44,41.66666667,Foot
2271,NAD_1983_StatePlane_Pennsylvania_North_FIPS_3701_Feet,1968500,0,-77.75,40.88333333,41.95,40.16666667,Foot_US
2272,NAD_1983_StatePlane_Pennsylvania_South_FIPS_3702_Feet,1968500,0,-77.75,39.93333333,40.96666667,39.33333333,Foot_US
2273,NAD_1983_StatePlane_South_Carolina_FIPS_3900_Feet_Intl,2000000,0,-81,32.5,34.83333333,31.83333333,Foot
2274,NAD_1983_StatePlane_Tennessee_FIPS_4100_Feet,1968500,0,-86,35.25,36.41666667,34.33333333,Foot_US
2275,NAD_1983_StatePlane_Texas_North_FIPS_4201_Feet,656166.6667,3280833.333,-101.5,34.65,36.18333333,34,Foot_US
2276,NAD_1983_StatePlane_Texas_North_Central_FIPS_4202_Feet,1968500,6561666.667,-98.5,32.13333333,33.96666667,31.66666667,Foot_US
2277,NAD_1983_StatePlane_Texas_Central_FIPS_4203_Feet,2296583.333,9842500,-100.3333333,30.11666667,31.88333333,29.66666667,Foot_US
2278,NAD_1983_StatePlane_Texas_South_Central_FIPS_4204_Feet,1968500,13123333.33,-99,28.38333333,30.28333333,27.83333333,Foot_US
2279,NAD_1983_StatePlane_Texas_South_FIPS_4205_Feet,984250,16404166.67,-98.5,26.16666667,27.83333333,25.66666667,Foot_US
2280,NAD_1983_StatePlane_Utah_North_FIPS_4301_Feet_Intl,1640419.948,3280839.895,-111.5,40.71666667,41.78333333,40.33333333,Foot
2281,NAD_1983_StatePlane_Utah_Central_FIPS_4302_Feet_Intl,1640419.948,6561679.79,-111.5,39.01666667,40.65,38.33333333,Foot
2282,NAD_1983_StatePlane_Utah_South_FIPS_4303_Feet_Intl,1640419.948,9842519.685,-111.5,37.21666667,38.35,36.66666667,Foot
2283,NAD_1983_StatePlane_Virginia_North_FIPS_4501_Feet,11482916.67,6561666.667,-78.5,38.03333333,39.2,37.66666667,Foot_US
2284,NAD_1983_StatePlane_Virginia_South_FIPS_4502_Feet,11482916.67,3280833.333,-78.5,36.76666667,37.96666667,36.33333333,Foot_US
2285,NAD_1983_StatePlane_Washington_North_FIPS_4601_Feet,1640416.667,0,-120.8333333,47.5,48.73333333,47,Foot_US
2286,NAD_1983_StatePlane_Washington_South_FIPS_4602_Feet,1640416.667,0,-120.5,45.83333333,47.33333333,45.33333333,Foot_US
2287,NAD_1983_StatePlane_Wisconsin_North_FIPS_4801_Feet,1968500,0,-90,45.56666667,46.76666667,45.16666667,Foot_US
2288,NAD_1983_StatePlane_Wisconsin_Central_FIPS_4802_Feet,1968500,0,-90,44.25,45.5,43.83333333,Foot_US
2289,NAD_1983_StatePlane_Wisconsin_South_FIPS_4803_Feet,1968500,0,-90,42.73333333,44.06666667,42,Foot_US
2290,Prince_Edward_Island_Stereographic,700000,400000,-63,0.999912, ,47.25,Meter
2291,NAD_1983_CSRS98_Prince_Edward_Island,400000,800000,-63,0.999912, ,47.25,Meter
2294,ATS_1977_MTM_4_Nova_Scotia,4500000,0,-61.5,0.9999, ,0,Meter
2295,ATS_1977_MTM_5_Nova_Scotia,5500000,0,-64.5,0.9999, ,0,Meter
2308,Batavia_TM_109_SE,500000,10000000,109,0.9996, ,0,Meter
2309,WGS_1984_TM_116_SE,500000,10000000,116,0.9996, ,0,Meter
2310,WGS_1984_TM_132_SE,500000,10000000,132,0.9996, ,0,Meter
2311,WGS_1984_TM_6_NE,500000,10000000,6,0.9996, ,0,Meter
