SPCS_EPSG_MAP
spcs_name,pcs_code
NAD83_SPCS_0700,26958
NAD83_SPCS_0901,26960
NAD83_SPCS_0902,26959
NAD83_SPCS_0903,26966
NAD83_SPCS_1001,26967
NAD83_SPCS_1002,26961
NAD83_SPCS_5101,26962
NAD83_SPCS_5102,26963
NAD83_SPCS_5103,26964
NAD83_SPCS_5104,26965
NAD83_SPCS_5105,26969
NAD83_SPCS_1102,26968
NAD83_SPCS_1101,26970
NAD83_SPCS_1103,26971
NAD83_SPCS_1201,26972
NAD83_SPCS_1202,26973
NAD83_SPCS_1301,26974
NAD83_SPCS_1302,26975
NAD83_SPCS_1401,26976
NAD83_SPCS_1402,26977
NAD83_SPCS_1501,26978
NAD83_SPCS_1502,26979
NAD83_SPCS_1601,26980
NAD83_SPCS_1602,26981
NAD83_SPCS_1701,26982
NAD83_SPCS_1702,26983
NAD83_SPCS_1801,26984
NAD83_SPCS_1802,26985
NAD83_SPCS_1900,26986
NAD83_SPCS_2001,26987
NAD83_SPCS_2002,26989
NAD83_SPCS_2112,26988
NAD83_SPCS_2111,26990
NAD83_SPCS_2113,26992
NAD83_SPCS_2202,26991
NAD83_SPCS_2201,26993
NAD83_SPCS_2203,26994
NAD83_SPCS_2301,26995
NAD83_SPCS_2302,26997
NAD83_SPCS_2402,26996
NAD83_SPCS_2401,26998
NAD83_SPCS_2403,32100
NAD83_SPCS_2601,32104
NAD83_SPCS_2702,32108
NAD83_SPCS_2701,32107
NAD83_SPCS_2703,32109
NAD83_SPCS_2800,32110
NAD83_SPCS_2900,32111
NAD83_SPCS_3002,32113
NAD83_SPCS_3001,32112
NAD83_SPCS_3003,32114
NAD83_SPCS_3102,32116
NAD83_SPCS_3101,32115
NAD83_SPCS_3104,32118
NAD83_SPCS_3103,32117
NAD83_SPCS_3200,32119
NAD83_SPCS_3301,32120
NAD83_SPCS_3302,32121
NAD83_SPCS_3401,32122
NAD83_SPCS_3402,32123
NAD83_SPCS_3501,32124
NAD83_SPCS_3502,32125
NAD83_SPCS_3601,32126
NAD83_SPCS_3602,32127
NAD83_SPCS_3701,32128
NAD83_SPCS_3702,32129
NAD83_SPCS_5201,32161
NAD83_SPCS_3800,32130
NAD83_SPCS_3901,32133
NAD83_SPCS_4001,32134
NAD83_SPCS_4002,32135
NAD83_SPCS_4100,32136
NAD83_SPCS_4203,32139
NAD83_SPCS_4201,32137
NAD83_SPCS_4202,32138
NAD83_SPCS_4205,32141
NAD83_SPCS_4204,32140
NAD83_SPCS_4302,32143
NAD83_SPCS_4301,32142
NAD83_SPCS_4303,32144
NAD83_SPCS_4400,32145
NAD83_SPCS_4501,32146
NAD83_SPCS_4502,32147
NAD83_SPCS_4601,32148
NAD83_SPCS_4602,32149
NAD83_SPCS_4701,32150
NAD83_SPCS_4702,32151
NAD83_SPCS_4802,32153
NAD83_SPCS_4801,32152
NAD83_SPCS_4803,32154
NAD83_SPCS_4902,32156
NAD83_SPCS_4901,32155
NAD83_SPCS_4903,32157
NAD83_SPCS_4904,32158
