Name:  Pink Quartzite 
12.2268	1.0732
12.198	1.231
12.1694	1.3787
12.1409	1.504
12.1125	1.598
12.0843	1.6814
12.0562	1.7697
12.0282	1.8607
12.0003	1.9443
11.9726	2.0241
11.945	2.1148
11.9176	2.2029
11.8903	2.2651
11.8631	2.3163
11.836	2.3703
11.809	2.4259
11.7822	2.4904
11.7555	2.5586
11.7289	2.6208
11.7024	2.6675
11.676	2.7051
11.6498	2.7411
11.6237	2.7816
11.5977	2.8217
11.5718	2.8631
11.546	2.9072
11.5203	2.9524
11.4948	2.9929
11.4694	3.0275
11.444	3.062
11.4188	3.112
11.3937	3.1643
11.3688	3.2079
11.3439	3.2501
11.3191	3.2943
11.2944	3.3374
11.2699	3.3666
11.2455	3.3924
11.2211	3.4274
11.1969	3.471
11.1727	3.5148
11.1487	3.5484
11.1248	3.5835
11.101	3.6221
11.0773	3.6605
11.0536	3.6943
11.0301	3.7353
11.0067	3.7891
10.9834	3.8402
10.9602	3.8771
10.937	3.9075
10.914	3.9328
10.8911	3.9643
10.8682	3.9934
10.8455	4.028
10.8229	4.0699
10.8003	4.1061
10.7779	4.135
10.7555	4.1606
10.7332	4.1926
10.7111	4.2388
10.689	4.2859
10.667	4.3368
10.6451	4.3991
10.6233	4.459
10.6015	4.5144
10.5799	4.5646
10.5584	4.6099
10.5369	4.6518
10.5155	4.6942
10.4942	4.7448
10.473	4.7958
10.4519	4.8438
10.4309	4.895
10.4099	4.953
10.3891	5.011
10.3683	5.0747
10.3476	5.1472
10.327	5.2258
10.3065	5.2992
10.286	5.3717
10.2656	5.4451
10.2454	5.5164
10.2251	5.5784
10.205	5.6476
10.185	5.7264
10.165	5.8119
10.1451	5.9007
10.1253	5.991
10.1056	6.0833
10.0859	6.1605
10.0663	6.228
10.0468	6.3069
10.0274	6.3962
10.008	6.4944
9.9887	6.6065
9.9695	6.7393
9.9504	6.9001
9.9313	7.0552
9.9123	7.2113
9.8934	7.3728
9.8746	7.5246
9.8558	7.6712
9.8371	7.8187
9.8185	7.9724
9.7999	8.1308
9.7814	8.2796
9.763	8.4399
9.7447	8.6341
9.7264	8.859
9.7082	9.1167
9.69	9.394
9.6719	9.6761
9.6539	9.9555
9.636	10.2326
9.6181	10.5208
9.6003	10.8343
9.5825	11.1834
9.5649	11.5763
9.5472	12.0094
9.5297	12.4901
9.5122	13.0369
9.4948	13.6631
9.4774	14.393
9.4601	15.2666
9.4429	16.3457
9.4257	17.6811
9.4086	19.2564
9.3916	21.0103
9.3746	22.8565
9.3577	24.6518
9.3408	26.2472
9.324	27.5388
9.3073	28.4849
9.2906	29.1085
9.274	29.4625
9.2574	29.6238
9.2409	29.6711
9.2245	29.6553
9.2081	29.6202
9.1918	29.5781
9.1755	29.5324
9.1593	29.4954
9.1431	29.4859
9.127	29.4956
9.111	29.4961
9.095	29.4793
9.0791	29.4431
9.0632	29.3758
9.0474	29.2567
9.0316	29.086
9.0159	28.8986
9.0003	28.7329
8.9847	28.6083
8.9691	28.5451
8.9536	28.5716
8.9382	28.6746
8.9228	28.789
8.9075	28.8752
8.8922	28.9145
8.877	28.8967
8.8618	28.8022
8.8467	28.6251
8.8316	28.4063
8.8166	28.1628
8.8016	27.8988
8.7867	27.6217
8.7718	27.3449
8.757	27.0752
8.7422	26.7884
8.7275	26.4357
8.7129	25.9635
8.6982	25.2481
8.6837	24.0941
8.6692	22.4956
8.6547	20.8204
8.6403	19.5984
8.6259	19.2247
8.6116	19.826
8.5973	21.2474
8.583	23.0682
8.5688	24.733
8.5547	25.9143
8.5406	26.6441
8.5266	27.0924
8.5126	27.3906
8.4986	27.5978
8.4847	27.7446
8.4708	27.8443
8.457	27.8926
8.4432	27.9052
8.4295	27.913
8.4158	27.923
8.4022	27.9346
8.3886	27.9544
8.375	28.0049
8.3615	28.0894
8.3481	28.2019
8.3347	28.3485
8.3213	28.5294
8.3079	28.7475
8.2946	28.9844
8.2814	29.2333
8.2682	29.5046
8.255	29.7848
8.2419	30.0448
8.2288	30.2539
8.2158	30.3709
8.2028	30.3636
8.1898	30.1644
8.1769	29.7114
8.164	28.972
8.1512	27.9549
8.1384	26.701
8.1256	25.2891
8.1129	23.8019
8.1002	22.3135
8.0876	20.8727
8.075	19.5058
8.0624	18.2095
8.0499	16.9892
8.0374	15.8551
8.025	14.805
8.0126	13.8173
8.0002	12.8712
7.9879	11.9566
7.9756	11.0629
7.9634	10.1809
7.9512	9.3194
7.939	8.4908
7.9268	7.7126
7.9147	7.0022
7.9027	6.3587
7.8906	5.7811
7.8786	5.2682
7.8667	4.8107
7.8548	4.4036
7.8429	4.0439
7.831	3.7313
7.8192	3.4686
7.8075	3.2434
7.7957	3.044
7.784	2.8605
7.7723	2.6791
7.7607	2.4979
7.7491	2.3187
7.7375	2.1356
7.726	1.9618
7.7145	1.8069
7.7031	1.6677
7.6916	1.5417
7.6802	1.4259
7.6689	1.3186
7.6575	1.2137
7.6462	1.113
7.635	1.0268
7.6238	0.9591
7.6126	0.9049
7.6014	0.8604
7.5903	0.8151
7.5792	0.7746
7.5681	0.7353
7.5571	0.7012
7.5461	0.678
7.5351	0.6624
7.5242	0.6437
7.5133	0.6264
7.5024	0.6025
7.4916	0.5738
7.4807	0.5496
7.47	0.5362
7.4592	0.5352
7.4485	0.5421
7.4378	0.5459
7.4272	0.5492
7.4165	0.5454
7.4059	0.5279
7.3954	0.5103
7.3848	0.4966
7.3743	0.4814
7.3639	0.4682
7.3534	0.4651
7.343	0.4698
7.3326	0.4812
7.3223	0.4921
7.3119	0.4999
7.3016	0.5061
7.2914	0.5044
7.2811	0.5068
7.2709	0.5243
7.2607	0.5414
7.2506	0.5568
7.2404	0.5691
7.2303	0.5736
7.2203	0.5724
7.2102	0.5688
7.2002	0.5658
7.1902	0.5636
7.1803	0.5676
7.1703	0.5809
7.1604	0.5951
7.1506	0.6084
7.1407	0.6195
7.1309	0.6264
7.1211	0.624
7.1113	0.6167
7.1016	0.6273
7.0919	0.646
7.0822	0.6508
7.0725	0.6465
7.0629	0.6434
7.0533	0.6448
7.0437	0.6467
7.0341	0.6491
7.0246	0.6569
7.0151	0.6631
7.0056	0.6617
6.9962	0.6555
6.9867	0.6534
6.9773	0.6655
6.9679	0.6813
6.9586	0.6953
6.9493	0.7026
6.94	0.709
6.9307	0.7126
6.9214	0.7157
6.9122	0.7223
6.903	0.7327
6.8938	0.7419
6.8847	0.7495
6.8755	0.7502
6.8664	0.7462
6.8573	0.7434
6.8483	0.7398
6.8393	0.727
6.8302	0.7121
6.8213	0.7119
6.8123	0.7192
6.8034	0.7268
6.7944	0.7339
6.7855	0.7455
6.7767	0.7479
6.7678	0.7391
6.759	0.7363
6.7502	0.7509
6.7414	0.7692
6.7327	0.7862
6.7239	0.7966
6.7152	0.7966
6.7065	0.7933
6.6979	0.7879
6.6892	0.7836
6.6806	0.7869
6.672	0.794
6.6634	0.8021
6.6549	0.8087
6.6464	0.8113
6.6378	0.8191
6.6294	0.8317
6.6209	0.8464
6.6124	0.8573
6.604	0.8613
6.5956	0.8613
6.5872	0.858
6.5789	0.8518
6.5705	0.848
6.5622	0.8478
6.5539	0.8518
6.5456	0.8514
6.5374	0.8492
6.5292	0.8594
6.5209	0.8722
6.5128	0.8876
6.5046	0.9084
6.4964	0.9352
6.4883	0.9657
6.4802	0.9901
6.4721	1.0112
6.464	1.0297
6.456	1.0354
6.448	1.0354
6.4399	1.0382
6.432	1.0463
6.424	1.0505
6.416	1.0515
6.4081	1.0517
6.4002	1.0455
6.3923	1.033
6.3844	1.0197
6.3766	1.0079
6.3687	0.9989
6.3609	0.9899
6.3531	0.9866
6.3454	0.9842
6.3376	0.9773
6.3299	0.9634
6.3221	0.9484
6.3144	0.9364
6.3068	0.9326
6.2991	0.9347
6.2914	0.9392
6.2838	0.9378
6.2762	0.9302
6.2686	0.9278
6.2611	0.9335
6.2535	0.9385
6.246	0.9397
6.2385	0.9366
6.231	0.9314
6.2235	0.9229
6.216	0.9151
6.2086	0.9162
6.2011	0.9219
6.1937	0.9177
6.1863	0.9046
6.179	0.8985
6.1716	0.9127
6.1643	0.9421
6.157	0.9759
6.1496	1.0005
6.1424	1.0164
6.1351	1.0264
6.1278	1.0278
6.1206	1.0335
6.1134	1.056
6.1062	1.0827
6.099	1.096
6.0918	1.0976
6.0847	1.1024
6.0776	1.113
6.0704	1.1208
6.0633	1.1353
6.0563	1.1531
6.0492	1.1623
6.0421	1.1621
6.0351	1.1675
6.0281	1.177
6.0211	1.1793
6.0141	1.1763
6.0071	1.1744
6.0002	1.167
5.9932	1.1578
5.9863	1.1547
5.9794	1.1578
5.9725	1.1632
5.9657	1.1701
5.9588	1.1694
5.952	1.1611
5.9451	1.1559
5.9383	1.158
5.9315	1.1651
5.9247	1.1751
5.918	1.1888
5.9112	1.2044
5.9045	1.2111
5.8978	1.2149
5.8911	1.2236
5.8844	1.2404
5.8777	1.2577
5.8711	1.2816
5.8644	1.3139
5.8578	1.3425
5.8512	1.365
5.8446	1.3882
5.838	1.4074
5.8314	1.4204
5.8249	1.4334
5.8184	1.4583
5.8118	1.4931
5.8053	1.523
5.7988	1.5509
5.7923	1.5831
5.7859	1.6089
5.7794	1.6229
5.773	1.6437
5.7666	1.6672
5.7602	1.6859
5.7538	1.7046
5.7474	1.7295
5.741	1.7536
5.7347	1.7704
5.7283	1.7849
5.722	1.8041
5.7157	1.8178
5.7094	1.8192
5.7031	1.8176
5.6969	1.8114
5.6906	1.7903
5.6844	1.7555
5.6782	1.7143
5.6719	1.6719
5.6657	1.6291
5.6596	1.5834
5.6534	1.5398
5.6472	1.5057
5.6411	1.4782
5.6349	1.4531
5.6288	1.4289
5.6227	1.4098
5.6166	1.3975
5.6106	1.392
5.6045	1.3956
5.5984	1.4022
5.5924	1.4105
5.5864	1.4197
5.5804	1.4214
5.5744	1.4181
5.5684	1.4166
5.5624	1.4214
5.5564	1.4292
5.5505	1.4318
5.5445	1.4339
5.5386	1.4448
5.5327	1.4583
5.5268	1.4713
5.5209	1.486
5.5151	1.5054
5.5092	1.5258
5.5033	1.5374
5.4975	1.5395
5.4917	1.5485
5.4859	1.5672
5.4801	1.5848
5.4743	1.6025
5.4685	1.6267
5.4628	1.6478
5.457	1.6532
5.4513	1.6463
5.4455	1.6395
5.4398	1.6338
5.4341	1.6165
5.4284	1.5971
5.4228	1.585
5.4171	1.572
5.4114	1.5537
5.4058	1.5294
5.4002	1.5069
5.3945	1.4848
5.3889	1.4557
5.3833	1.4316
5.3778	1.4199
5.3722	1.4154
5.3666	1.4093
5.3611	1.4015
5.3555	1.3996
5.35	1.4005
5.3445	1.3998
5.339	1.3986
5.3335	1.401
5.328	1.4079
5.3225	1.4107
5.3171	1.4109
5.3116	1.4157
5.3062	1.419
5.3008	1.4185
5.2954	1.4216
5.29	1.4266
5.2846	1.4346
5.2792	1.4446
5.2738	1.4514
5.2684	1.4638
5.2631	1.4756
5.2578	1.4822
5.2524	1.496
5.2471	1.5201
5.2418	1.5502
5.2365	1.5779
5.2312	1.5961
5.226	1.6205
5.2207	1.6444
5.2154	1.6603
5.2102	1.6743
5.205	1.6911
5.1998	1.702
5.1945	1.7041
5.1893	1.7037
5.1842	1.7072
5.179	1.7155
5.1738	1.7209
5.1686	1.7228
5.1635	1.7205
5.1584	1.7117
5.1532	1.706
5.1481	1.7077
5.143	1.7058
5.1379	1.7058
5.1328	1.7077
5.1277	1.7079
5.1227	1.7077
5.1176	1.7051
5.1126	1.706
5.1075	1.7096
5.1025	1.707
5.0975	1.6984
5.0925	1.693
5.0875	1.6899
5.0825	1.6854
5.0775	1.679
5.0726	1.6771
5.0676	1.6774
5.0627	1.6774
5.0577	1.6726
5.0528	1.6729
5.0479	1.6781
5.043	1.6783
5.038	1.6755
5.0332	1.6786
5.0283	1.6819
5.0234	1.6861
5.0185	1.692
5.0137	1.6999
5.0088	1.6994
5.004	1.6925
4.9992	1.6909
4.9944	1.6944
4.9896	1.6975
4.9848	1.7119
4.98	1.7373
4.9752	1.7648
4.9704	1.7903
4.9657	1.8192
4.9609	1.8576
4.9562	1.8919
4.9514	1.9201
4.9467	1.953
4.942	1.9833
4.9373	2.0075
4.9326	2.0378
4.9279	2.0766
4.9232	2.1252
4.9186	2.1901
4.9139	2.2888
4.9092	2.4283
4.9046	2.6059
4.9	2.8285
4.8953	3.1009
4.8907	3.4118
4.8861	3.7471
4.8815	4.1031
4.8769	4.4808
4.8723	4.863
4.8678	5.2391
4.8632	5.6033
4.8586	5.9592
4.8541	6.3107
4.8495	6.6545
4.845	6.9887
4.8405	7.3174
4.836	7.6413
4.8315	7.9542
4.827	8.249
4.8225	8.5401
4.818	8.8325
4.8135	9.1221
4.809	9.4051
4.8046	9.6832
4.8001	9.9669
4.7957	10.2492
4.7913	10.5215
4.7868	10.7877
4.7824	11.0456
4.778	11.293
4.7736	11.5355
4.7692	11.7683
4.7648	11.9973
4.7605	12.2183
4.7561	12.4148
4.7517	12.5896
4.7474	12.7445
4.7431	12.8806
4.7387	12.9995
4.7344	13.0935
4.7301	13.1603
4.7258	13.1866
4.7215	13.149
4.7172	13.0369
4.7129	12.8387
4.7086	12.5377
4.7043	12.129
4.7	11.6376
4.6958	11.1197
4.6915	10.6449
4.6873	10.2901
4.6831	10.1213
4.6788	10.1689
4.6746	10.4147
4.6704	10.813
4.6662	11.3106
4.662	11.8548
4.6578	12.4115
4.6536	12.9635
4.6495	13.5132
4.6453	14.0652
4.6411	14.6186
4.637	15.1699
4.6328	15.7066
4.6287	16.2105
4.6246	16.6659
4.6205	17.0631
4.6163	17.4086
4.6122	17.7041
4.6081	17.9556
4.604	18.1723
4.6	18.3573
4.5959	18.5107
4.5918	18.6275
4.5877	18.7089
4.5837	18.7551
4.5796	18.7641
4.5756	18.7402
4.5716	18.6713
4.5675	18.5448
4.5635	18.3539
4.5595	18.0906
4.5555	17.7448
4.5515	17.315
4.5475	16.8177
4.5435	16.2669
4.5395	15.6701
4.5356	15.0423
4.5316	14.3944
4.5276	13.7318
4.5237	13.045
4.5197	12.3381
4.5158	11.6319
4.5119	10.9478
4.508	10.3079
4.504	9.7414
4.5001	9.2749
4.4962	8.9168
4.4923	8.6478
4.4884	8.4441
4.4846	8.2836
4.4807	8.1448
4.4768	8.0172
4.473	7.9153
4.4691	7.8682
4.4652	7.8888
4.4614	7.9883
4.4576	8.1621
4.4537	8.3781
4.4499	8.6061
4.4461	8.828
4.4423	9.0243
4.4385	9.1882
4.4347	9.3393
4.4309	9.5046
4.4271	9.695
4.4233	9.9074
4.4196	10.1397
4.4158	10.3924
4.412	10.6629
4.4083	10.943
4.4045	11.2426
4.4008	11.5725
4.3971	11.9303
4.3934	12.3113
4.3896	12.7182
4.3859	13.153
4.3822	13.6131
4.3785	14.087
4.3748	14.5618
4.3711	15.0385
4.3674	15.5055
4.3638	15.9562
4.3601	16.4
4.3564	16.8267
4.3528	17.2222
4.3491	17.5829
4.3455	17.9049
4.3418	18.1893
4.3382	18.425
4.3346	18.6085
4.331	18.7482
4.3273	18.8413
4.3237	18.8832
4.3201	18.8735
4.3165	18.8238
4.3129	18.7444
4.3094	18.6379
4.3058	18.5159
4.3022	18.3925
4.2986	18.2817
4.2951	18.1972
4.2915	18.1422
4.288	18.1264
4.2844	18.1543
4.2809	18.218
4.2774	18.312
4.2738	18.4397
4.2703	18.6125
4.2668	18.8377
4.2633	19.1001
4.2598	19.3689
4.2563	19.6055
4.2528	19.7696
4.2493	19.8497
4.2458	19.8584
4.2424	19.8279
4.2389	19.7914
4.2354	19.7765
4.232	19.7954
4.2285	19.8539
4.2251	19.9378
4.2216	20.0313
4.2182	20.1142
4.2148	20.1741
4.2113	20.2063
4.2079	20.2144
4.2045	20.2108
4.2011	20.225
4.1977	20.2695
4.1943	20.3572
4.1909	20.4917
4.1875	20.6662
4.1841	20.8732
4.1808	21.0979
4.1774	21.3241
4.174	21.5429
4.1707	21.7496
4.1673	21.9471
4.164	22.1401
4.1606	22.3265
4.1573	22.5127
4.154	22.7009
4.1506	22.8909
4.1473	23.0798
4.144	23.2757
4.1407	23.4845
4.1374	23.7001
4.1341	23.9203
4.1308	24.1493
4.1275	24.3908
4.1242	24.6388
4.1209	24.8934
4.1177	25.1645
4.1144	25.444
4.1111	25.7208
4.1079	25.9995
4.1046	26.2882
4.1014	26.5847
4.0981	26.8793
4.0949	27.1677
4.0917	27.4545
4.0884	27.7288
4.0852	27.9848
4.082	28.2185
4.0788	28.4304
4.0756	28.6235
4.0724	28.7994
4.0692	28.9491
4.066	29.0798
4.0628	29.1873
4.0596	29.2631
4.0565	29.3022
4.0533	29.3183
4.0501	29.3258
4.047	29.319
4.0438	29.2986
4.0406	29.2714
4.0375	29.2342
4.0344	29.1928
4.0312	29.1471
4.0281	29.104
4.025	29.072
4.0218	29.0519
4.0187	29.044
4.0156	29.045
4.0125	29.0575
4.0094	29.0845
4.0063	29.1167
4.0032	29.1568
4.0001	29.216
3.997	29.3015
3.994	29.4092
3.9909	29.5416
3.9878	29.6953
3.9847	29.8577
3.9817	30.0263
3.9786	30.2087
3.9756	30.4083
3.9725	30.6174
3.9695	30.8355
3.9665	31.0624
3.9634	31.2907
3.9604	31.5154
3.9574	31.7354
3.9544	31.9592
3.9513	32.1887
3.9483	32.4189
3.9453	32.6382
3.9423	32.84
3.9393	33.0214
3.9363	33.1803
3.9333	33.3212
3.9304	33.4424
3.9274	33.5388
3.9244	33.6162
3.9214	33.6693
3.9185	33.6972
3.9155	33.6994
3.9126	33.6745
3.9096	33.63
3.9067	33.5596
3.9037	33.4604
3.9008	33.3444
3.8979	33.2241
3.8949	33.0986
3.892	32.9574
3.8891	32.8035
3.8862	32.6465
3.8833	32.4862
3.8804	32.3268
3.8775	32.1714
3.8746	32.0248
3.8717	31.8929
3.8688	31.7679
3.8659	31.6578
3.863	31.5718
3.8601	31.5114
3.8573	31.4747
3.8544	31.4506
3.8515	31.4375
3.8487	31.4435
3.8458	31.4702
3.843	31.5157
3.8401	31.5739
3.8373	31.6424
3.8344	31.7196
3.8316	31.8008
3.8288	31.883
3.8259	31.9706
3.8231	32.0691
3.8203	32.1693
3.8175	32.26
3.8147	32.3365
3.8119	32.3947
3.8091	32.4331
3.8063	32.4532
3.8035	32.4589
3.8007	32.4502
3.7979	32.4251
3.7951	32.381
3.7924	32.3175
3.7896	32.2292
3.7868	32.1193
3.7841	31.9931
3.7813	31.8536
3.7785	31.707
3.7758	31.5529
3.773	31.3935
3.7703	31.2317
3.7676	31.075
3.7648	30.9265
3.7621	30.7799
3.7594	30.6376
3.7566	30.5071
3.7539	30.388
3.7512	30.2745
3.7485	30.1755
3.7458	30.1052
3.7431	30.0569
3.7404	30.0282
3.7377	30.0256
3.735	30.0515
3.7323	30.0983
3.7296	30.1587
3.7269	30.2461
3.7242	30.3586
3.7216	30.4782
3.7189	30.6056
3.7162	30.7418
3.7136	30.8895
3.7109	31.0468
3.7083	31.2097
3.7056	31.3854
3.703	31.5799
3.7003	31.7849
3.6977	31.9919
3.695	32.2043
3.6924	32.4234
3.6898	32.642
3.6872	32.8537
3.6845	33.0637
3.6819	33.2793
3.6793	33.4952
3.6767	33.6965
3.6741	33.8824
3.6715	34.0435
3.6689	34.1763
3.6663	34.2852
3.6637	34.3769
3.6611	34.4458
3.6585	34.4984
3.656	34.5375
3.6534	34.5618
3.6508	34.5711
3.6482	34.5675
3.6457	34.5502
3.6431	34.5195
3.6406	34.4809
3.638	34.4472
3.6355	34.4112
3.6329	34.366
3.6304	34.3203
3.6278	34.2672
3.6253	34.1969
3.6227	34.1164
3.6202	34.0451
3.6177	33.9835
3.6152	33.9146
3.6127	33.8431
3.6101	33.7844
3.6076	33.7309
3.6051	33.6747
3.6026	33.6174
3.6001	33.567
3.5976	33.5158
3.5951	33.4652
3.5926	33.4194
3.5901	33.3797
3.5876	33.3347
3.5852	33.2916
3.5827	33.2518
3.5802	33.212
3.5777	33.1758
3.5753	33.1537
3.5728	33.1353
3.5704	33.1073
3.5679	33.06
3.5654	33.0154
3.563	32.9761
3.5605	32.9297
3.5581	32.8883
3.5557	32.8546
3.5532	32.8165
3.5508	32.7691
3.5484	32.7078
3.5459	32.6446
3.5435	32.5837
3.5411	32.5072
3.5387	32.4232
3.5363	32.3353
3.5338	32.2411
3.5314	32.1525
3.529	32.0698
3.5266	31.9851
3.5242	31.8946
3.5218	31.7951
3.5195	31.6874
3.5171	31.5742
3.5147	31.4543
3.5123	31.3395
3.5099	31.2367
3.5075	31.142
3.5052	31.0608
3.5028	30.9987
3.5004	30.9397
3.4981	30.8758
3.4957	30.7991
3.4934	30.7077
3.491	30.6106
3.4887	30.5158
3.4863	30.4244
3.484	30.3375
3.4816	30.2461
3.4793	30.1431
3.477	30.0339
3.4746	29.9207
3.4723	29.8035
3.47	29.6789
3.4677	29.5444
3.4653	29.3993
3.463	29.2423
3.4607	29.0762
3.4584	28.9112
3.4561	28.7525
3.4538	28.6085
3.4515	28.469
3.4492	28.3331
3.4469	28.1948
3.4446	28.0527
3.4423	27.9132
3.44	27.7738
3.4378	27.634
3.4355	27.4967
3.4332	27.343
3.4309	27.1782
3.4287	27.0105
3.4264	26.844
3.4241	26.6787
3.4219	26.5134
3.4196	26.3495
3.4174	26.1809
3.4151	26.0014
3.4129	25.8203
3.4106	25.6498
3.4084	25.5027
3.4061	25.3715
3.4039	25.2367
3.4017	25.1013
3.3994	24.9703
3.3972	24.8406
3.395	24.7075
3.3928	24.5739
3.3906	24.4389
3.3883	24.2961
3.3861	24.1396
3.3839	23.9769
3.3817	23.8144
3.3795	23.6536
3.3773	23.4954
3.3751	23.3432
3.3729	23.1904
3.3707	23.0479
3.3685	22.9202
3.3663	22.7954
3.3641	22.6784
3.362	22.5536
3.3598	22.416
3.3576	22.2758
3.3554	22.1335
3.3533	21.9857
3.3511	21.8387
3.3489	21.7001
3.3468	21.5794
3.3446	21.4593
3.3425	21.3314
3.3403	21.1943
3.3382	21.0515
3.336	20.8978
3.3339	20.7401
3.3317	20.5902
3.3296	20.4488
3.3274	20.3081
3.3253	20.1571
3.3232	19.9998
3.321	19.8494
3.3189	19.6979
3.3168	19.5437
3.3147	19.3976
3.3126	19.247
3.3104	19.0862
3.3083	18.9258
3.3062	18.7688
3.3041	18.6154
3.302	18.4662
3.2999	18.3236
3.2978	18.1832
3.2957	18.038
3.2936	17.8865
3.2915	17.7411
3.2894	17.6035
3.2874	17.4645
3.2853	17.3285
3.2832	17.1864
3.2811	17.0358
3.279	16.8918
3.277	16.7469
3.2749	16.606
3.2728	16.4788
3.2708	16.3498
3.2687	16.2176
3.2666	16.0852
3.2646	15.9536
3.2625	15.8269
3.2605	15.6959
3.2584	15.5676
3.2564	15.4518
3.2543	15.3307
3.2523	15.2031
3.2503	15.0828
3.2482	14.9518
3.2462	14.8086
3.2442	14.6684
3.2421	14.5398
3.2401	14.4247
3.2381	14.3105
3.2361	14.1905
3.234	14.0633
3.232	13.9236
3.23	13.7827
3.228	13.6517
3.226	13.5288
3.224	13.4199
3.222	13.3159
3.22	13.2053
3.218	13.0843
3.216	12.96
3.214	12.8385
3.212	12.7225
3.21	12.6123
3.208	12.5074
3.206	12.4046
3.204	12.3073
3.2021	12.2026
3.2001	12.0916
3.1981	11.9869
3.1961	11.8799
3.1942	11.7617
3.1922	11.6388
3.1902	11.5287
3.1883	11.4309
3.1863	11.3309
3.1844	11.2398
3.1824	11.1602
3.1805	11.0745
3.1785	10.9809
3.1766	10.8803
3.1746	10.7765
3.1727	10.6702
3.1707	10.5617
3.1688	10.4549
3.1669	10.3531
3.1649	10.2624
3.163	10.1831
3.1611	10.1082
3.1591	10.0391
3.1572	9.965
3.1553	9.8873
3.1534	9.8089
3.1515	9.7229
3.1495	9.6275
3.1476	9.5321
3.1457	9.4442
3.1438	9.3708
3.1419	9.2972
3.14	9.2181
3.1381	9.1411
3.1362	9.0613
3.1343	8.9767
3.1324	8.8969
3.1305	8.8193
3.1286	8.7539
3.1268	8.6971
3.1249	8.6284
3.123	8.5578
3.1211	8.4943
3.1192	8.4276
3.1174	8.3572
3.1155	8.2864
3.1136	8.2239
3.1117	8.1808
3.1099	8.1436
3.108	8.1005
3.1061	8.0555
3.1043	8.0039
3.1024	7.9437
3.1006	7.8845
3.0987	7.8261
3.0969	7.7766
3.095	7.7292
3.0932	7.6804
3.0913	7.6357
3.0895	7.5935
3.0876	7.5464
3.0858	7.5002
3.084	7.464
3.0821	7.4332
3.0803	7.3986
3.0785	7.3633
3.0766	7.3268
3.0748	7.2788
3.073	7.229
3.0712	7.1897
3.0694	7.1665
3.0675	7.1514
3.0657	7.1274
3.0639	7.0912
3.0621	7.0455
3.0603	6.9929
3.0585	6.9479
3.0567	6.9089
3.0549	6.8696
3.0531	6.8478
3.0513	6.8236
3.0495	6.7852
3.0477	6.7464
3.0459	6.7076
3.0441	6.6633
3.0423	6.6119
3.0406	6.5596
3.0388	6.5188
3.037	6.4681
3.0352	6.4082
3.0334	6.3609
3.0317	6.3223
3.0299	6.2953
3.0281	6.2702
3.0264	6.237
3.0246	6.1987
3.0228	6.1601
3.0211	6.1222
3.0193	6.0819
3.0176	6.0532
3.0158	6.0506
3.014	6.053
3.0123	6.0471
3.0105	6.0523
3.0088	6.0563
3.007	6.0362
3.0053	6.0035
3.0036	5.976
3.0018	5.9644
3.0001	5.9474
